Выборы Президента Российской Федерации																												
																												
Наименование Избирательной комиссии:    Мирнинская																												
																												
Итоги голосования 																												
																												
		Сумма	УИК  563	УИК  564	УИК  565	УИК  566	УИК  567	УИК  568	УИК  569	УИК  570	УИК  571	УИК  572	УИК  573	УИК  574	УИК  575	УИК  576	УИК  577	УИК  578	УИК  579	УИК  580	УИК  581	УИК  582	УИК  583					
1	"Число избирателей, внесенных в список"	25954	3053	2944	3137	2811	2410	2534	2708	45	312	1088	1091	305	241	337	206	249	302	475	319	802	585					
2	Число полученных избирательных бюллетеней	24042	2653	2576	2646	2535	2170	2290	2391	45	337	1112	1208	326	271	362	231	256	294	506	351	894	588					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	17956	1768	1755	1891	1659	1463	1570	1729	39	309	1025	981	305	241	337	206	248	263	475	319	788	585					
5	"Число избирательных бюллетеней, выданных вне помещения"	300	4	6	16	20	17	9	11	6	3	63	110	0	0	0	0	0	21	0	0	14	0					
6	Число погашенных избирательных бюллетеней	5786	881	815	739	856	690	711	651	0	25	24	117	21	30	25	25	8	10	31	32	92	3					
7	Число избирательных бюллетеней в переносных ящиках	300	4	6	16	20	17	9	11	6	3	63	110	0	0	0	0	0	21	0	0	14	0					
8	Число бюллетеней в стационарных ящиках для голосования	17942	1767	1752	1891	1654	1463	1570	1728	39	309	1025	977	305	241	337	206	248	263	475	319	788	585					
9	Число недействительных избирательных бюллетеней	60	4	8	11	6	5	5	6	0	0	10	1	0	0	0	0	1	0	0	0	3	0					
10	Число действительных избирательных бюллетеней	18182	1767	1750	1896	1668	1475	1574	1733	45	312	1078	1086	305	241	337	206	247	284	475	319	799	585					
11	Число полученных открепительных  удостоверений	580	70	70	70	70	70	70	70	0	5	5	20	5	5	5	5	5	5	5	5	15	5					
12	Число выданных открепительных удостоверений	397	64	61	58	60	37	46	61	0	0	0	3	0	2	1	0	1	0	2	0	1	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	233	23	8	34	17	6	6	20	45	9	0	19	3	0	1	1	11	9	3	14	4	0					
14	Число неиспользованных открепительных удостоверений	183	6	9	12	10	33	24	9	0	5	5	17	5	3	4	5	4	5	3	5	14	5					
15	"Число открепительных удостоверений, выданных в ТИК"	18	4	2	2	0	5	2	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																												
18	. Глазьев Сергей Юрьевич	416	59	69	50	49	43	45	70	0	4	7	9	1	0	4	0	0	1	2	1	2	0					
		2.28%	3.33%	3.92%	2.62%	2.93%	2.91%	2.85%	4.03%	0.00%	1.28%	0.64%	0.83%	0.33%	0.00%	1.19%	0.00%	0.00%	0.35%	0.42%	0.31%	0.25%	0.00%					
19	. Малышкин Олег Александрович	325	41	37	56	31	23	16	30	1	16	24	6	1	1	11	0	0	6	9	6	10	0					
		1.78%	2.32%	2.10%	2.94%	1.85%	1.55%	1.01%	1.73%	2.22%	5.13%	2.21%	0.55%	0.33%	0.41%	3.26%	0.00%	0.00%	2.11%	1.89%	1.88%	1.25%	0.00%					
20	. Миронов Сергей Михайлович	93	19	9	12	10	13	8	10	0	1	6	0	0	0	1	1	0	1	2	0	0	0					
		0.51%	1.07%	0.51%	0.63%	0.60%	0.88%	0.51%	0.58%	0.00%	0.32%	0.55%	0.00%	0.00%	0.00%	0.30%	0.49%	0.00%	0.35%	0.42%	0.00%	0.00%	0.00%					
21	. Путин Владимир Владимирович	15287	1366	1338	1521	1327	1150	1249	1346	37	267	992	1051	295	239	305	201	244	264	444	298	771	582					
		83.80%	77.13%	76.11%	79.76%	79.27%	77.70%	79.10%	77.40%	82.22%	85.58%	91.18%	96.69%	96.72%	99.17%	90.50%	97.57%	98.39%	92.96%	93.47%	93.42%	96.13%	99.49%					
22	. Хакамада Ирина Муцуовна	601	80	97	86	79	81	68	73	2	5	6	4	2	0	4	2	1	3	1	5	2	0					
		3.29%	4.52%	5.52%	4.51%	4.72%	5.47%	4.31%	4.20%	4.44%	1.60%	0.55%	0.37%	0.66%	0.00%	1.19%	0.97%	0.40%	1.06%	0.21%	1.57%	0.25%	0.00%					
23	. Харитонов Николай Михайлович	816	109	118	95	86	103	127	129	3	10	12	8	2	0	2	0	0	3	4	2	3	0					
		4.47%	6.15%	6.71%	4.98%	5.14%	6.96%	8.04%	7.42%	6.67%	3.21%	1.10%	0.74%	0.66%	0.00%	0.59%	0.00%	0.00%	1.06%	0.84%	0.63%	0.37%	0.00%					
																												
24	Против всех	644	93	82	76	86	62	61	75	2	9	31	8	4	1	10	2	2	6	13	7	11	3					
		3.53%	5.25%	4.66%	3.99%	5.14%	4.19%	3.86%	4.31%	4.44%	2.88%	2.85%	0.74%	1.31%	0.41%	2.97%	0.97%	0.81%	2.11%	2.74%	2.19%	1.37%	0.51%					
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
