Выборы Президента Российской Федерации																																			
																																			
Наименование Избирательной комиссии:    Цимлянская																																			
																																			
Итоги голосования 																																			
																																			
		Сумма	УИК №770	УИК №771	УИК №772	УИК №773	УИК №774	УИК №775	УИК №776	УИК №777	УИК №778	УИК №779	УИК №780	УИК №781	УИК №782	УИК №783	УИК №784	УИК №785	УИК №786	УИК №787	УИК №788	УИК №789	УИК №790	УИК №791	УИК №792	УИК №793	УИК №794	УИК №795	УИК №796	УИК №797					
1	"Число избирателей, внесенных в список"	28606	1671	2012	1864	1681	1876	1815	1602	1152	2368	2135	631	402	1402	506	364	783	425	131	211	756	184	419	650	235	939	321	640	1431					
2	Число полученных избирательных бюллетеней	27920	1600	2000	1800	1600	1800	1800	1600	1100	2400	2100	600	400	1400	500	370	780	420	130	200	700	190	400	600	230	900	300	600	1400					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	22003	1322	1472	1391	1438	1372	1522	1321	967	1721	1590	493	258	1084	396	324	624	328	98	155	583	165	325	425	181	658	225	576	989					
5	"Число избирательных бюллетеней, выданных вне помещения"	3078	132	278	232	100	225	63	136	64	251	283	58	85	152	57	19	54	34	11	24	88	10	41	102	24	187	41	21	306					
6	Число погашенных избирательных бюллетеней	2839	146	250	177	62	203	215	143	69	428	227	49	57	164	47	27	102	58	21	21	29	15	34	73	25	55	34	3	105					
7	Число избирательных бюллетеней в переносных ящиках	3078	132	278	232	100	225	63	136	64	251	283	58	85	152	57	19	54	34	11	24	88	10	41	102	24	187	41	21	306					
8	Число бюллетеней в стационарных ящиках для голосования	22003	1322	1472	1391	1438	1372	1522	1321	967	1721	1590	493	258	1084	396	324	624	328	98	155	583	165	325	425	181	658	225	576	989					
9	Число недействительных избирательных бюллетеней	138	2	12	8	7	2	8	6	13	16	15	9	2	4	3	2	2	4	0	2	3	5	0	2	2	2	1	0	6					
10	Число действительных избирательных бюллетеней	24943	1452	1738	1615	1531	1595	1577	1451	1018	1956	1858	542	341	1232	450	341	676	358	109	177	668	170	366	525	203	843	265	597	1289					
11	Число полученных открепительных  удостоверений	430	30	25	25	25	25	25	25	15	30	25	10	10	15	10	10	10	10	5	5	10	5	10	10	5	20	10	10	15					
12	Число выданных открепительных удостоверений	220	24	19	22	12	11	18	8	4	15	19	0	4	13	6	4	2	1	1	0	2	0	0	1	2	19	4	6	3					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	131	8	14	9	6	9	5	8	2	17	3	2	1	8	8	2	2	3	3	2	2	0	2	3	1	3	3	1	4					
14	Число неиспользованных открепительных удостоверений	210	6	6	3	13	14	7	17	11	15	6	10	6	2	4	6	8	9	4	5	8	5	10	9	3	1	6	4	12					
15	"Число открепительных удостоверений, выданных в ТИК"	2	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																			
18	. Глазьев Сергей Юрьевич	530	12	54	53	54	13	60	47	55	16	14	2	1	29	46	5	9	3	1	4	4	0	2	7	1	7	5	8	18					
		2.11%	0.83%	3.09%	3.27%	3.51%	0.81%	3.79%	3.23%	5.33%	0.81%	0.75%	0.36%	0.29%	2.35%	10.15%	1.46%	1.33%	0.83%	0.92%	2.23%	0.60%	0.00%	0.55%	1.33%	0.49%	0.83%	1.88%	1.34%	1.39%					
