Выборы Президента Российской Федерации																																	
																																	
Наименование Избирательной комиссии:    Лобненская городская																																	
																																	
Итоги голосования 																																	
																																	
		Сумма	УИК №1156	УИК №1157	УИК №1158	УИК №1159	УИК №1160	УИК №1161	УИК №1162	УИК №1163	УИК №1164	УИК №1165	УИК №1166	УИК №1167	УИК №1168	УИК №1169	УИК №1170	УИК №1171	УИК №1172	УИК №1173	УИК №1174	УИК №1175	УИК №1176	УИК №1177	УИК №1178	УИК  1179	УИК  1180	УИК  1181					
1	"Число избирателей, внесенных в список"	54866	2256	2100	2622	1747	2687	2624	2258	2647	2226	2385	2253	1964	2299	1824	2247	1609	2295	2340	1788	1812	1692	2126	1807	2646	2245	367					
2	Число полученных избирательных бюллетеней	49200	2000	1910	2380	1590	2420	2370	2030	2380	1960	2110	2030	1770	2090	1640	2010	1440	2080	2110	1600	1630	1490	1870	1590	2370	2020	310					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	31530	1151	1229	1532	1073	1611	1564	1201	1515	1186	1426	1345	1219	1315	1038	1299	892	1285	1299	1052	1088	1002	1162	1020	1425	1388	213					
5	"Число избирательных бюллетеней, выданных вне помещения"	813	105	25	23	13	25	18	32	15	30	26	27	19	54	23	35	17	24	48	24	23	53	38	32	28	41	15					
6	Число погашенных избирательных бюллетеней	16825	744	656	825	495	784	777	797	850	744	658	658	532	721	579	676	531	771	763	512	519	435	670	538	917	591	82					
7	Число избирательных бюллетеней в переносных ящиках	813	105	25	23	13	25	18	32	15	30	26	27	19	54	23	35	17	24	48	24	23	53	38	32	28	41	15					
8	Число бюллетеней в стационарных ящиках для голосования	31513	1148	1229	1532	1073	1611	1564	1201	1515	1184	1426	1345	1219	1315	1038	1299	889	1283	1299	1052	1088	1000	1162	1020	1425	1385	211					
9	Число недействительных избирательных бюллетеней	308	18	12	10	6	14	7	11	20	13	9	35	8	11	5	11	7	11	11	9	6	20	17	12	8	14	3					
10	Число действительных избирательных бюллетеней	32018	1235	1242	1545	1080	1622	1575	1222	1510	1201	1443	1337	1230	1358	1056	1323	899	1296	1336	1067	1105	1033	1183	1040	1445	1412	223					
11	Число полученных открепительных  удостоверений	1300	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50					
