Выборы Президента Российской Федерации																								
																								
Наименование Избирательной комиссии:    Дивногорская городская																								
																								
Итоги голосования 																								
																								
		Сумма	УИК №70	УИК №71	УИК №72	УИК №73	УИК №74	УИК №75	УИК №76	УИК №77	УИК №78	УИК №79	УИК №80	УИК №81	УИК №82	УИК №83	УИК №84	УИК №85	УИК №86					
1	"Число избирателей, внесенных в список"	26889	124	2978	2936	2497	2964	2823	2529	2857	2133	1755	82	773	1315	399	442	118	164					
2	Число полученных избирательных бюллетеней	25480	148	2800	2700	2300	2800	2700	2500	2700	2000	1700	84	750	1200	380	440	104	174					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	13222	59	1345	1424	1275	1542	1329	1190	1469	1135	933	69	356	566	203	193	83	51					
5	"Число избирательных бюллетеней, выданных вне помещения"	835	56	62	56	35	74	66	88	59	48	56	0	42	24	27	30	0	112					
6	Число погашенных избирательных бюллетеней	11423	33	1393	1220	990	1184	1305	1222	1172	817	711	15	352	610	150	217	21	11					
7	Число избирательных бюллетеней в переносных ящиках	835	56	62	56	35	74	66	88	59	48	56	0	42	24	27	30	0	112					
8	Число бюллетеней в стационарных ящиках для голосования	13219	59	1345	1424	1273	1541	1329	1190	1469	1135	933	69	356	566	203	193	83	51					
9	Число недействительных избирательных бюллетеней	55	1	3	6	5	4	4	5	1	0	2	0	4	10	5	2	1	2					
10	Число действительных избирательных бюллетеней	13999	114	1404	1474	1303	1611	1391	1273	1527	1183	987	69	394	580	225	221	82	161					
11	Число полученных открепительных  удостоверений	480	0	40	40	40	40	40	40	40	40	40	10	20	30	30	20	10	0					
12	Число выданных открепительных удостоверений	122	0	15	6	17	8	8	11	27	11	6	0	3	4	2	3	1	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	107	4	6	12	14	8	5	5	9	3	4	3	4	4	4	2	16	4					
14	Число неиспользованных открепительных удостоверений	358	0	25	34	23	32	32	29	13	29	34	10	17	26	28	17	9	0					
15	"Число открепительных удостоверений, выданных в ТИК"	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																								
18	. Глазьев Сергей Юрьевич	3513	37	391	345	315	487	354	308	417	279	252	6	68	122	48	44	13	27					
		25.00%	32.17%	27.79%	23.31%	24.08%	30.15%	25.38%	24.10%	27.29%	23.58%	25.48%	8.70%	17.09%	20.68%	20.87%	19.73%	15.66%	16.56%					
19	. Малышкин Олег Александрович	244	1	29	22	15	33	29	29	17	16	15	1	8	13	2	7	0	7					
		1.74%	0.87%	2.06%	1.49%	1.15%	2.04%	2.08%	2.27%	1.11%	1.35%	1.52%	1.45%	2.01%	2.20%	0.87%	3.14%	0.00%	4.29%					
20	. Миронов Сергей Михайлович	94	2	9	5	7	10	13	6	5	7	7	1	9	5	0	2	1	5					
		0.67%	1.74%	0.64%	0.34%	0.54%	0.62%	0.93%	0.47%	0.33%	0.59%	0.71%	1.45%	2.26%	0.85%	0.00%	0.90%	1.20%	3.07%					
21	. Путин Владимир Владимирович	7499	57	735	812	695	756	756	659	811	642	536	44	254	333	134	121	48	106					
		53.36%	49.57%	52.24%	54.86%	53.13%	46.81%	54.19%	51.56%	53.08%	54.27%	54.20%	63.77%	63.82%	56.44%	58.26%	54.26%	57.83%	65.03%					
22	. Хакамада Ирина Муцуовна	571	2	62	60	54	61	53	54	72	54	37	2	11	23	8	3	8	7					
		4.06%	1.74%	4.41%	4.05%	4.13%	3.78%	3.80%	4.23%	4.71%	4.56%	3.74%	2.90%	2.76%	3.90%	3.48%	1.35%	9.64%	4.29%					
23	. Харитонов Николай Михайлович	1519	4	134	161	154	200	133	169	146	137	101	13	32	65	24	34	8	4					
		10.81%	3.48%	9.52%	10.88%	11.77%	12.38%	9.53%	13.22%	9.55%	11.58%	10.21%	18.84%	8.04%	11.02%	10.43%	15.25%	9.64%	2.45%					
																								
24	Против всех	559	11	44	69	63	64	53	48	59	48	39	2	12	19	9	10	4	5					
		3.98%	9.57%	3.13%	4.66%	4.82%	3.96%	3.80%	3.76%	3.86%	4.06%	3.94%	2.90%	3.02%	3.22%	3.91%	4.48%	4.82%	3.07%					
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
