Выборы Президента Российской Федерации																																													
																																													
Наименование Избирательной комиссии:    Геленджикская городская																																													
																																													
Итоги голосования 																																													
																																													
		Сумма	УИК №901	УИК №902	УИК №903	УИК №904	УИК №905	УИК №906	УИК №907	УИК №908	УИК №909	УИК №910	УИК №911	УИК №912	УИК №913	УИК №914	УИК №915	УИК №916	УИК №917	УИК №918	УИК №919	УИК №920	УИК №921	УИК №922	УИК №923	УИК №924	УИК №925	УИК №926	УИК №927	УИК №928	УИК №929	УИК №930	УИК №931	УИК №932	УИК №933	УИК №934	УИК №935	УИК №936	УИК №937	УИК №938					
1	"Число избирателей, внесенных в список"	63643	2279	2120	2282	2502	1985	2585	1962	2500	2344	2529	2228	1652	2608	1720	1191	1471	2676	1172	2130	1130	2112	2483	944	325	1034	2485	1852	234	192	1044	1925	872	480	636	2191	2150	457	1161					
2	Число полученных избирательных бюллетеней	64310	2308	2160	2324	2516	1987	2611	1995	2504	2355	2623	2215	1605	2596	1728	1150	1453	2844	1167	2102	1128	2143	2469	944	319	1094	2560	1755	262	205	1075	1981	874	469	678	2206	2278	477	1150					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	37064	1300	1231	1372	1344	1221	1377	1199	1403	1350	1473	1330	922	1404	1006	616	748	1547	622	1321	631	1129	1432	500	221	574	1551	1155	183	144	594	1156	502	333	455	1223	1383	382	730					
5	"Число избирательных бюллетеней, выданных вне помещения"	1733	50	31	49	44	61	17	34	51	41	39	14	53	92	39	41	57	33	42	22	105	45	77	91	15	69	19	42	34	15	80	62	34	24	43	75	32	13	48					
6	Число погашенных избирательных бюллетеней	25513	958	898	903	1128	705	1217	762	1050	964	1111	871	630	1100	683	493	648	1264	503	759	392	969	960	353	83	451	990	558	45	46	401	763	338	112	180	908	863	82	372					
7	Число избирательных бюллетеней в переносных ящиках	1732	50	31	49	44	61	17	34	51	41	39	14	53	92	39	41	57	33	42	22	104	45	77	91	15	69	19	42	34	15	80	62	34	24	43	75	32	13	48					
8	Число бюллетеней в стационарных ящиках для голосования	37053	1300	1231	1372	1341	1221	1377	1199	1403	1350	1473	1330	922	1404	1004	616	748	1545	622	1321	631	1129	1432	500	221	572	1550	1155	183	144	594	1155	502	333	455	1223	1383	382	730					
9	Число недействительных избирательных бюллетеней	240	2	7	10	6	4	7	3	12	8	14	11	5	10	8	1	4	8	4	3	1	13	10	1	4	6	17	8	1	2	12	10	5	0	2	11	4	3	3					
10	Число действительных избирательных бюллетеней	38545	1348	1255	1411	1379	1278	1387	1230	1442	1383	1498	1333	970	1486	1035	656	801	1570	660	1340	734	1161	1499	590	232	635	1552	1189	216	157	662	1207	531	357	496	1287	1411	392	775					
11	Число полученных открепительных  удостоверений	977	33	36	34	41	32	42	28	39	31	42	29	26	42	24	17	22	43	22	21	16	33	35	17	5	16	39	25	5	5	16	30	14	8	12	34	35	8	20					
12	Число выданных открепительных удостоверений	358	11	12	23	20	14	9	10	8	15	23	16	5	15	10	3	5	11	8	17	11	8	11	2	1	3	12	10	2	1	5	14	6	3	3	4	22	0	5					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	569	5	5	15	9	3	5	8	20	10	10	4	19	35	25	14	19	14	6	38	6	11	35	0	3	6	6	109	1	7	4	11	9	59	2	19	7	3	7					
14	Число неиспользованных открепительных удостоверений	619	22	24	11	21	18	33	18	31	16	19	13	21	27	14	14	17	32	14	4	5	25	24	15	4	13	27	15	3	4	11	16	8	5	9	30	13	8	15					
15	"Число открепительных удостоверений, выданных в ТИК"	23	2	0	1	1	0	0	2	1	4	0	1	0	0	1	0	0	2	0	1	1	1	1	0	0	1	1	0	0	0	0	0	1	0	0	1	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																													
18	. Глазьев Сергей Юрьевич	1583	88	77	75	70	68	57	51	69	55	67	75	33	58	47	29	38	75	30	47	21	32	64	19	10	24	65	40	5	3	22	28	23	7	6	31	42	9	23					
		4.08%	6.52%	6.10%	5.28%	5.05%	5.30%	4.09%	4.14%	4.75%	3.95%	4.43%	5.58%	3.38%	3.88%	4.51%	4.41%	4.72%	4.75%	4.52%	3.50%	2.86%	2.73%	4.24%	3.21%	4.24%	3.74%	4.14%	3.34%	2.30%	1.89%	3.26%	2.30%	4.29%	1.96%	1.20%	2.39%	2.97%	2.28%	2.96%					
19	. Малышкин Олег Александрович	739	29	8	24	17	15	26	24	18	28	26	41	12	33	20	7	12	24	13	37	16	20	47	9	2	25	30	28	1	3	8	27	20	3	8	20	27	13	18					
		1.91%	2.15%	0.63%	1.69%	1.23%	1.17%	1.87%	1.95%	1.24%	2.01%	1.72%	3.05%	1.23%	2.21%	1.92%	1.07%	1.49%	1.52%	1.96%	2.76%	2.18%	1.70%	3.11%	1.52%	0.85%	3.90%	1.91%	2.34%	0.46%	1.89%	1.19%	2.22%	3.73%	0.84%	1.61%	1.54%	1.91%	3.29%	2.31%					
20	. Миронов Сергей Михайлович	187	4	9	4	7	8	8	2	9	7	5	13	6	6	6	1	5	2	2	6	6	7	12	2	1	2	8	5	0	1	3	5	2	1	1	9	8	0	4					
		0.48%	0.30%	0.71%	0.28%	0.51%	0.62%	0.57%	0.16%	0.62%	0.50%	0.33%	0.97%	0.62%	0.40%	0.58%	0.15%	0.62%	0.13%	0.30%	0.45%	0.82%	0.60%	0.80%	0.34%	0.42%	0.31%	0.51%	0.42%	0.00%	0.63%	0.45%	0.41%	0.37%	0.28%	0.20%	0.69%	0.57%	0.00%	0.51%					
21	. Путин Владимир Владимирович	28438	968	871	984	992	909	1009	874	1032	1003	1069	931	733	1068	731	505	604	1180	500	1064	554	929	1078	473	190	477	1204	893	186	140	470	859	414	280	410	963	1002	309	580					
		73.32%	71.70%	69.02%	69.25%	71.62%	70.90%	72.38%	70.88%	70.98%	72.11%	70.70%	69.27%	75.18%	71.39%	70.09%	76.86%	75.03%	74.78%	75.30%	79.23%	75.37%	79.13%	71.44%	80.03%	80.51%	74.41%	76.74%	74.60%	85.71%	88.05%	69.73%	70.58%	77.24%	78.43%	82.33%	74.19%	70.81%	78.23%	74.55%					
22	. Хакамада Ирина Муцуовна	1603	69	80	61	54	84	91	62	72	55	68	65	54	66	46	29	45	75	16	51	13	34	58	19	14	25	42	48	1	2	7	24	12	26	8	40	52	9	26					
		4.13%	5.11%	6.34%	4.29%	3.90%	6.55%	6.53%	5.03%	4.95%	3.95%	4.50%	4.84%	5.54%	4.41%	4.41%	4.41%	5.59%	4.75%	2.41%	3.80%	1.77%	2.90%	3.84%	3.21%	5.93%	3.90%	2.68%	4.01%	0.46%	1.26%	1.04%	1.97%	2.24%	7.28%	1.61%	3.08%	3.67%	2.28%	3.34%					
23	. Харитонов Николай Михайлович	4837	143	156	215	188	155	142	167	201	182	205	162	107	203	139	70	74	164	72	94	100	112	195	53	10	67	159	147	21	7	143	232	48	31	57	206	255	48	107					
		12.47%	10.59%	12.36%	15.13%	13.57%	12.09%	10.19%	13.54%	13.82%	13.08%	13.56%	12.05%	10.97%	13.57%	13.33%	10.65%	9.19%	10.39%	10.84%	7.00%	13.61%	9.54%	12.92%	8.97%	4.24%	10.45%	10.13%	12.28%	9.68%	4.40%	21.22%	19.06%	8.96%	8.68%	11.45%	15.87%	18.02%	12.15%	13.75%					
																																													
24	Против всех	1158	47	54	48	51	39	54	50	41	53	58	46	25	52	46	15	23	50	27	41	24	27	45	15	5	15	44	28	2	1	9	32	12	9	6	18	25	4	17					
		2.99%	3.48%	4.28%	3.38%	3.68%	3.04%	3.87%	4.06%	2.82%	3.81%	3.84%	3.42%	2.56%	3.48%	4.41%	2.28%	2.86%	3.17%	4.07%	3.05%	3.27%	2.30%	2.98%	2.54%	2.12%	2.34%	2.80%	2.34%	0.92%	0.63%	1.34%	2.63%	2.24%	2.52%	1.20%	1.39%	1.77%	1.01%	2.19%					
																																													
																																													
																																													
																																													
																																													
																																													
																																													
																																													
																																													
																																													
																																													
																																													
																																													
																																													
																																													
