Выборы Президента Российской Федерации																	
																	
Наименование Избирательной комиссии:    Мантуровская городская																	
																	
Итоги голосования 																	
																	
		Сумма	УИК  395	УИК  396	УИК  397	УИК  398	УИК  399	УИК  400	УИК  401	УИК  402	УИК  403	УИК  404					
1	"Число избирателей, внесенных в список"	15484	1592	1579	1500	1569	1645	1471	1539	1525	1478	1586					
2	Число полученных избирательных бюллетеней	15570	1600	1600	1500	1570	1650	1500	1530	1520	1500	1600					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	7069	748	772	637	662	727	606	674	790	765	688					
5	"Число избирательных бюллетеней, выданных вне помещения"	591	114	48	58	77	108	43	41	34	37	31					
6	Число погашенных избирательных бюллетеней	7910	738	780	805	831	815	851	815	696	698	881					
7	Число избирательных бюллетеней в переносных ящиках	591	114	48	58	77	108	43	41	34	37	31					
8	Число бюллетеней в стационарных ящиках для голосования	7067	748	772	637	662	727	606	674	789	764	688					
9	Число недействительных избирательных бюллетеней	68	4	8	6	5	18	7	4	4	6	6					
10	Число действительных избирательных бюллетеней	7590	858	812	689	734	817	642	711	819	795	713					
11	Число полученных открепительных  удостоверений	235	23	23	23	23	23	24	24	24	24	24					
12	Число выданных открепительных удостоверений	19	5	0	0	4	0	1	2	3	4	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	14	2	3	3	1	1	2	2	0	0	0					
14	Число неиспользованных открепительных удостоверений	216	18	23	23	19	23	23	22	21	20	24					
15	"Число открепительных удостоверений, выданных в ТИК"	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																	
18	. Глазьев Сергей Юрьевич	201	18	23	17	13	21	14	22	27	24	22					
		2.62%	2.09%	2.80%	2.45%	1.76%	2.51%	2.16%	3.08%	3.28%	3.00%	3.06%					
19	. Малышкин Олег Александрович	159	17	28	9	14	15	14	12	11	18	21					
		2.08%	1.97%	3.41%	1.29%	1.89%	1.80%	2.16%	1.68%	1.34%	2.25%	2.92%					
20	. Миронов Сергей Михайлович	87	7	8	9	12	8	6	8	5	16	8					
		1.14%	0.81%	0.98%	1.29%	1.62%	0.96%	0.92%	1.12%	0.61%	2.00%	1.11%					
21	. Путин Владимир Владимирович	4161	428	419	390	428	394	410	391	458	428	415					
		54.34%	49.65%	51.10%	56.12%	57.92%	47.19%	63.17%	54.69%	55.65%	53.43%	57.72%					
22	. Хакамада Ирина Муцуовна	192	12	27	15	18	21	17	24	18	20	20					
		2.51%	1.39%	3.29%	2.16%	2.44%	2.51%	2.62%	3.36%	2.19%	2.50%	2.78%					
23	. Харитонов Николай Михайлович	2664	363	287	239	238	343	173	247	283	277	214					
		34.79%	42.11%	35.00%	34.39%	32.21%	41.08%	26.66%	34.55%	34.39%	34.58%	29.76%					
																	
24	Против всех	126	13	20	10	11	15	8	7	17	12	13					
		1.65%	1.51%	2.44%	1.44%	1.49%	1.80%	1.23%	0.98%	2.07%	1.50%	1.81%					
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
