Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																						
Дата голосования: 04.12.2011																																						
																																						
Наименование Избирательной комиссии:    Кигинская																																						
																																						
Сводная таблица результатов выборов																																						
																																						
		Сумма	УИК №2349	УИК №2350	УИК №2351	УИК №2352	УИК №2353	УИК №2354	УИК №2355	УИК №2356	УИК №2357	УИК №2358	УИК №2359	УИК №2360	УИК №2361	УИК №2362	УИК №2363	УИК №2364	УИК №2365	УИК №2366	УИК №2367	УИК №2368	УИК №2369	УИК №2370	УИК №2371	УИК №2372	УИК №2373	УИК №2374	УИК №2375	УИК №2376	УИК №2377	УИК №2378	УИК №2379					
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																						
19	1. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	121	1	1	1	12	0	1	0	0	3	7	1	10	1	0	0	4	2	1	16	1	1	2	0	0	14	25	1	1	9	4	2					
		0.96%	0.27%	0.29%	0.69%	4.29%	0.00%	0.65%	0.00%	0.00%	0.92%	0.36%	0.07%	0.62%	0.81%	0.00%	0.00%	2.12%	0.38%	0.31%	8.33%	0.35%	0.35%	0.51%	0.00%	0.00%	7.04%	10.55%	0.47%	0.23%	5.66%	0.82%	0.40%					
20	"2. Политическая партия ""Либерально-демократическая партия России"""	95	1	1	1	12	0	1	0	0	2	5	1	6	1	0	0	5	1	1	6	0	0	1	1	1	8	12	0	1	21	5	1					
		0.75%	0.27%	0.29%	0.69%	4.29%	0.00%	0.65%	0.00%	0.00%	0.61%	0.26%	0.07%	0.37%	0.81%	0.00%	0.00%	2.65%	0.19%	0.31%	3.13%	0.00%	0.00%	0.25%	0.92%	0.39%	4.02%	5.06%	0.00%	0.23%	13.21%	1.03%	0.20%					
21	"3. Политическая партия ""ПАТРИОТЫ РОССИИ"""	16	0	0	0	1	0	0	0	0	0	5	0	4	0	0	0	0	0	0	1	0	0	0	0	0	1	2	0	1	1	0	0					
		0.13%	0.00%	0.00%	0.00%	0.36%	0.00%	0.00%	0.00%	0.00%	0.00%	0.26%	0.00%	0.25%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.52%	0.00%	0.00%	0.00%	0.00%	0.00%	0.50%	0.84%	0.00%	0.23%	0.63%	0.00%	0.00%					
22	"4. Политическая партия ""Коммунистическая партия Российской Федерации"""	1891	37	28	15	98	35	14	27	7	66	139	352	121	4	100	24	6	57	115	18	11	42	63	16	39	47	33	30	88	19	130	110					
		15.02%	10.11%	8.19%	10.42%	35.00%	28.00%	9.09%	16.67%	4.76%	20.18%	7.22%	23.31%	7.47%	3.25%	24.88%	13.48%	3.17%	10.86%	35.49%	9.38%	3.86%	14.53%	15.99%	14.68%	15.35%	23.62%	13.92%	13.95%	20.18%	11.95%	26.69%	22.22%					
23	"5. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	15	0	0	0	0	0	0	0	0	0	5	1	3	0	0	0	0	0	0	0	0	0	0	0	0	3	3	0	0	0	0	0					
		0.12%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.26%	0.07%	0.19%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	1.51%	1.27%	0.00%	0.00%	0.00%	0.00%	0.00%					
24	"6. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	10338	321	304	126	153	90	138	135	138	252	1752	1151	1476	117	300	154	171	456	205	132	273	246	314	91	212	124	159	184	340	108	339	377					
		82.09%	87.70%	88.89%	87.50%	54.64%	72.00%	89.61%	83.33%	93.88%	77.06%	91.01%	76.23%	91.11%	95.12%	74.63%	86.52%	90.48%	86.86%	63.27%	68.75%	95.79%	85.12%	79.70%	83.49%	83.46%	62.31%	67.09%	85.58%	77.98%	67.92%	69.61%	76.16%					
25	"7. Всероссийская политическая партия ""ПРАВОЕ ДЕЛО"""	7	0	0	0	0	0	0	0	0	0	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0					
		0.06%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.16%	0.07%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.42%	0.00%	0.00%	0.00%	0.41%	0.00%					
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
