Выборы Президента Российской Федерации																										
																										
Наименование Избирательной комиссии:    Турковская																										
																										
Итоги голосования 																										
																										
		Сумма	УИК  1624	УИК  1625	УИК  1626	УИК  1627	УИК  1628	УИК  1629	УИК  1630	УИК  1631	УИК  1632	УИК  1633	УИК  1634	УИК  1635	УИК  1636	УИК  1637	УИК  1638	УИК  1639	УИК  1640	УИК  1641	УИК  1642					
1	"Число избирателей, внесенных в список"	12115	1514	1725	1054	1135	504	526	212	325	306	391	341	334	813	404	615	669	485	177	585					
2	Число полученных избирательных бюллетеней	12214	1509	1745	1043	1137	505	540	207	323	325	389	354	328	825	405	637	677	506	183	576					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	7739	748	832	792	753	291	267	145	291	146	322	205	172	433	319	558	547	316	126	476					
5	"Число избирательных бюллетеней, выданных вне помещения"	2056	193	156	125	85	114	248	39	14	118	51	119	142	255	75	21	38	157	37	69					
6	Число погашенных избирательных бюллетеней	2419	568	757	126	299	100	25	23	18	61	16	30	14	137	11	58	92	33	20	31					
7	Число избирательных бюллетеней в переносных ящиках	2056	193	156	125	85	114	248	39	14	118	51	119	142	255	75	21	38	157	37	69					
8	Число бюллетеней в стационарных ящиках для голосования	7739	748	832	792	753	291	267	145	291	146	322	205	172	433	319	558	547	316	126	476					
9	Число недействительных избирательных бюллетеней	49	7	7	0	0	0	0	0	0	0	2	0	0	3	0	6	7	1	0	16					
10	Число действительных избирательных бюллетеней	9746	934	981	917	838	405	515	184	305	264	371	324	314	685	394	573	578	472	163	529					
11	Число полученных открепительных  удостоверений	196	26	28	13	16	7	9	6	2	9	6	9	9	15	9	9	9	9	2	3					
12	Число выданных открепительных удостоверений	143	26	28	9	16	4	1	0	0	3	2	8	3	15	3	9	9	5	1	1					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	37	4	2	5	1	2	1	1	1	2	4	1	2	2	1	1	1	2	2	2					
14	Число неиспользованных открепительных удостоверений	53	0	0	4	0	3	8	6	2	6	4	1	6	0	6	0	0	4	1	2					
15	"Число открепительных удостоверений, выданных в ТИК"	3	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																										
18	. Глазьев Сергей Юрьевич	43	19	0	2	3	5	1	2	0	0	0	3	1	1	1	1	2	1	1	0					
		0.44%	2.02%	0.00%	0.22%	0.36%	1.23%	0.19%	1.09%	0.00%	0.00%	0.00%	0.93%	0.32%	0.15%	0.25%	0.17%	0.34%	0.21%	0.61%	0.00%					
19	. Малышкин Олег Александрович	88	37	0	4	5	2	2	2	5	0	0	3	1	1	1	1	12	3	1	8					
		0.90%	3.93%	0.00%	0.44%	0.60%	0.49%	0.39%	1.09%	1.64%	0.00%	0.00%	0.93%	0.32%	0.15%	0.25%	0.17%	2.05%	0.63%	0.61%	1.47%					
20	. Миронов Сергей Михайлович	26	2	0	2	1	2	2	0	1	0	0	2	0	0	0	2	3	3	3	3					
		0.27%	0.21%	0.00%	0.22%	0.12%	0.49%	0.39%	0.00%	0.33%	0.00%	0.00%	0.62%	0.00%	0.00%	0.00%	0.35%	0.51%	0.63%	1.84%	0.55%					
21	. Путин Владимир Владимирович	7961	583	692	779	727	369	438	169	256	224	299	243	257	553	335	492	507	453	107	478					
		81.28%	61.96%	70.04%	84.95%	86.75%	91.11%	85.05%	91.85%	83.93%	84.85%	80.16%	75.00%	81.85%	80.38%	85.03%	84.97%	86.67%	95.77%	65.64%	87.71%					
22	. Хакамада Ирина Муцуовна	49	20	0	2	2	3	0	2	5	1	0	3	0	0	0	2	4	3	1	1					
		0.50%	2.13%	0.00%	0.22%	0.24%	0.74%	0.00%	1.09%	1.64%	0.38%	0.00%	0.93%	0.00%	0.00%	0.00%	0.35%	0.68%	0.63%	0.61%	0.18%					
23	. Харитонов Николай Михайлович	1545	259	289	127	98	24	72	9	34	39	71	70	55	127	57	75	46	9	46	38					
		15.77%	27.52%	29.25%	13.85%	11.69%	5.93%	13.98%	4.89%	11.15%	14.77%	19.03%	21.60%	17.52%	18.46%	14.47%	12.95%	7.86%	1.90%	28.22%	6.97%					
																										
24	Против всех	34	14	0	1	2	0	0	0	4	0	1	0	0	3	0	0	4	0	4	1					
		0.35%	1.49%	0.00%	0.11%	0.24%	0.00%	0.00%	0.00%	1.31%	0.00%	0.27%	0.00%	0.00%	0.44%	0.00%	0.00%	0.68%	0.00%	2.45%	0.18%					
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
