Выборы Президента Российской Федерации																																										
																																										
Наименование Избирательной комиссии:    Подгоренская																																										
																																										
Итоги голосования 																																										
																																										
		Сумма	УИК №3101	УИК №3102	УИК №3103	УИК №3104	УИК №3105	УИК №3106	УИК №3107	УИК №3108	УИК №3109	УИК №3110	УИК №3111	УИК №3112	УИК №3113	УИК №3114	УИК №3115	УИК №3116	УИК №3117	УИК №3118	УИК №3119	УИК №3120	УИК №3121	УИК №3122	УИК №3123	УИК №3124	УИК №3125	УИК №3126	УИК №3127	УИК №3128	УИК №3129	УИК №3130	УИК №3131	УИК №3132	УИК №3133	УИК №3134	УИК №3135					
1	"Число избирателей, внесенных в список"	22867	257	308	989	82	983	889	475	389	931	764	539	304	234	2004	1082	368	594	313	380	125	1147	303	328	188	446	229	1008	553	486	284	381	283	1385	2525	1311					
2	Число полученных избирательных бюллетеней	22720	250	300	990	80	980	890	470	390	930	760	530	300	230	2000	1070	360	580	300	370	120	1150	290	330	190	450	230	1000	500	490	280	380	280	1350	2550	1350					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	12720	160	200	466	72	567	526	260	131	613	392	335	196	146	866	564	221	360	185	268	76	508	130	201	113	248	138	541	215	285	139	259	149	831	1629	730					
5	"Число избирательных бюллетеней, выданных вне помещения"	4164	57	56	107	8	122	167	188	157	134	296	122	91	65	268	87	69	121	86	55	36	250	74	94	60	107	72	277	195	118	91	55	81	150	158	90					
6	Число погашенных избирательных бюллетеней	5836	33	44	417	0	291	197	22	102	183	72	73	13	19	866	419	70	99	29	47	8	392	86	35	17	95	20	182	90	87	50	66	50	369	763	530					
7	Число избирательных бюллетеней в переносных ящиках	4164	57	56	107	8	122	167	188	157	134	296	122	91	65	268	87	69	121	86	55	36	250	74	94	60	107	72	277	195	118	91	55	81	150	158	90					
8	Число бюллетеней в стационарных ящиках для голосования	12712	160	200	466	72	567	526	260	131	613	391	335	196	146	866	564	221	360	184	268	76	508	130	201	113	248	138	541	215	285	139	259	149	831	1625	728					
9	Число недействительных избирательных бюллетеней	131	1	0	4	0	8	2	2	0	7	3	3	4	2	18	10	3	3	0	2	0	0	6	2	2	4	1	4	0	5	2	2	1	15	9	6					
10	Число действительных избирательных бюллетеней	16745	216	256	569	80	681	691	446	288	740	684	454	283	209	1116	641	287	478	270	321	112	758	198	293	171	351	209	814	410	398	228	312	229	966	1774	812					
11	Число полученных открепительных  удостоверений	295	2	2	10	3	8	7	2	4	5	5	2	2	4	15	7	3	10	2	2	2	7	2	13	2	6	2	8	3	2	2	5	4	35	82	25					
12	Число выданных открепительных удостоверений	244	1	0	9	0	6	6	2	2	5	5	0	0	2	12	7	2	10	1	0	1	6	0	12	2	6	0	8	3	1	1	4	4	26	82	18					
