Выборы Президента Российской Федерации																												
																												
Наименование Избирательной комиссии:    Чучковская																												
																												
Итоги голосования 																												
																												
		Сумма	УИК №997	УИК №998	УИК №999	УИК №1000	УИК №1001	УИК №1002	УИК №1003	УИК №1004	УИК №1005	УИК №1006	УИК №1007	УИК №1008	УИК №1009	УИК №1010	УИК №1011	УИК №1012	УИК №1013	УИК №1014	УИК №1015	УИК №1016	УИК №1017					
1	"Число избирателей, внесенных в список"	7378	301	866	105	62	312	150	245	230	106	113	232	322	263	852	201	68	72	155	1461	1090	172					
2	Число полученных избирательных бюллетеней	7290	290	860	100	60	310	150	240	225	105	110	230	315	260	845	200	65	70	155	1455	1075	170					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	4389	230	432	78	42	269	113	139	137	82	48	166	172	151	440	91	31	43	60	881	658	126					
5	"Число избирательных бюллетеней, выданных вне помещения"	687	13	68	16	7	11	9	36	46	17	36	43	34	43	52	71	26	14	30	60	37	18					
6	Число погашенных избирательных бюллетеней	2214	47	360	6	11	30	28	65	42	6	26	21	109	66	353	38	8	13	65	514	380	26					
7	Число избирательных бюллетеней в переносных ящиках	687	13	68	16	7	11	9	36	46	17	36	43	34	43	52	71	26	14	30	60	37	18					
8	Число бюллетеней в стационарных ящиках для голосования	4388	230	432	78	42	269	113	139	137	82	48	166	172	151	440	91	31	43	60	881	657	126					
9	Число недействительных избирательных бюллетеней	68	2	10	0	1	4	4	3	2	0	1	6	2	3	4	0	0	1	2	8	14	1					
10	Число действительных избирательных бюллетеней	5007	241	490	94	48	276	118	172	181	99	83	203	204	191	488	162	57	56	88	933	680	143					
11	Число полученных открепительных  удостоверений	300	10	25	10	5	20	10	20	10	5	5	15	20	5	25	10	5	10	10	35	35	10					
12	Число выданных открепительных удостоверений	67	1	2	0	1	3	3	1	4	0	0	0	0	0	2	0	0	0	0	35	12	3					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	65	7	2	3	2	5	2	3	2	1	3	2	7	3	4	3	3	2	0	3	6	2					
14	Число неиспользованных открепительных удостоверений	233	9	23	10	4	17	7	19	6	5	5	15	20	5	23	10	5	10	10	0	23	7					
15	"Число открепительных удостоверений, выданных в ТИК"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																												
18	. Глазьев Сергей Юрьевич	91	3	9	0	0	3	2	6	2	1	1	5	5	6	4	6	0	0	2	17	19	0					
		1.79%	1.23%	1.80%	0.00%	0.00%	1.07%	1.64%	3.43%	1.09%	1.01%	1.19%	2.39%	2.43%	3.09%	0.81%	3.70%	0.00%	0.00%	2.22%	1.81%	2.74%	0.00%					
19	. Малышкин Олег Александрович	80	1	8	0	1	8	3	1	2	4	0	1	9	4	4	2	0	1	4	14	11	2					
		1.58%	0.41%	1.60%	0.00%	2.04%	2.86%	2.46%	0.57%	1.09%	4.04%	0.00%	0.48%	4.37%	2.06%	0.81%	1.23%	0.00%	1.75%	4.44%	1.49%	1.59%	1.39%					
20	. Миронов Сергей Михайлович	43	3	1	0	1	4	1	1	0	3	0	3	0	1	3	2	0	2	2	8	8	0					
		0.85%	1.23%	0.20%	0.00%	2.04%	1.43%	0.82%	0.57%	0.00%	3.03%	0.00%	1.44%	0.00%	0.52%	0.61%	1.23%	0.00%	3.51%	2.22%	0.85%	1.15%	0.00%					
21	. Путин Владимир Владимирович	4004	217	403	52	31	228	81	145	158	86	67	145	161	148	357	119	53	48	69	765	538	133					
		78.90%	89.30%	80.60%	55.32%	63.27%	81.43%	66.39%	82.86%	86.34%	86.87%	79.76%	69.38%	78.16%	76.29%	72.56%	73.46%	92.98%	84.21%	76.67%	81.30%	77.52%	92.36%					
22	. Хакамада Ирина Муцуовна	63	1	2	2	4	5	3	3	1	0	0	1	2	2	3	1	0	1	0	15	15	2					
		1.24%	0.41%	0.40%	2.13%	8.16%	1.79%	2.46%	1.71%	0.55%	0.00%	0.00%	0.48%	0.97%	1.03%	0.61%	0.62%	0.00%	1.75%	0.00%	1.59%	2.16%	1.39%					
23	. Харитонов Николай Михайлович	644	14	58	39	10	19	27	15	16	3	15	40	27	29	104	30	3	4	11	93	82	5					
		12.69%	5.76%	11.60%	41.49%	20.41%	6.79%	22.13%	8.57%	8.74%	3.03%	17.86%	19.14%	13.11%	14.95%	21.14%	18.52%	5.26%	7.02%	12.22%	9.88%	11.82%	3.47%					
																												
24	Против всех	82	2	9	1	1	9	1	1	2	2	0	8	0	1	13	2	1	0	0	21	7	1					
		1.62%	0.82%	1.80%	1.06%	2.04%	3.21%	0.82%	0.57%	1.09%	2.02%	0.00%	3.83%	0.00%	0.52%	2.64%	1.23%	1.75%	0.00%	0.00%	2.23%	1.01%	0.69%					
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
