Выборы Президента Российской Федерации																																			
																																			
Наименование Избирательной комиссии:    Янтиковская																																			
																																			
Итоги голосования 																																			
																																			
		Сумма	УИК №1115	УИК №1116	УИК №1117	УИК №1118	УИК №1119	УИК №1120	УИК №1121	УИК №1122	УИК №1123	УИК №1124	УИК №1125	УИК №1126	УИК №1127	УИК №1128	УИК №1129	УИК №1130	УИК №1131	УИК №1132	УИК №1133	УИК №1134	УИК №1135	УИК №1136	УИК №1137	УИК №1138	УИК №1139	УИК №1140	УИК №1141	УИК №1142					
1	"Число избирателей, внесенных в список"	12464	654	1645	264	491	296	285	203	205	385	251	306	509	168	239	445	321	1144	587	279	250	399	437	242	931	391	924	120	93					
2	Число полученных избирательных бюллетеней	12551	655	1642	276	494	291	277	202	217	369	253	299	510	176	240	440	318	1146	600	280	244	404	431	247	1008	390	921	127	94					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	9709	506	1277	190	355	242	232	168	185	330	213	259	417	130	201	372	275	837	452	218	185	230	342	201	763	333	620	98	78					
5	"Число избирательных бюллетеней, выданных вне помещения"	978	20	30	22	44	20	32	21	11	35	21	31	22	32	31	32	15	99	59	11	32	90	24	25	54	36	101	18	10					
6	Число погашенных избирательных бюллетеней	1864	129	335	64	95	29	13	13	21	4	19	9	71	14	8	36	28	210	89	51	27	84	65	21	191	21	200	11	6					
7	Число избирательных бюллетеней в переносных ящиках	978	20	30	22	44	20	32	21	11	35	21	31	22	32	31	32	15	99	59	11	32	90	24	25	54	36	101	18	10					
8	Число бюллетеней в стационарных ящиках для голосования	9709	506	1277	190	355	242	232	168	185	330	213	259	417	130	201	372	275	837	452	218	185	230	342	201	763	333	620	98	78					
9	Число недействительных избирательных бюллетеней	387	9	24	13	6	1	9	2	9	44	2	6	22	0	4	8	19	14	4	11	7	9	58	0	75	15	16	0	0					
10	Число действительных избирательных бюллетеней	10300	517	1283	199	393	261	255	187	187	321	232	284	417	162	228	396	271	922	507	218	210	311	308	226	742	354	705	116	88					
11	Число полученных открепительных  удостоверений	500	18	61	15	18	10	12	10	20	31	10	11	10	7	9	6	7	55	20	8	10	20	26	10	49	13	20	10	4					
12	Число выданных открепительных удостоверений	500	18	61	15	18	10	12	10	20	31	10	11	10	7	9	6	7	55	20	8	10	20	26	10	49	13	20	10	4					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	116	9	16	0	2	8	2	1	5	6	6	3	3	3	4	0	0	5	3	3	4	5	3	1	17	2	4	0	1					
14	Число неиспользованных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
15	"Число открепительных удостоверений, выданных в ТИК"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																			
18	. Глазьев Сергей Юрьевич	164	13	44	1	9	3	2	4	2	2	1	3	7	2	1	4	5	8	9	2	15	5	2	1	5	2	11	1	0					
		1.53%	2.47%	3.37%	0.47%	2.26%	1.15%	0.76%	2.12%	1.02%	0.55%	0.43%	1.03%	1.59%	1.23%	0.43%	0.99%	1.72%	0.85%	1.76%	0.87%	6.91%	1.56%	0.55%	0.44%	0.61%	0.54%	1.53%	0.86%	0.00%					
19	. Малышкин Олег Александрович	164	15	20	6	9	8	7	7	1	7	4	1	4	4	1	6	7	13	4	2	7	2	4	0	9	4	12	0	0					
		1.53%	2.85%	1.53%	2.83%	2.26%	3.05%	2.65%	3.70%	0.51%	1.92%	1.71%	0.34%	0.91%	2.47%	0.43%	1.49%	2.41%	1.39%	0.78%	0.87%	3.23%	0.62%	1.09%	0.00%	1.10%	1.08%	1.66%	0.00%	0.00%					
20	. Миронов Сергей Михайлович	45	0	10	0	4	1	1	0	0	1	1	2	4	1	1	0	0	4	3	1	1	1	0	0	5	0	4	0	0					
		0.42%	0.00%	0.77%	0.00%	1.00%	0.38%	0.38%	0.00%	0.00%	0.27%	0.43%	0.69%	0.91%	0.62%	0.43%	0.00%	0.00%	0.43%	0.59%	0.44%	0.46%	0.31%	0.00%	0.00%	0.61%	0.00%	0.55%	0.00%	0.00%					
21	. Путин Владимир Владимирович	7120	350	801	160	263	180	199	132	158	251	189	197	298	101	190	289	195	665	383	138	121	216	245	162	401	261	398	97	80					
		66.62%	66.54%	61.29%	75.47%	65.91%	68.70%	75.38%	69.84%	80.61%	68.77%	80.77%	67.93%	67.88%	62.35%	81.90%	71.53%	67.24%	71.05%	74.95%	60.26%	55.76%	67.50%	66.94%	71.68%	49.08%	70.73%	55.20%	83.62%	90.91%					
22	. Хакамада Ирина Муцуовна	114	6	25	2	5	2	0	0	0	2	4	3	1	2	1	2	6	6	5	2	4	2	4	4	9	1	13	2	1					
		1.07%	1.14%	1.91%	0.94%	1.25%	0.76%	0.00%	0.00%	0.00%	0.55%	1.71%	1.03%	0.23%	1.23%	0.43%	0.50%	2.07%	0.64%	0.98%	0.87%	1.84%	0.62%	1.09%	1.77%	1.10%	0.27%	1.80%	1.72%	1.14%					
23	. Харитонов Николай Михайлович	2577	127	359	26	94	66	41	43	26	54	32	74	99	51	30	94	57	214	99	69	62	81	52	59	303	86	258	14	7					
		24.11%	24.14%	27.47%	12.26%	23.56%	25.19%	15.53%	22.75%	13.27%	14.79%	13.68%	25.52%	22.55%	31.48%	12.93%	23.27%	19.66%	22.86%	19.37%	30.13%	28.57%	25.31%	14.21%	26.11%	37.09%	23.31%	35.78%	12.07%	7.95%					
																																			
24	Против всех	116	6	24	4	9	1	5	1	0	4	1	4	4	1	4	1	1	12	4	4	0	4	1	0	10	0	9	2	0					
		1.09%	1.14%	1.84%	1.89%	2.26%	0.38%	1.89%	0.53%	0.00%	1.10%	0.43%	1.38%	0.91%	0.62%	1.72%	0.25%	0.34%	1.28%	0.78%	1.75%	0.00%	1.25%	0.27%	0.00%	1.22%	0.00%	1.25%	1.72%	0.00%					
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
