Выборы Президента Российской Федерации																																									
Дата голосования: 18.03.2018																																									
																																									
Наименование Избирательной комиссии:    Янтиковская																																									
																																									
Сводная таблица итогов голосования																																									
																																									
	Число участковых избирательных комиссий	30																																							
	"Число участковых избирательных комиссий, приступивших к передаче сведений"	30																																							
																																									
		Сумма	УИК №2501	УИК №2502	УИК №2503	УИК №2504	УИК №2505	УИК №2506	УИК №2507	УИК №2508	УИК №2509	УИК №2510	УИК №2511	УИК №2512	УИК №2513	УИК №2514	УИК №2515	УИК №2516	УИК №2517	УИК №2518	УИК №2519	УИК №2520	УИК №2521	УИК №2522	УИК №2523	УИК №2524	УИК №2525	УИК №2526	УИК №2527	УИК №2528	УИК №2529	УИК №2530									
		0.66%	0.00%	0.00%	0.00%	0.62%	0.00%	0.00%	0.40%	0.54%	0.00%	0.00%	0.00%	0.00%	1.23%	0.00%	0.94%	1.00%	0.60%	0.00%	0.28%	1.81%	0.62%	0.70%	1.90%	0.67%	0.00%	0.00%	0.00%	0.00%	1.44%	0.80%									
19	Титов Борис Юрьевич	22	1	0	0	0	1	0	1	0	0	0	0	0	3	0	0	0	0	0	0	0	0	1	4	3	2	0	0	1	5	0									
		0.23%	0.46%	0.00%	0.00%	0.00%	0.33%	0.00%	0.40%	0.00%	0.00%	0.00%	0.00%	0.00%	0.37%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.35%	0.45%	0.67%	0.41%	0.00%	0.00%	0.47%	0.72%	0.00%									
20	Явлинский Григорий Алексеевич	15	0	0	0	0	0	0	0	1	0	1	0	0	2	0	1	0	0	0	0	0	0	0	4	0	4	0	0	2	0	0									
		0.16%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.27%	0.00%	0.75%	0.00%	0.00%	0.25%	0.00%	0.23%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.45%	0.00%	0.82%	0.00%	0.00%	0.95%	0.00%	0.00%									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
