Выборы Президента Российской Федерации																																																										
																																																										
Наименование Избирательной комиссии:    Тобольская городская																																																										
																																																										
Итоги голосования 																																																										
																																																										
		Сумма	УИК №640	УИК №641	УИК №642	УИК №643	УИК №644	УИК №645	УИК №646	УИК №647	УИК №648	УИК №649	УИК №650	УИК №651	УИК №652	УИК №653	УИК №654	УИК №655	УИК №656	УИК №657	УИК №658	УИК №659	УИК №660	УИК №661	УИК №662	УИК №663	УИК №664	УИК №665	УИК №666	УИК №667	УИК №668	УИК №669	УИК №670	УИК №671	УИК №672	УИК №673	УИК №674	УИК №675	УИК №676	УИК №677	УИК №678	УИК №679	УИК №680	УИК №681	УИК №682	УИК №683	УИК №684	УИК №685	УИК №686	УИК №687	УИК №688	УИК №689	УИК №690					
1	"Число избирателей, внесенных в список"	81518	1613	2418	1629	2322	1538	1903	1914	1876	1618	1324	1466	2567	2031	2520	1667	1890	1486	1285	2054	2124	1273	2250	2519	3200	2478	2953	1621	2191	2044	880	988	1023	1185	964	1445	1464	1028	1320	238	836	599	1227	2057	1738	1749	1163	1588	1562	193	78	419					
2	Число полученных избирательных бюллетеней	72462	1360	2100	1450	2180	1380	1600	1670	1610	1450	1070	1310	2300	1850	2250	1550	1750	1370	1250	1900	1900	1150	2050	2350	2900	2250	2600	1450	1950	1850	660	800	860	980	810	1150	1250	960	1160	230	750	550	1100	1860	1550	1550	1050	1370	1350	170	80	372					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	57769	1050	1639	1094	1591	1071	1292	1392	1307	1222	991	1041	1743	1457	1833	1140	1393	1055	877	1464	1569	929	1592	1801	2320	1680	2141	1176	1753	1568	551	703	653	821	628	928	845	667	999	194	552	430	851	1473	1283	1211	740	1245	1239	136	74	365					
5	"Число избирательных бюллетеней, выданных вне помещения"	1341	35	107	27	37	17	20	34	27	25	39	22	32	8	25	17	17	40	2	30	25	19	18	23	27	21	18	10	9	18	17	31	21	19	26	23	45	38	22	11	22	20	88	63	31	24	11	24	33	18	0	5					
6	Число погашенных избирательных бюллетеней	13352	275	354	329	552	292	288	244	276	203	40	247	525	385	392	393	340	275	371	406	306	202	440	526	553	549	441	264	188	264	92	66	186	140	156	199	360	255	139	25	176	100	161	324	236	315	299	101	78	16	6	2					
7	Число избирательных бюллетеней в переносных ящиках	1341	35	107	27	37	17	20	34	27	25	39	22	32	8	25	17	17	40	2	30	25	19	18	23	27	21	18	10	9	18	17	31	21	19	26	23	45	38	22	11	22	20	88	63	31	24	11	24	33	18	0	5					
8	Число бюллетеней в стационарных ящиках для голосования	57594	1050	1639	1091	1589	1071	1292	1233	1307	1222	991	1041	1743	1457	1833	1140	1393	1055	875	1464	1569	929	1592	1801	2320	1679	2141	1176	1752	1564	551	703	653	821	628	928	845	667	999	194	552	430	851	1473	1283	1208	740	1245	1239	136	74	365					
9	Число недействительных избирательных бюллетеней	475	4	8	6	26	9	3	2	11	11	10	4	17	8	15	7	10	6	17	7	10	7	8	11	18	12	18	18	10	9	4	0	5	10	5	6	7	10	18	3	4	5	12	7	19	14	14	12	17	1	0	0					
10	Число действительных избирательных бюллетеней	58460	1081	1738	1112	1600	1079	1309	1265	1323	1236	1020	1059	1758	1457	1843	1150	1400	1089	860	1487	1584	941	1602	1813	2329	1688	2141	1168	1751	1573	564	734	669	830	649	945	883	695	1003	202	570	445	927	1529	1295	1218	737	1257	1255	153	74	370					
