Выборы Президента Российской Федерации																																					
																																					
Наименование Избирательной комиссии:    Ялуторовская																																					
																																					
Итоги голосования 																																					
																																					
		Сумма	УИК №1052	УИК №1053	УИК №1054	УИК №1055	УИК №1056	УИК №1057	УИК №1058	УИК №1059	УИК №1060	УИК №1061	УИК №1062	УИК №1063	УИК №1064	УИК №1065	УИК №1066	УИК №1067	УИК №1068	УИК №1069	УИК №1070	УИК №1071	УИК №1072	УИК №1073	УИК №1074	УИК №1075	УИК №1076	УИК №1077	УИК №1078	УИК №1079	УИК №1080	УИК №1081					
1	"Число избирателей, внесенных в список"	11134	358	115	77	599	612	306	131	171	56	388	93	589	492	419	154	509	347	665	241	213	474	188	276	331	719	120	52	525	1200	714					
2	Число полученных избирательных бюллетеней	11200	352	115	75	592	618	306	131	171	58	395	93	582	489	410	153	513	340	675	248	217	517	180	270	308	735	120	57	533	1230	717					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	9700	311	100	67	546	513	257	124	160	53	326	87	491	418	373	145	444	271	576	185	201	422	154	240	288	677	100	51	510	1002	608					
5	"Число избирательных бюллетеней, выданных вне помещения"	846	30	13	7	28	59	43	3	11	3	45	0	73	54	29	8	45	24	78	37	2	16	17	22	16	30	18	0	0	43	92					
6	Число погашенных избирательных бюллетеней	654	11	2	1	18	46	6	4	0	2	24	6	18	17	8	0	24	45	21	26	14	79	9	8	4	28	2	6	23	185	17					
7	Число избирательных бюллетеней в переносных ящиках	846	30	13	7	28	59	43	3	11	3	45	0	73	54	29	8	45	24	78	37	2	16	17	22	16	30	18	0	0	43	92					
8	Число бюллетеней в стационарных ящиках для голосования	9700	311	100	67	546	513	257	124	160	53	326	87	491	418	373	145	444	271	576	185	201	422	154	240	288	677	100	51	510	1002	608					
9	Число недействительных избирательных бюллетеней	12	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	3	2	1	0	0	0	0	0	0	0	3	0					
10	Число действительных избирательных бюллетеней	10534	341	113	74	574	572	300	127	171	56	371	87	564	472	400	152	489	295	654	219	201	437	171	262	304	707	118	51	510	1042	700					
11	Число полученных открепительных  удостоверений	249	5	5	5	12	12	5	5	0	0	8	5	20	15	8	5	15	5	15	5	5	10	5	2	0	25	0	0	10	28	14					
12	Число выданных открепительных удостоверений	178	2	3	0	6	2	1	0	0	0	3	1	20	15	8	0	15	0	15	5	4	9	5	2	0	25	0	0	10	26	1					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	124	7	5	5	5	3	3	0	0	0	2	3	2	6	4	3	8	5	4	2	0	5	7	5	7	12	1	1	3	9	7					
14	Число неиспользованных открепительных удостоверений	71	3	2	5	6	10	4	5	0	0	5	4	0	0	0	5	0	5	0	0	1	1	0	0	0	0	0	0	0	2	13					
15	"Число открепительных удостоверений, выданных в ТИК"	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																					
18	. Глазьев Сергей Юрьевич	53	2	1	0	0	3	0	5	0	0	1	0	1	0	1	0	4	1	2	2	11	3	0	1	0	4	0	0	2	7	2					
		0.50%	0.59%	0.88%	0.00%	0.00%	0.52%	0.00%	3.94%	0.00%	0.00%	0.27%	0.00%	0.18%	0.00%	0.25%	0.00%	0.82%	0.34%	0.31%	0.90%	5.42%	0.68%	0.00%	0.38%	0.00%	0.57%	0.00%	0.00%	0.39%	0.67%	0.29%					
19	. Малышкин Олег Александрович	75	1	1	0	0	0	0	3	1	0	1	2	2	1	5	0	3	3	10	8	18	0	0	1	2	2	1	0	4	4	2					
		0.71%	0.29%	0.88%	0.00%	0.00%	0.00%	0.00%	2.36%	0.58%	0.00%	0.27%	2.30%	0.35%	0.21%	1.24%	0.00%	0.61%	1.02%	1.53%	3.60%	8.87%	0.00%	0.00%	0.38%	0.66%	0.28%	0.85%	0.00%	0.78%	0.38%	0.29%					
20	. Миронов Сергей Михайлович	19	0	0	0	0	1	0	0	0	0	1	0	0	1	0	1	2	3	0	1	1	0	0	2	0	1	0	0	0	5	0					
		0.18%	0.00%	0.00%	0.00%	0.00%	0.17%	0.00%	0.00%	0.00%	0.00%	0.27%	0.00%	0.00%	0.21%	0.00%	0.65%	0.41%	1.02%	0.00%	0.45%	0.49%	0.00%	0.00%	0.76%	0.00%	0.14%	0.00%	0.00%	0.00%	0.48%	0.00%					
21	. Путин Владимир Владимирович	10087	332	98	66	564	546	293	114	168	56	362	83	532	455	386	143	475	282	625	187	153	431	170	248	278	691	116	50	495	1008	680					
		95.65%	97.36%	86.73%	89.19%	98.26%	95.45%	97.67%	89.76%	98.25%	100.00%	97.57%	95.40%	94.33%	96.40%	96.02%	93.46%	97.14%	95.59%	95.57%	84.23%	75.37%	98.40%	99.42%	94.66%	91.45%	97.74%	98.31%	98.04%	97.06%	96.46%	97.14%					
22	. Хакамада Ирина Муцуовна	46	1	1	1	0	4	0	0	1	0	3	0	1	1	2	0	0	2	5	6	3	0	0	1	0	3	0	0	2	6	3					
		0.44%	0.29%	0.88%	1.35%	0.00%	0.70%	0.00%	0.00%	0.58%	0.00%	0.81%	0.00%	0.18%	0.21%	0.50%	0.00%	0.00%	0.68%	0.76%	2.70%	1.48%	0.00%	0.00%	0.38%	0.00%	0.42%	0.00%	0.00%	0.39%	0.57%	0.43%					
23	. Харитонов Николай Михайлович	219	5	11	7	10	18	5	5	1	0	2	2	28	14	5	8	5	2	10	11	7	1	1	8	22	5	1	1	5	6	13					
		2.08%	1.47%	9.73%	9.46%	1.74%	3.15%	1.67%	3.94%	0.58%	0.00%	0.54%	2.30%	4.96%	2.97%	1.24%	5.23%	1.02%	0.68%	1.53%	4.95%	3.45%	0.23%	0.58%	3.05%	7.24%	0.71%	0.85%	1.96%	0.98%	0.57%	1.86%					
																																					
