Выборы Президента Российской Федерации																																				
																																				
Наименование Избирательной комиссии:    Дергачевская																																				
																																				
Итоги голосования 																																				
																																				
		Сумма	УИК №439	УИК №440	УИК №441	УИК №442	УИК №443	УИК №444	УИК №445	УИК №446	УИК №447	УИК №448	УИК №449	УИК №450	УИК №451	УИК №452	УИК №453	УИК №454	УИК №455	УИК №456	УИК №457	УИК №458	УИК №459	УИК №460	УИК №461	УИК №462	УИК №463	УИК №464	УИК №465	УИК №466	УИК №467					
1	"Число избирателей, внесенных в список"	19889	949	1013	1033	954	665	1019	640	1223	278	525	450	762	596	929	267	182	416	777	439	558	847	423	560	1069	892	118	572	649	1084					
2	Число полученных избирательных бюллетеней	20080	943	1022	1079	958	662	1028	677	1253	274	521	454	763	600	933	264	180	425	777	446	556	857	427	575	1066	907	119	567	661	1086					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	14353	642	640	650	690	349	796	422	812	202	460	343	719	518	640	222	175	310	701	302	435	745	370	313	377	548	95	522	594	761					
5	"Число избирательных бюллетеней, выданных вне помещения"	2602	120	132	154	63	103	96	76	136	35	41	43	11	55	36	6	0	67	0	85	94	20	41	199	495	176	8	30	30	250					
6	Число погашенных избирательных бюллетеней	3125	181	250	275	205	210	136	179	305	37	20	68	33	27	257	36	5	48	76	59	27	92	16	63	194	183	16	15	37	75					
7	Число избирательных бюллетеней в переносных ящиках	2602	120	132	154	63	103	96	76	136	35	41	43	11	55	36	6	0	67	0	85	94	20	41	199	495	176	8	30	30	250					
8	Число бюллетеней в стационарных ящиках для голосования	14353	642	640	650	690	349	796	422	812	202	460	343	719	518	640	222	175	310	701	302	435	745	370	313	377	548	95	522	594	761					
9	Число недействительных избирательных бюллетеней	372	7	4	0	10	3	11	34	12	0	0	1	39	7	8	1	12	0	9	2	10	6	47	12	16	2	0	60	5	54					
10	Число действительных избирательных бюллетеней	16583	755	768	804	743	449	881	464	936	237	501	385	691	566	668	227	163	377	692	385	519	759	364	500	856	722	103	492	619	957					
11	Число полученных открепительных  удостоверений	290	12	27	26	15	18	18	22	17	4	0	6	1	10	10	6	0	10	4	10	6	5	6	14	10	10	3	5	10	5					
12	Число выданных открепительных удостоверений	241	12	27	18	15	11	18	17	17	4	0	5	1	10	7	3	0	6	4	10	4	3	1	14	7	10	2	1	10	4					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	35	7	2	0	1	0	0	0	0	3	1	2	2	1	1	4	1	0	0	0	1	1	0	0	3	1	2	1	0	1					
14	Число неиспользованных открепительных удостоверений	49	0	0	8	0	7	0	5	0	0	0	1	0	0	3	3	0	4	0	0	2	2	5	0	3	0	1	4	0	1					
15	"Число открепительных удостоверений, выданных в ТИК"	10	1	1	5	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																				
18	. Глазьев Сергей Юрьевич	295	5	17	6	16	12	17	1	68	3	0	4	5	5	9	3	2	8	7	11	1	12	3	5	39	5	0	9	0	22					
		1.74%	0.66%	2.20%	0.75%	2.12%	2.65%	1.91%	0.20%	7.17%	1.27%	0.00%	1.04%	0.68%	0.87%	1.33%	1.32%	1.14%	2.12%	1.00%	2.84%	0.19%	1.57%	0.73%	0.98%	4.47%	0.69%	0.00%	1.63%	0.00%	2.18%					
19	. Малышкин Олег Александрович	211	4	22	5	18	10	19	1	13	3	0	9	4	2	12	9	7	6	8	4	2	14	7	5	4	0	4	9	2	8					
		1.24%	0.52%	2.85%	0.62%	2.39%	2.21%	2.13%	0.20%	1.37%	1.27%	0.00%	2.33%	0.55%	0.35%	1.78%	3.95%	4.00%	1.59%	1.14%	1.03%	0.38%	1.83%	1.70%	0.98%	0.46%	0.00%	3.88%	1.63%	0.32%	0.79%					
20	. Миронов Сергей Михайлович	49	0	3	0	3	3	1	2	4	1	0	1	0	0	3	2	0	1	0	0	4	5	2	1	3	6	1	0	0	3					
