Выборы Президента Российской Федерации															
															
Наименование Избирательной комиссии:    Хасынская															
															
Итоги голосования 															
															
		Сумма	УИК  136	УИК  137	УИК  138	УИК  139	УИК  140	УИК  142	УИК  143	УИК  144					
1	"Число избирателей, внесенных в список"	7116	1582	480	1035	1253	1343	507	386	530					
2	Число полученных избирательных бюллетеней	7185	1551	487	1035	1247	1362	525	380	598					
3	"Число избирательных бюллетеней, выданных  досрочно"	7	7	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	4797	986	373	653	810	861	319	332	463					
5	"Число избирательных бюллетеней, выданных вне помещения"	215	40	5	32	55	24	13	20	26					
6	Число погашенных избирательных бюллетеней	2166	518	109	350	382	477	193	28	109					
7	Число избирательных бюллетеней в переносных ящиках	222	47	5	32	55	24	13	20	26					
8	Число бюллетеней в стационарных ящиках для голосования	4797	986	373	653	810	861	319	332	463					
9	Число недействительных избирательных бюллетеней	37	6	4	6	7	6	4	3	1					
10	Число действительных избирательных бюллетеней	4982	1027	374	679	858	879	328	349	488					
11	Число полученных открепительных  удостоверений	246	30	30	30	30	36	30	30	30					
12	Число выданных открепительных удостоверений	149	16	11	10	22	24	27	23	16					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	75	5	5	6	14	7	2	2	34					
14	Число неиспользованных открепительных удостоверений	97	14	19	20	8	12	3	7	14					
15	"Число открепительных удостоверений, выданных в ТИК"	4	0	1	1	1	0	0	1	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"															
18	. Глазьев Сергей Юрьевич	198	42	13	28	25	35	28	16	11					
		3.95%	4.07%	3.44%	4.09%	2.89%	3.95%	8.43%	4.55%	2.25%					
19	. Малышкин Олег Александрович	157	29	16	21	31	30	9	10	11					
		3.13%	2.81%	4.23%	3.07%	3.58%	3.39%	2.71%	2.84%	2.25%					
20	. Миронов Сергей Михайлович	54	25	0	3	6	12	2	3	3					
		1.08%	2.42%	0.00%	0.44%	0.69%	1.36%	0.60%	0.85%	0.61%					
21	. Путин Владимир Владимирович	3520	656	267	508	590	644	208	268	379					
		70.13%	63.50%	70.63%	74.16%	68.21%	72.77%	62.65%	76.14%	77.51%					
22	. Хакамада Ирина Муцуовна	222	43	22	28	41	40	11	15	22					
		4.42%	4.16%	5.82%	4.09%	4.74%	4.52%	3.31%	4.26%	4.50%					
23	. Харитонов Николай Михайлович	616	180	45	65	120	85	52	25	44					
		12.27%	17.42%	11.90%	9.49%	13.87%	9.60%	15.66%	7.10%	9.00%					
															
24	Против всех	215	52	11	26	45	33	18	12	18					
		4.28%	5.03%	2.91%	3.80%	5.20%	3.73%	5.42%	3.41%	3.68%					
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
