Выборы Президента Российской Федерации																																														
																																														
Наименование Избирательной комиссии:    Рыбновская																																														
																																														
Итоги голосования 																																														
																																														
		Сумма	УИК №409	УИК №410	УИК №411	УИК №412	УИК №413	УИК №414	УИК №415	УИК №416	УИК №417	УИК №418	УИК №419	УИК №420	УИК №421	УИК №422	УИК №423	УИК №424	УИК №425	УИК №426	УИК №427	УИК №428	УИК №429	УИК №430	УИК №431	УИК №432	УИК №433	УИК №434	УИК №435	УИК №436	УИК №437	УИК №438	УИК №439	УИК №440	УИК №441	УИК №442	УИК №443	УИК №444	УИК №445	УИК №446	УИК №447					
1	"Число избирателей, внесенных в список"	29068	464	238	1859	999	354	365	310	1054	324	194	445	88	280	291	562	357	412	323	195	347	454	412	319	405	192	681	558	851	553	108	1473	1580	1166	709	1471	1410	2290	2701	2274					
2	Число полученных избирательных бюллетеней	25720	430	210	1660	920	320	320	270	960	280	170	400	80	250	250	490	320	360	280	170	310	400	380	320	350	170	610	510	770	500	100	1310	1390	1020	650	1300	1230	2050	2220	1990					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	14313	192	73	962	340	183	193	142	531	118	59	161	46	126	175	260	155	198	173	26	164	237	219	268	178	82	314	301	399	186	64	782	766	634	385	693	667	1133	1452	1276					
5	"Число избирательных бюллетеней, выданных вне помещения"	2215	125	54	28	141	49	67	82	46	54	46	123	14	37	25	86	82	56	39	109	65	30	26	12	112	52	47	14	85	104	24	48	66	25	68	37	42	16	44	35					
6	Число погашенных избирательных бюллетеней	9192	113	83	670	439	88	60	46	383	108	65	116	20	87	50	144	83	106	68	35	81	133	135	40	60	36	249	195	286	210	12	480	558	361	197	570	521	901	724	679					
7	Число избирательных бюллетеней в переносных ящиках	2215	125	54	28	141	49	67	82	46	54	46	123	14	37	25	86	82	56	39	109	65	30	26	12	112	52	47	14	85	104	24	48	66	25	68	37	42	16	44	35					
8	Число бюллетеней в стационарных ящиках для голосования	14309	192	73	962	340	183	193	142	531	118	59	161	46	126	175	260	155	197	173	26	164	237	219	268	178	82	314	301	399	186	64	782	765	634	385	691	667	1133	1452	1276					
9	Число недействительных избирательных бюллетеней	189	7	2	12	5	2	3	5	9	4	1	0	1	0	4	5	5	3	4	0	2	6	6	0	4	3	5	6	5	4	0	7	12	7	7	8	6	6	10	13					
10	Число действительных избирательных бюллетеней	16335	310	125	978	476	230	257	219	568	168	104	284	59	163	196	341	232	250	208	135	227	261	239	280	286	131	356	309	479	286	88	823	819	652	446	720	703	1143	1486	1298					
