Выборы Президента Российской Федерации																																																			
																																																			
Наименование Избирательной комиссии:    Сафоновская																																																			
																																																			
Итоги голосования 																																																			
																																																			
		Сумма	УИК №272	УИК №273	УИК №274	УИК №275	УИК №276	УИК №277	УИК №278	УИК №279	УИК №280	УИК №281	УИК №282	УИК №283	УИК №284	УИК №285	УИК №286	УИК №287	УИК №288	УИК №289	УИК №290	УИК №291	УИК №292	УИК №293	УИК №294	УИК №295	УИК №296	УИК №297	УИК №298	УИК №299	УИК №300	УИК №301	УИК №302	УИК №303	УИК №304	УИК №305	УИК №306	УИК №307	УИК №308	УИК №309	УИК №310	УИК №311	УИК №312	УИК №313	УИК №314	УИК №315					
1	"Число избирателей, внесенных в список"	52739	2707	1902	2389	2262	2491	1526	2387	1388	1445	1084	2257	2449	1506	2734	2534	1999	2117	2079	2074	241	1456	691	359	122	811	559	830	367	297	112	258	340	774	565	424	604	1764	361	321	335	423	544	518	333					
2	Число полученных избирательных бюллетеней	53073	2753	1922	2378	2295	2512	1582	2416	1391	1435	1072	2263	2469	1505	2746	2571	2019	2140	2088	2059	240	1444	705	372	124	816	559	828	377	306	114	256	344	758	552	425	638	1757	355	316	334	433	547	519	338					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	25616	1326	950	1284	1064	1265	762	1268	677	490	441	1020	1027	703	1405	1288	805	910	959	987	133	516	331	195	39	484	194	393	235	170	92	169	176	457	297	155	449	841	209	203	245	198	355	246	203					
5	"Число избирательных бюллетеней, выданных вне помещения"	2069	42	44	38	32	9	30	25	23	14	22	16	21	10	33	12	68	8	34	20	9	27	17	58	61	75	105	102	76	39	16	56	64	45	130	96	48	50	51	10	32	132	72	105	92					
6	Число погашенных избирательных бюллетеней	25388	1385	928	1056	1199	1238	790	1123	691	931	609	1227	1421	792	1308	1271	1146	1222	1095	1052	98	901	357	119	24	257	260	333	66	97	6	31	104	256	125	174	141	866	95	103	57	103	120	168	43					
7	Число избирательных бюллетеней в переносных ящиках	2069	42	44	38	32	9	30	25	23	14	22	16	21	10	33	12	68	8	34	20	9	27	17	58	61	75	105	102	76	39	16	56	64	45	130	96	48	50	51	10	32	132	72	105	92					
8	Число бюллетеней в стационарных ящиках для голосования	25614	1326	950	1284	1064	1265	760	1268	677	490	441	1020	1027	703	1405	1288	805	910	959	987	133	516	331	195	39	484	194	393	235	170	92	169	176	457	297	155	449	841	209	203	245	198	355	246	203					
9	Число недействительных избирательных бюллетеней	178	12	8	14	2	6	2	7	5	1	0	3	3	4	14	10	5	4	6	11	1	6	2	3	0	3	0	2	0	0	0	3	1	5	3	7	0	7	2	4	0	6	4	1	1					
10	Число действительных избирательных бюллетеней	27505	1356	986	1308	1094	1268	788	1286	695	503	463	1033	1045	709	1424	1290	868	914	987	996	141	537	346	250	100	556	299	493	311	209	108	222	239	497	424	244	497	884	258	209	277	324	423	350	294					
11	Число полученных открепительных  удостоверений	720	36	25	29	30	33	21	31	18	18	13	29	32	19	36	33	26	28	27	27	5	19	9	6	5	11	8	11	6	6	5	5	6	11	8	7	9	24	6	6	6	7	9	8	6					
12	Число выданных открепительных удостоверений	258	8	7	14	14	8	8	8	7	7	5	14	19	10	14	18	8	15	13	7	1	5	4	6	0	3	3	2	1	0	0	1	0	3	3	3	0	6	1	2	2	3	1	0	4					
