Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																																						
Дата голосования: 04.12.2011																																																						
																																																						
Наименование Избирательной комиссии:    Трубчевская																																																						
																																																						
Сводная таблица результатов выборов																																																						
																																																						
		Сумма	УИК №988	УИК №989	УИК №990	УИК №991	УИК №992	УИК №993	УИК №994	УИК №995	УИК №996	УИК №997	УИК №998	УИК №999	УИК №1000	УИК №1001	УИК №1002	УИК №1003	УИК №1004	УИК №1005	УИК №1006	УИК №1007	УИК №1008	УИК №1009	УИК №1010	УИК №1011	УИК №1012	УИК №1013	УИК №1014	УИК №1015	УИК №1016	УИК №1017	УИК №1018	УИК №1019	УИК №1020	УИК №1021	УИК №1022	УИК №1023	УИК №1024	УИК №1025	УИК №1026	УИК №1027	УИК №1028	УИК №1029	УИК №1030	УИК №1031	УИК №1032	УИК №1033	УИК №1034					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	588	20	19	35	35	15	23	26	3	25	45	30	35	30	5	3	5	5	0	0	4	20	5	0	6	6	1	1	40	5	10	36	7	16	2	10	15	3	11	0	3	2	2	3	4	4	2	11					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	588	20	19	35	35	15	23	26	3	25	45	30	35	30	5	3	5	5	0	0	4	20	5	0	6	6	1	1	40	5	10	36	7	16	2	10	15	3	11	0	3	2	2	3	4	4	2	11					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	370	19	13	24	53	62	19	10	3	2	4	7	3	5	2	3	3	2	0	0	2	4	5	4	4	5	4	5	3	3	2	3	7	5	0	11	3	9	13	4	8	5	8	5	5	5	3	1					
14	Число погашенных неиспользованных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	312	26	25	20	24	11	25	27	1	2	5	1	4	5	0	1	3	5	0	0	10	3	11	2	13	2	7	0	6	0	0	4	5	8	0	9	4	8	9	0	0	1	1	4	6	8	1	5					
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																						
19	1. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	2284	91	89	156	134	60	144	110	38	151	139	145	152	36	23	12	12	24	1	13	9	26	53	7	55	40	32	18	38	3	41	23	25	29	9	58	38	45	52	5	5	11	14	32	27	27	8	24					
		13.86%	12.07%	14.78%	12.35%	15.31%	12.96%	15.25%	14.38%	15.14%	19.95%	19.02%	20.19%	18.10%	13.38%	13.37%	21.82%	8.89%	9.96%	3.03%	18.06%	7.96%	7.39%	12.71%	9.86%	19.16%	20.94%	26.67%	12.77%	10.70%	3.53%	17.90%	10.65%	10.87%	12.29%	14.06%	11.65%	9.27%	9.16%	8.33%	10.87%	5.68%	5.95%	13.21%	13.50%	14.67%	11.16%	6.56%	12.31%					
20	"2. Политическая партия ""Либерально-демократическая партия России"""	1594	69	64	133	96	45	97	87	34	109	73	77	78	17	22	6	16	20	2	6	7	22	33	6	31	11	13	14	35	9	14	27	13	25	3	40	31	34	28	1	6	23	6	31	13	23	20	24					
		9.68%	9.15%	10.63%	10.53%	10.97%	9.72%	10.28%	11.37%	13.55%	14.40%	9.99%	10.72%	9.29%	6.32%	12.79%	10.91%	11.85%	8.30%	6.06%	8.33%	6.19%	6.25%	7.91%	8.45%	10.80%	5.76%	10.83%	9.93%	9.86%	10.59%	6.11%	12.50%	5.65%	10.59%	4.69%	8.03%	7.56%	6.92%	4.49%	2.17%	6.82%	12.43%	5.66%	13.08%	7.07%	9.50%	16.39%	12.31%					
21	"3. Политическая партия ""ПАТРИОТЫ РОССИИ"""	155	5	5	17	13	2	11	8	5	4	6	12	5	0	6	1	0	2	0	1	1	4	1	1	4	1	4	0	5	1	0	0	1	3	0	1	3	2	2	0	0	3	0	4	4	2	1	4					
		0.94%	0.66%	0.83%	1.35%	1.49%	0.43%	1.17%	1.05%	1.99%	0.53%	0.82%	1.67%	0.60%	0.00%	3.49%	1.82%	0.00%	0.83%	0.00%	1.39%	0.88%	1.14%	0.24%	1.41%	1.39%	0.52%	3.33%	0.00%	1.41%	1.18%	0.00%	0.00%	0.43%	1.27%	0.00%	0.20%	0.73%	0.41%	0.32%	0.00%	0.00%	1.62%	0.00%	1.69%	2.17%	0.83%	0.82%	2.05%					
22	"4. Политическая партия ""Коммунистическая партия Российской Федерации"""	4292	239	184	371	256	150	330	248	35	209	238	118	215	47	33	12	44	50	16	10	27	62	114	36	56	31	24	35	128	16	66	40	59	74	20	128	84	62	90	12	19	64	24	48	31	61	38	38					
		26.05%	31.70%	30.56%	29.37%	29.26%	32.40%	34.96%	32.42%	13.94%	27.61%	32.56%	16.43%	25.60%	17.47%	19.19%	21.82%	32.59%	20.75%	48.48%	13.89%	23.89%	17.61%	27.34%	50.70%	19.51%	16.23%	20.00%	24.82%	36.06%	18.82%	28.82%	18.52%	25.65%	31.36%	31.25%	25.70%	20.49%	12.63%	14.42%	26.09%	21.59%	34.59%	22.64%	20.25%	16.85%	25.21%	31.15%	19.49%					
23	"5. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	256	28	16	29	21	11	18	10	5	8	12	19	11	2	1	1	0	3	0	0	1	4	9	2	2	0	1	1	4	1	0	3	1	0	2	6	4	5	4	0	0	2	1	3	1	0	1	3					
		1.55%	3.71%	2.66%	2.30%	2.40%	2.38%	1.91%	1.31%	1.99%	1.06%	1.64%	2.65%	1.31%	0.74%	0.58%	1.82%	0.00%	1.24%	0.00%	0.00%	0.88%	1.14%	2.16%	2.82%	0.70%	0.00%	0.83%	0.71%	1.13%	1.18%	0.00%	1.39%	0.43%	0.00%	3.13%	1.20%	0.98%	1.02%	0.64%	0.00%	0.00%	1.08%	0.94%	1.27%	0.54%	0.00%	0.82%	1.54%					
24	"6. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	7605	310	238	530	344	190	314	289	131	255	247	334	366	166	79	22	56	137	14	40	66	232	196	15	132	107	45	72	137	55	103	120	128	102	30	260	245	336	441	28	57	81	61	116	105	126	49	98					
		46.16%	41.11%	39.53%	41.96%	39.31%	41.04%	33.26%	37.78%	52.19%	33.69%	33.79%	46.52%	43.57%	61.71%	45.93%	40.00%	41.48%	56.85%	42.42%	55.56%	58.41%	65.91%	47.00%	21.13%	45.99%	56.02%	37.50%	51.06%	38.59%	64.71%	44.98%	55.56%	55.65%	43.22%	46.88%	52.21%	59.76%	68.43%	70.67%	60.87%	64.77%	43.78%	57.55%	48.95%	57.07%	52.07%	40.16%	50.26%					
25	"7. Всероссийская политическая партия ""ПРАВОЕ ДЕЛО"""	71	2	2	4	2	2	9	3	0	9	4	5	2	1	2	1	1	4	0	1	1	0	1	1	1	0	0	1	1	0	1	0	0	0	0	0	2	2	0	0	1	0	0	0	1	0	2	2					
		0.43%	0.27%	0.33%	0.32%	0.23%	0.43%	0.95%	0.39%	0.00%	1.19%	0.55%	0.70%	0.24%	0.37%	1.16%	1.82%	0.74%	1.66%	0.00%	1.39%	0.88%	0.00%	0.24%	1.41%	0.35%	0.00%	0.00%	0.71%	0.28%	0.00%	0.44%	0.00%	0.00%	0.00%	0.00%	0.00%	0.49%	0.41%	0.00%	0.00%	1.14%	0.00%	0.00%	0.00%	0.54%	0.00%	1.64%	1.03%					
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
