Выборы Президента Российской Федерации																																																					
																																																					
Наименование Избирательной комиссии:    Нижнеингашская																																																					
																																																					
Итоги голосования 																																																					
																																																					
		Сумма	УИК №1702	УИК №1703	УИК №1704	УИК №1705	УИК №1706	УИК №1707	УИК №1708	УИК №1709	УИК №1710	УИК №1711	УИК №1712	УИК №1713	УИК №1714	УИК №1715	УИК №1716	УИК №1717	УИК №1718	УИК №1719	УИК №1720	УИК №1721	УИК №1722	УИК №1723	УИК №1724	УИК №1725	УИК №1726	УИК №1727	УИК №1728	УИК №1729	УИК №1730	УИК №1731	УИК №1732	УИК №1733	УИК №1734	УИК №1735	УИК №1736	УИК №1737	УИК №1738	УИК №1739	УИК №1740	УИК №1741	УИК №1742	УИК №1743	УИК №1744	УИК №1745	УИК №1746	УИК №1747					
1	"Число избирателей, внесенных в список"	26276	369	2956	1880	418	504	155	198	2368	2316	1341	1371	218	919	647	749	739	435	356	173	261	95	613	355	136	1127	237	38	190	302	213	227	99	135	448	448	130	110	84	352	56	93	132	600	1137	97	449					
2	Число полученных избирательных бюллетеней	26397	387	2953	1907	415	502	157	197	2338	2375	1236	1538	210	960	629	724	728	441	329	182	268	97	620	354	137	1105	246	43	194	309	215	228	103	137	450	451	132	108	86	352	55	95	135	602	1126	99	442					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	11605	142	993	675	161	400	85	69	916	959	501	405	138	458	299	270	258	223	232	95	160	71	225	109	68	570	166	34	137	149	147	126	55	94	215	262	75	78	50	202	43	65	72	291	496	64	302					
5	"Число избирательных бюллетеней, выданных вне помещения"	1184	2	63	33	15	0	0	50	49	26	93	86	33	33	39	19	19	30	0	11	26	7	112	97	0	26	0	0	0	23	0	1	6	1	105	10	10	0	5	39	0	10	9	52	27	0	17					
6	Число погашенных избирательных бюллетеней	13608	243	1897	1199	239	102	72	78	1373	1390	642	1047	39	469	291	435	451	188	97	76	82	19	283	148	69	509	80	9	57	137	68	101	42	42	130	179	47	30	31	111	12	20	54	259	603	35	123					
7	Число избирательных бюллетеней в переносных ящиках	1184	2	63	33	15	0	0	50	49	26	93	86	33	33	39	19	19	30	0	11	26	7	112	97	0	26	0	0	0	23	0	1	6	1	105	10	10	0	5	39	0	10	9	52	27	0	17					
8	Число бюллетеней в стационарных ящиках для голосования	11605	142	993	675	161	400	85	69	916	959	501	405	138	458	299	270	258	223	232	95	160	71	225	109	68	570	166	34	137	149	147	126	55	94	215	262	75	78	50	202	43	65	72	291	496	64	302					
9	Число недействительных избирательных бюллетеней	99	0	3	9	7	2	1	1	5	9	0	4	4	3	2	2	3	0	0	1	5	1	1	3	0	10	1	1	1	2	0	2	4	0	2	0	1	0	0	2	1	0	2	1	0	0	3					
10	Число действительных избирательных бюллетеней	12690	144	1053	699	169	398	84	118	960	976	594	487	167	488	336	287	274	253	232	105	181	77	336	203	68	586	165	33	136	170	147	125	57	95	318	272	84	78	55	239	42	75	79	342	523	64	316					
11	Число полученных открепительных  удостоверений	398	10	30	10	10	30	5	5	10	10	30	10	10	10	10	10	10	10	10	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	10	10	5	5	5	5	5	5	5	10	10	5	13					
12	Число выданных открепительных удостоверений	85	0	8	2	0	7	0	1	7	2	25	1	0	5	2	4	1	0	0	3	2	0	3	0	0	0	1	0	0	1	0	3	0	0	1	0	0	0	0	1	0	0	0	1	2	0	2					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	41	0	10	2	0	1	0	0	6	3	0	0	1	1	4	0	0	1	1	2	2	0	0	1	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0					
14	Число неиспользованных открепительных удостоверений	313	10	22	8	10	23	5	4	3	8	5	9	10	5	8	6	9	10	10	2	3	5	2	5	5	5	4	5	5	4	5	2	5	5	9	10	5	5	5	4	5	5	5	9	8	5	11					
15	"Число открепительных удостоверений, выданных в ТИК"	2	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																																					
18	. Глазьев Сергей Юрьевич	1096	18	163	83	16	15	6	4	65	95	37	40	10	69	43	28	25	24	10	1	10	3	30	18	16	57	6	0	15	10	13	2	0	2	12	16	1	0	4	21	1	4	2	17	48	7	29					
		8.57%	12.50%	15.44%	11.72%	9.09%	3.75%	7.06%	3.36%	6.74%	9.64%	6.23%	8.15%	5.85%	14.05%	12.72%	9.69%	9.03%	9.49%	4.31%	0.94%	5.38%	3.85%	8.90%	8.74%	23.53%	9.56%	3.61%	0.00%	10.95%	5.81%	8.84%	1.57%	0.00%	2.11%	3.75%	5.88%	1.18%	0.00%	7.27%	8.71%	2.33%	5.33%	2.47%	4.96%	9.18%	10.94%	9.09%					
19	. Малышкин Олег Александрович	366	5	20	25	5	9	6	1	38	30	7	9	7	10	3	4	7	5	9	3	4	4	12	7	3	15	7	0	8	5	1	6	1	3	3	22	6	4	1	4	5	11	2	4	20	0	5					
		2.86%	3.47%	1.89%	3.53%	2.84%	2.25%	7.06%	0.84%	3.94%	3.05%	1.18%	1.83%	4.09%	2.04%	0.89%	1.38%	2.53%	1.98%	3.88%	2.83%	2.15%	5.13%	3.56%	3.40%	4.41%	2.52%	4.22%	0.00%	5.84%	2.91%	0.68%	4.72%	1.64%	3.16%	0.94%	8.09%	7.06%	5.13%	1.82%	1.66%	11.63%	14.67%	2.47%	1.17%	3.82%	0.00%	1.57%					
20	. Миронов Сергей Михайлович	77	0	7	2	1	2	1	1	4	4	6	5	0	4	2	2	3	1	2	2	1	0	3	0	1	2	0	1	2	1	0	1	0	0	1	3	1	0	0	1	0	0	1	1	6	0	2					
		0.60%	0.00%	0.66%	0.28%	0.57%	0.50%	1.18%	0.84%	0.41%	0.41%	1.01%	1.02%	0.00%	0.81%	0.59%	0.69%	1.08%	0.40%	0.86%	1.89%	0.54%	0.00%	0.89%	0.00%	1.47%	0.34%	0.00%	2.94%	1.46%	0.58%	0.00%	0.79%	0.00%	0.00%	0.31%	1.10%	1.18%	0.00%	0.00%	0.41%	0.00%	0.00%	1.23%	0.29%	1.15%	0.00%	0.63%					
21	. Путин Владимир Владимирович	8529	103	620	477	129	320	61	100	695	662	410	316	128	299	205	201	169	180	181	80	111	59	247	116	40	389	129	31	65	92	76	94	53	65	261	159	60	60	33	94	20	47	34	278	310	30	240					
		66.69%	71.53%	58.71%	67.37%	73.30%	80.00%	71.76%	84.03%	72.02%	67.21%	69.02%	64.36%	74.85%	60.90%	60.65%	69.55%	61.01%	71.15%	78.02%	75.47%	59.68%	75.64%	73.29%	56.31%	58.82%	65.27%	77.71%	91.18%	47.45%	53.49%	51.70%	74.02%	86.89%	68.42%	81.56%	58.46%	70.59%	76.92%	60.00%	39.00%	46.51%	62.67%	41.98%	81.05%	59.27%	46.88%	75.24%					
22	. Хакамада Ирина Муцуовна	278	3	33	13	4	19	2	2	26	15	18	6	5	6	3	5	9	6	4	3	5	0	5	7	4	7	4	1	7	2	3	2	0	1	7	3	0	3	0	3	3	1	1	1	15	3	8					
		2.17%	2.08%	3.12%	1.84%	2.27%	4.75%	2.35%	1.68%	2.69%	1.52%	3.03%	1.22%	2.92%	1.22%	0.89%	1.73%	3.25%	2.37%	1.72%	2.83%	2.69%	0.00%	1.48%	3.40%	5.88%	1.17%	2.41%	2.94%	5.11%	1.16%	2.04%	1.57%	0.00%	1.05%	2.19%	1.10%	0.00%	3.85%	0.00%	1.24%	6.98%	1.33%	1.23%	0.29%	2.87%	4.69%	2.51%					
23	. Харитонов Николай Михайлович	2105	9	175	85	10	24	5	7	113	153	102	102	13	89	78	44	58	34	24	15	46	11	31	50	4	101	15	0	34	60	53	19	2	23	29	66	16	11	17	113	13	9	37	40	111	24	30					
		16.46%	6.25%	16.57%	12.01%	5.68%	6.00%	5.88%	5.88%	11.71%	15.53%	17.17%	20.77%	7.60%	18.13%	23.08%	15.22%	20.94%	13.44%	10.34%	14.15%	24.73%	14.10%	9.20%	24.27%	5.88%	16.95%	9.04%	0.00%	24.82%	34.88%	36.05%	14.96%	3.28%	24.21%	9.06%	24.26%	18.82%	14.10%	30.91%	46.89%	30.23%	12.00%	45.68%	11.66%	21.22%	37.50%	9.40%					
																																																					
24	Против всех	239	6	35	14	4	9	3	3	19	17	14	9	4	11	2	3	3	3	2	1	4	0	8	5	0	15	4	0	5	0	1	1	1	1	5	3	0	0	0	3	0	3	2	1	13	0	2					
		1.87%	4.17%	3.31%	1.98%	2.27%	2.25%	3.53%	2.52%	1.97%	1.73%	2.36%	1.83%	2.34%	2.24%	0.59%	1.04%	1.08%	1.19%	0.86%	0.94%	2.15%	0.00%	2.37%	2.43%	0.00%	2.52%	2.41%	0.00%	3.65%	0.00%	0.68%	0.79%	1.64%	1.05%	1.56%	1.10%	0.00%	0.00%	0.00%	1.24%	0.00%	4.00%	2.47%	0.29%	2.49%	0.00%	0.63%					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
