Выборы Президента Российской Федерации																																																				
																																																				
Наименование Избирательной комиссии:    Корочанская																																																				
																																																				
Итоги голосования 																																																				
																																																				
		Сумма	УИК №599	УИК №600	УИК №601	УИК №602	УИК №603	УИК №604	УИК №605	УИК №606	УИК №607	УИК №608	УИК №609	УИК №610	УИК №611	УИК №612	УИК №613	УИК №614	УИК №615	УИК №616	УИК №617	УИК №618	УИК №619	УИК №620	УИК №621	УИК №622	УИК №623	УИК №624	УИК №625	УИК №626	УИК №627	УИК №628	УИК №629	УИК №630	УИК №631	УИК №632	УИК №633	УИК №634	УИК №635	УИК №636	УИК №637	УИК №638	УИК №639	УИК №640	УИК №641	УИК №642	УИК №643					
		0.90%	1.63%	1.42%	0.95%	1.08%	1.13%	0.41%	0.57%	0.00%	1.00%	2.51%	1.51%	0.95%	1.00%	0.31%	1.42%	1.41%	0.89%	0.00%	0.22%	0.48%	1.46%	1.48%	0.84%	0.33%	0.59%	0.25%	0.33%	0.39%	0.47%	0.00%	1.57%	0.99%	0.00%	1.07%	1.48%	1.25%	0.95%	0.54%	0.72%	0.40%	0.61%	0.44%	0.00%	0.60%	0.50%					
21	. Путин Владимир Владимирович	12669	646	614	369	748	142	122	380	213	301	86	149	647	691	139	193	407	171	187	237	101	259	245	338	179	429	249	423	303	107	127	77	140	195	532	202	527	254	128	143	137	327	123	71	521	90					
		54.21%	52.73%	51.17%	58.39%	57.89%	53.58%	50.41%	53.82%	67.83%	60.44%	35.98%	56.23%	55.68%	57.39%	43.44%	54.83%	57.57%	50.89%	60.32%	52.09%	48.33%	62.86%	60.49%	47.21%	58.88%	42.43%	61.94%	70.38%	58.38%	49.77%	59.62%	60.63%	68.97%	63.11%	43.61%	49.88%	60.09%	48.29%	34.59%	51.25%	54.58%	67.01%	54.67%	45.81%	51.94%	45.00%					
22	. Хакамада Ирина Муцуовна	454	31	25	24	22	3	5	12	7	8	5	6	12	14	8	8	10	5	14	9	4	7	4	16	0	16	26	12	5	4	2	2	2	9	25	7	22	7	9	4	7	14	3	4	13	2					
		1.94%	2.53%	2.08%	3.80%	1.70%	1.13%	2.07%	1.70%	2.23%	1.61%	2.09%	2.26%	1.03%	1.16%	2.50%	2.27%	1.41%	1.49%	4.52%	1.98%	1.91%	1.70%	0.99%	2.23%	0.00%	1.58%	6.47%	2.00%	0.96%	1.86%	0.94%	1.57%	0.99%	2.91%	2.05%	1.73%	2.51%	1.33%	2.43%	1.43%	2.79%	2.87%	1.33%	2.58%	1.30%	1.00%					
23	. Харитонов Николай Михайлович	7774	400	379	166	383	74	82	245	71	141	115	88	362	355	133	110	222	128	95	185	89	101	126	295	93	469	77	121	160	88	73	39	35	81	497	145	235	197	192	103	85	114	82	61	385	97					
		33.27%	32.65%	31.58%	26.27%	29.64%	27.92%	33.88%	34.70%	22.61%	28.31%	48.12%	33.21%	31.15%	29.49%	41.56%	31.25%	31.40%	38.10%	30.65%	40.66%	42.58%	24.51%	31.11%	41.20%	30.59%	46.39%	19.15%	20.13%	30.83%	40.93%	34.27%	30.71%	17.24%	26.21%	40.74%	35.80%	26.80%	37.45%	51.89%	36.92%	33.86%	23.36%	36.44%	39.35%	38.38%	48.50%					
																																																				
24	Против всех	606	39	54	14	43	17	6	11	4	11	3	2	40	26	4	14	12	8	1	4	3	2	9	20	2	28	21	16	10	2	6	3	4	7	58	19	24	14	3	6	4	13	5	2	11	1					
		2.59%	3.18%	4.50%	2.22%	3.33%	6.42%	2.48%	1.56%	1.27%	2.21%	1.26%	0.75%	3.44%	2.16%	1.25%	3.98%	1.70%	2.38%	0.32%	0.88%	1.44%	0.49%	2.22%	2.79%	0.66%	2.77%	5.22%	2.66%	1.93%	0.93%	2.82%	2.36%	1.97%	2.27%	4.75%	4.69%	2.74%	2.66%	0.81%	2.15%	1.59%	2.66%	2.22%	1.29%	1.10%	0.50%					
