Выборы Президента Российской Федерации																																																	
																																																	
Наименование Избирательной комиссии:    Дербентская																																																	
																																																	
Итоги голосования 																																																	
																																																	
		Сумма	УИК  388	УИК  389	УИК  390	УИК  391	УИК  392	УИК  393	УИК  394	УИК  395	УИК  396	УИК  397	УИК  398	УИК  399	УИК  400	УИК  401	УИК  402	УИК  403	УИК  404	УИК  405	УИК  406	УИК  407	УИК  408	УИК  409	УИК  410	УИК  411	УИК  412	УИК  413	УИК  414	УИК  415	УИК  416	УИК  417	УИК  418	УИК  419	УИК  420	УИК  421	УИК  422	УИК  423	УИК  424	УИК  425	УИК  426	УИК  427	УИК  428	УИК  429					
20	. Миронов Сергей Михайлович	21	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	5	3	0	0	2	2	4	0	0	0	0	0					
		0.04%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.12%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.12%	0.00%	0.00%	0.27%	0.11%	0.34%	0.61%	0.00%	0.00%	0.11%	0.13%	0.27%	0.00%	0.00%	0.00%	0.00%	0.00%					
21	. Путин Владимир Владимирович	47455	1291	1867	1245	595	450	795	898	116	762	987	1180	1613	2103	1651	598	1489	1494	295	2400	611	295	555	1974	416	1272	842	1301	2193	367	878	1440	460	1153	1180	1737	1468	1469	988	822	2081	1040	1084					
		98.63%	99.00%	93.58%	99.05%	99.17%	100.00%	96.25%	99.78%	97.48%	99.09%	99.80%	99.24%	98.96%	99.01%	99.10%	99.01%	99.87%	99.87%	99.33%	99.17%	99.35%	98.01%	99.11%	99.50%	100.00%	99.14%	99.06%	99.24%	99.01%	99.19%	95.23%	99.04%	93.31%	98.29%	94.40%	98.97%	98.99%	98.92%	99.00%	98.44%	99.62%	98.77%	99.00%					
22	. Хакамада Ирина Муцуовна	20	3	0	0	0	0	4	0	0	0	0	0	2	2	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	2	2	1	0	0	0	0	0	0	0	1	0					
		0.04%	0.23%	0.00%	0.00%	0.00%	0.00%	0.48%	0.00%	0.00%	0.00%	0.00%	0.00%	0.12%	0.09%	0.06%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.12%	0.00%	0.00%	0.27%	0.00%	0.14%	0.41%	0.09%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.09%	0.00%					
23	. Харитонов Николай Михайлович	394	5	119	3	3	0	16	2	3	5	2	9	10	13	6	2	2	2	1	20	3	3	4	10	0	6	5	10	8	0	6	7	22	10	16	3	10	9	10	8	6	11	4					
		0.82%	0.38%	5.96%	0.24%	0.50%	0.00%	1.94%	0.22%	2.52%	0.65%	0.20%	0.76%	0.61%	0.61%	0.36%	0.33%	0.13%	0.13%	0.34%	0.83%	0.49%	1.00%	0.71%	0.50%	0.00%	0.47%	0.59%	0.76%	0.36%	0.00%	0.65%	0.48%	4.46%	0.85%	1.28%	0.17%	0.67%	0.61%	1.00%	0.96%	0.29%	1.04%	0.37%					
																																																	
24	Против всех	52	5	0	6	2	0	1	0	0	0	0	0	0	2	2	1	0	0	1	0	0	3	0	0	0	0	1	0	2	0	0	0	2	4	4	8	0	3	0	0	2	0	3					
		0.11%	0.38%	0.00%	0.48%	0.33%	0.00%	0.12%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.09%	0.12%	0.17%	0.00%	0.00%	0.34%	0.00%	0.00%	1.00%	0.00%	0.00%	0.00%	0.00%	0.12%	0.00%	0.09%	0.00%	0.00%	0.00%	0.41%	0.34%	0.32%	0.46%	0.00%	0.20%	0.00%	0.00%	0.10%	0.00%	0.27%					
																																																	
																																																	
																																																	
																																																	
																																																	
																																																	
																																																	
																																																	
																																																	
																																																	
																																																	
																																																	
																																																	
																																																	
																																																	
