Выборы Президента Российской Федерации																			
																			
Наименование Избирательной комиссии:    Сусуманская																			
																			
Итоги голосования 																			
																			
		Сумма	УИК №104	УИК №105	УИК №106	УИК №107	УИК №109	УИК №111	УИК №112	УИК №114	УИК №116	УИК №117	УИК №118	УИК №120					
1	"Число избирателей, внесенных в список"	7691	2440	1317	261	629	351	98	833	108	138	1301	151	64					
2	Число полученных избирательных бюллетеней	7147	2368	1172	213	591	304	104	811	100	137	1144	135	68					
3	"Число избирательных бюллетеней, выданных  досрочно"	90	0	0	0	0	43	7	0	0	0	0	40	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	5204	1514	877	185	404	235	87	593	100	132	928	90	59					
5	"Число избирательных бюллетеней, выданных вне помещения"	165	41	77	8	12	1	0	13	0	2	10	1	0					
6	Число погашенных избирательных бюллетеней	1688	813	218	20	175	25	10	205	0	3	206	4	9					
7	Число избирательных бюллетеней в переносных ящиках	255	41	77	8	12	44	7	13	0	2	10	41	0					
8	Число бюллетеней в стационарных ящиках для голосования	5204	1514	877	185	404	235	87	593	100	132	928	90	59					
9	Число недействительных избирательных бюллетеней	55	14	6	0	4	9	0	11	0	1	10	0	0					
10	Число действительных избирательных бюллетеней	5404	1541	948	193	412	270	94	595	100	133	928	131	59					
11	Число полученных открепительных  удостоверений	298	38	35	25	25	30	15	30	15	15	40	20	10					
12	Число выданных открепительных удостоверений	63	19	12	1	0	8	0	0	6	1	10	1	5					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	41	8	4	0	0	8	7	3	4	0	5	2	0					
14	Число неиспользованных открепительных удостоверений	235	19	23	24	25	22	15	30	9	14	30	19	5					
15	"Число открепительных удостоверений, выданных в ТИК"	2	0	1	0	0	0	0	0	0	0	0	1	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																			
18	. Глазьев Сергей Юрьевич	215	51	30	8	19	13	1	25	4	7	40	13	4					
		3.94%	3.28%	3.14%	4.15%	4.57%	4.66%	1.06%	4.13%	4.00%	5.22%	4.26%	9.92%	6.78%					
19	. Малышкин Олег Александрович	221	63	30	10	14	18	3	19	3	5	44	11	1					
		4.05%	4.05%	3.14%	5.18%	3.37%	6.45%	3.19%	3.14%	3.00%	3.73%	4.69%	8.40%	1.69%					
20	. Миронов Сергей Михайлович	38	16	5	1	2	1	0	3	0	3	7	0	0					
		0.70%	1.03%	0.52%	0.52%	0.48%	0.36%	0.00%	0.50%	0.00%	2.24%	0.75%	0.00%	0.00%					
21	. Путин Владимир Владимирович	4142	1193	740	148	308	200	73	466	82	105	689	88	50					
		75.87%	76.72%	77.57%	76.68%	74.04%	71.68%	77.66%	76.90%	82.00%	78.36%	73.45%	67.18%	84.75%					
22	. Хакамада Ирина Муцуовна	174	55	37	3	18	9	4	15	4	1	27	1	0					
		3.19%	3.54%	3.88%	1.55%	4.33%	3.23%	4.26%	2.48%	4.00%	0.75%	2.88%	0.76%	0.00%					
23	. Харитонов Николай Михайлович	404	81	58	18	33	24	11	52	3	9	98	14	3					
		7.40%	5.21%	6.08%	9.33%	7.93%	8.60%	11.70%	8.58%	3.00%	6.72%	10.45%	10.69%	5.08%					
																			
24	Против всех	210	82	48	5	18	5	2	15	4	3	23	4	1					
		3.85%	5.27%	5.03%	2.59%	4.33%	1.79%	2.13%	2.48%	4.00%	2.24%	2.45%	3.05%	1.69%					
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
