Выборы Президента Российской Федерации																																													
																																													
Наименование Избирательной комиссии:    Котельниковская																																													
																																													
Итоги голосования 																																													
																																													
		Сумма	УИК №995	УИК №996	УИК №997	УИК №998	УИК №999	УИК №1000	УИК №1001	УИК №1002	УИК №1003	УИК №1004	УИК №1005	УИК №1006	УИК №1007	УИК №1008	УИК №1009	УИК №1010	УИК №1011	УИК №1012	УИК №1013	УИК №1014	УИК №1015	УИК №1016	УИК №1017	УИК №1018	УИК №1019	УИК №1020	УИК №1021	УИК №1022	УИК №1023	УИК №1024	УИК №1025	УИК №1026	УИК №1027	УИК №1028	УИК №1029	УИК №1030	УИК №1031	УИК №1032					
1	"Число избирателей, внесенных в список"	28320	2063	1114	910	2003	1385	746	1822	1781	1868	2277	772	157	111	544	456	138	107	663	302	196	345	548	774	677	474	213	565	653	382	121	251	857	1068	285	490	102	843	257					
2	Число полученных избирательных бюллетеней	28385	2076	1095	913	2026	1217	748	1830	1781	1889	2301	788	165	118	543	463	139	107	662	303	199	330	551	802	707	476	221	557	665	384	122	255	858	1087	291	493	105	860	258					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	14131	847	566	398	908	532	316	781	742	848	1026	447	97	52	403	301	90	73	360	235	134	171	286	432	343	288	153	333	414	187	86	142	453	528	160	291	68	476	164					
5	"Число избирательных бюллетеней, выданных вне помещения"	880	87	24	13	58	141	12	32	35	29	50	33	7	9	5	46	8	0	10	0	0	6	3	58	48	8	3	20	5	7	4	25	24	28	5	4	4	17	12					
6	Число погашенных избирательных бюллетеней	13374	1142	505	502	1060	544	420	1017	1004	1012	1225	308	61	57	135	116	41	34	292	68	65	153	262	312	316	180	65	204	246	190	32	88	381	531	126	198	33	367	82					
7	Число избирательных бюллетеней в переносных ящиках	880	87	24	13	58	141	12	32	35	29	50	33	7	9	5	46	8	0	10	0	0	6	3	58	48	8	3	20	5	7	4	25	24	28	5	4	4	17	12					
8	Число бюллетеней в стационарных ящиках для голосования	14131	847	566	398	908	532	316	781	742	848	1026	447	97	52	403	301	90	73	360	235	134	171	286	432	343	288	153	333	414	187	86	142	453	528	160	291	68	476	164					
9	Число недействительных избирательных бюллетеней	122	2	4	0	8	4	1	7	8	2	3	2	0	2	7	1	0	0	5	0	1	2	0	4	6	0	1	6	8	6	1	5	5	7	4	4	0	5	1					
10	Число действительных избирательных бюллетеней	14889	932	586	411	958	669	327	806	769	875	1073	478	104	59	401	346	98	73	365	235	133	175	289	486	385	296	155	347	411	188	89	162	472	549	161	291	72	488	175					
11	Число полученных открепительных  удостоверений	395	20	20	16	19	20	16	20	20	20	20	16	5	5	5	5	5	5	5	5	5	5	5	15	15	5	5	5	5	5	5	5	16	16	5	5	5	16	5					
12	Число выданных открепительных удостоверений	101	3	4	3	5	9	4	1	4	4	12	3	1	0	4	0	1	0	0	2	0	0	0	12	7	0	3	2	2	1	0	0	2	5	1	0	0	5	1					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	58	6	1	1	3	7	2	1	6	5	3	1	0	2	1	0	0	0	0	0	0	4	2	0	1	3	0	2	2	0	0	0	0	2	1	1	0	0	1					
14	Число неиспользованных открепительных удостоверений	294	17	16	13	14	11	12	19	16	16	8	13	4	5	1	5	4	5	5	3	5	5	5	3	8	5	2	3	3	4	5	5	14	11	4	5	5	11	4					
