Выборы Президента Российской Федерации																																		
																																		
Наименование Избирательной комиссии:    Хлевенская																																		
																																		
Итоги голосования 																																		
																																		
		Сумма	УИК №831	УИК №832	УИК №833	УИК №834	УИК №835	УИК №836	УИК №837	УИК №838	УИК №839	УИК №840	УИК №841	УИК №842	УИК №843	УИК №844	УИК №845	УИК №846	УИК №847	УИК №848	УИК №849	УИК №850	УИК №851	УИК №852	УИК №853	УИК №854	УИК №855	УИК №856	УИК №857					
1	"Число избирателей, внесенных в список"	17070	2520	1514	856	503	482	95	555	1190	1028	932	111	225	194	111	254	557	100	129	1434	528	183	1489	167	544	217	619	533					
2	Число полученных избирательных бюллетеней	17000	2475	1515	859	503	469	99	565	1160	1028	953	106	222	192	116	258	549	104	128	1425	518	185	1493	169	540	220	613	536					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	10081	1274	938	441	249	304	89	324	592	595	646	69	159	146	79	186	351	64	67	979	307	121	938	93	276	104	363	327					
5	"Число избирательных бюллетеней, выданных вне помещения"	2935	219	70	72	156	91	0	143	254	233	157	33	48	29	22	56	158	29	44	195	102	34	179	45	165	87	160	154					
6	Число погашенных избирательных бюллетеней	3984	982	507	346	98	74	10	98	314	200	150	4	15	17	15	16	40	11	17	251	109	30	376	31	99	29	90	55					
7	Число избирательных бюллетеней в переносных ящиках	2935	219	70	72	156	91	0	143	254	233	157	33	48	29	22	56	158	29	44	195	102	34	179	45	165	87	160	154					
8	Число бюллетеней в стационарных ящиках для голосования	10076	1271	938	441	249	304	89	324	592	595	646	69	159	146	79	186	351	64	67	979	307	121	936	93	276	104	363	327					
9	Число недействительных избирательных бюллетеней	86	8	18	4	0	0	0	0	2	6	7	0	0	1	0	2	0	0	0	4	3	0	14	1	3	0	8	5					
10	Число действительных избирательных бюллетеней	12925	1482	990	509	405	395	89	467	844	822	796	102	207	174	101	240	509	93	111	1170	406	155	1101	137	438	191	515	476					
11	Число полученных открепительных  удостоверений	447	50	40	20	15	14	3	17	30	30	25	3	7	5	3	8	15	3	4	40	15	5	40	5	14	6	15	15					
12	Число выданных открепительных удостоверений	57	5	6	2	0	0	2	7	10	0	9	0	0	0	0	1	0	2	0	2	4	0	6	0	0	0	1	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	82	25	3	0	0	2	0	0	9	1	0	3	3	4	0	0	3	1	5	8	4	0	5	1	1	0	3	1					
14	Число неиспользованных открепительных удостоверений	390	45	34	18	15	14	1	10	20	30	16	3	7	5	3	7	15	1	4	38	11	5	34	5	14	6	14	15					
15	"Число открепительных удостоверений, выданных в ТИК"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																		
18	. Глазьев Сергей Юрьевич	307	59	22	33	5	17	4	8	14	9	15	2	2	3	7	4	9	2	4	15	13	2	31	1	4	1	11	10					
		2.36%	3.96%	2.18%	6.43%	1.23%	4.30%	4.49%	1.71%	1.65%	1.09%	1.87%	1.96%	0.97%	1.71%	6.93%	1.65%	1.77%	2.15%	3.60%	1.28%	3.18%	1.29%	2.78%	0.72%	0.91%	0.52%	2.10%	2.08%					
19	. Малышкин Олег Александрович	263	32	25	16	11	11	3	12	18	15	7	0	4	5	1	2	4	1	0	18	4	2	25	3	3	8	12	21					
		2.02%	2.15%	2.48%	3.12%	2.72%	2.78%	3.37%	2.57%	2.13%	1.81%	0.87%	0.00%	1.93%	2.86%	0.99%	0.83%	0.79%	1.08%	0.00%	1.53%	0.98%	1.29%	2.24%	2.17%	0.68%	4.19%	2.29%	4.37%					
20	. Миронов Сергей Михайлович	76	11	5	2	4	2	0	6	6	8	2	3	2	0	2	0	2	0	0	7	2	0	1	2	1	1	3	4					
		0.58%	0.74%	0.50%	0.39%	0.99%	0.51%	0.00%	1.28%	0.71%	0.97%	0.25%	2.94%	0.97%	0.00%	1.98%	0.00%	0.39%	0.00%	0.00%	0.60%	0.49%	0.00%	0.09%	1.45%	0.23%	0.52%	0.57%	0.83%					
21	. Путин Владимир Владимирович	8173	795	585	282	250	206	70	382	430	534	485	75	157	123	79	171	412	67	69	777	266	106	706	67	316	142	340	281					
		62.82%	53.36%	58.04%	54.97%	61.73%	52.15%	78.65%	81.80%	50.83%	64.49%	60.40%	73.53%	75.85%	70.29%	78.22%	70.66%	80.94%	72.04%	62.16%	66.18%	65.04%	68.39%	63.32%	48.55%	71.66%	74.35%	65.01%	58.42%					
22	. Хакамада Ирина Муцуовна	156	27	13	11	8	6	0	6	7	3	6	2	4	1	1	0	3	0	1	18	0	1	8	1	7	0	12	10					
		1.20%	1.81%	1.29%	2.14%	1.98%	1.52%	0.00%	1.28%	0.83%	0.36%	0.75%	1.96%	1.93%	0.57%	0.99%	0.00%	0.59%	0.00%	0.90%	1.53%	0.00%	0.65%	0.72%	0.72%	1.59%	0.00%	2.29%	2.08%					
23	. Харитонов Николай Михайлович	3673	498	297	152	118	143	10	51	355	238	263	20	36	42	11	61	71	23	33	317	115	43	309	58	103	35	132	139					
		28.23%	33.42%	29.46%	29.63%	29.14%	36.20%	11.24%	10.92%	41.96%	28.74%	32.75%	19.61%	17.39%	24.00%	10.89%	25.21%	13.95%	24.73%	29.73%	27.00%	28.12%	27.74%	27.71%	42.03%	23.36%	18.32%	25.24%	28.90%					
																																		
24	Против всех	277	60	43	13	9	10	2	2	14	15	18	0	2	0	0	2	8	0	4	18	6	1	21	5	4	4	5	11					
		2.13%	4.03%	4.27%	2.53%	2.22%	2.53%	2.25%	0.43%	1.65%	1.81%	2.24%	0.00%	0.97%	0.00%	0.00%	0.83%	1.57%	0.00%	3.60%	1.53%	1.47%	0.65%	1.88%	3.62%	0.91%	2.09%	0.96%	2.29%					
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
