Выборы Президента Российской Федерации																													
																													
Наименование Избирательной комиссии:    Кикнурская																													
																													
Итоги голосования 																													
																													
		Сумма	УИК №253	УИК №254	УИК №255	УИК №256	УИК №257	УИК №258	УИК №259	УИК №260	УИК №261	УИК №262	УИК №263	УИК №264	УИК №265	УИК №266	УИК №267	УИК №268	УИК №269	УИК №270	УИК №271	УИК №272	УИК №273	УИК №274					
1	"Число избирателей, внесенных в список"	9800	1080	1489	829	1286	290	464	536	234	135	639	182	177	152	524	247	91	144	393	276	63	357	212					
2	Число полученных избирательных бюллетеней	9143	1060	1402	743	1169	265	469	499	212	127	600	165	166	137	483	230	85	145	357	247	63	324	195					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	4910	647	761	396	601	173	200	148	116	89	209	98	101	100	266	137	57	111	209	129	47	183	132					
5	"Число избирательных бюллетеней, выданных вне помещения"	1381	30	121	103	77	26	139	207	68	22	127	31	30	18	91	24	11	20	77	72	8	43	36					
6	Число погашенных избирательных бюллетеней	2852	383	520	244	491	66	130	144	28	16	264	36	35	19	126	69	17	14	71	46	8	98	27					
7	Число избирательных бюллетеней в переносных ящиках	1381	30	121	103	77	26	139	207	68	22	127	31	30	18	91	24	11	20	77	72	8	43	36					
8	Число бюллетеней в стационарных ящиках для голосования	4910	647	761	396	601	173	200	148	116	89	209	98	101	100	266	137	57	111	209	129	47	183	132					
9	Число недействительных избирательных бюллетеней	37	1	2	4	6	5	1	2	0	0	0	1	2	0	2	3	1	1	1	0	0	0	5					
10	Число действительных избирательных бюллетеней	6254	676	880	495	672	194	338	353	184	111	336	128	129	118	355	158	67	130	285	201	55	226	163					
11	Число полученных открепительных  удостоверений	191	5	15	12	16	10	13	10	6	5	15	5	5	5	10	7	3	5	9	15	6	7	7					
12	Число выданных открепительных удостоверений	108	3	11	7	4	6	11	4	1	3	0	3	5	0	7	7	2	0	6	15	6	2	5					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	39	4	5	6	4	1	3	3	1	0	0	1	0	0	1	3	1	3	0	1	0	2	0					
14	Число неиспользованных открепительных удостоверений	83	2	4	5	12	4	2	6	5	2	15	2	0	5	3	0	1	5	3	0	0	5	2					
15	"Число открепительных удостоверений, выданных в ТИК"	9	2	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	3	1	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																													
18	. Глазьев Сергей Юрьевич	215	25	39	21	25	8	8	17	5	12	14	3	5	1	12	3	3	5	3	2	0	2	2					
		3.42%	3.69%	4.42%	4.21%	3.69%	4.02%	2.36%	4.79%	2.72%	10.81%	4.17%	2.33%	3.82%	0.85%	3.36%	1.86%	4.41%	3.82%	1.05%	1.00%	0.00%	0.88%	1.19%					
19	. Малышкин Олег Александрович	205	19	31	19	16	5	5	16	9	1	12	6	3	3	17	4	8	1	13	8	1	5	3					
		3.26%	2.81%	3.51%	3.81%	2.36%	2.51%	1.47%	4.51%	4.89%	0.90%	3.57%	4.65%	2.29%	2.54%	4.76%	2.48%	11.76%	0.76%	4.55%	3.98%	1.82%	2.21%	1.79%					
20	. Миронов Сергей Михайлович	61	2	9	5	9	1	3	3	4	1	2	1	0	3	1	2	1	1	2	5	0	2	4					
		0.97%	0.30%	1.02%	1.00%	1.33%	0.50%	0.88%	0.85%	2.17%	0.90%	0.60%	0.78%	0.00%	2.54%	0.28%	1.24%	1.47%	0.76%	0.70%	2.49%	0.00%	0.88%	2.38%					
21	. Путин Владимир Владимирович	3375	379	486	235	378	131	123	167	103	52	169	70	60	69	204	109	30	77	140	142	28	132	91					
		53.65%	55.98%	55.10%	47.09%	55.75%	65.83%	36.28%	47.04%	55.98%	46.85%	50.30%	54.26%	45.80%	58.47%	57.14%	67.70%	44.12%	58.78%	48.95%	70.65%	50.91%	58.41%	54.17%					
22	. Хакамада Ирина Муцуовна	106	14	16	6	9	2	7	4	2	3	5	0	2	0	12	2	1	0	4	5	1	7	4					
		1.68%	2.07%	1.81%	1.20%	1.33%	1.01%	2.06%	1.13%	1.09%	2.70%	1.49%	0.00%	1.53%	0.00%	3.36%	1.24%	1.47%	0.00%	1.40%	2.49%	1.82%	3.10%	2.38%					
23	. Харитонов Николай Михайлович	2172	216	285	198	223	45	189	140	57	41	130	47	58	41	95	31	24	44	115	36	24	77	56					
		34.53%	31.91%	32.31%	39.68%	32.89%	22.61%	55.75%	39.44%	30.98%	36.94%	38.69%	36.43%	44.27%	34.75%	26.61%	19.25%	35.29%	33.59%	40.21%	17.91%	43.64%	34.07%	33.33%					
																													
24	Против всех	120	21	14	11	12	2	3	6	4	1	4	1	1	1	14	7	0	2	8	3	1	1	3					
		1.91%	3.10%	1.59%	2.20%	1.77%	1.01%	0.88%	1.69%	2.17%	0.90%	1.19%	0.78%	0.76%	0.85%	3.92%	4.35%	0.00%	1.53%	2.80%	1.49%	1.82%	0.44%	1.79%					
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
