Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																														
Дата голосования: 02.12.2007																														
																														
Наименование Избирательной комиссии:    Сорокинская																														
																														
Сводная таблица результатов выборов																														
																														
		Сумма	УИК №566	УИК №567	УИК №568	УИК №569	УИК №570	УИК №571	УИК №572	УИК №573	УИК №574	УИК №575	УИК №576	УИК №577	УИК №578	УИК №579	УИК №580	УИК №581	УИК №582	УИК №583	УИК №584	УИК №585	УИК №586	УИК №587	УИК №588					
1	"Число избирателей, внесенных в списки избирателей"	8302	1320	1176	810	1128	262	76	460	35	324	86	183	648	111	63	193	58	274	161	485	79	110	220	40					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	8333	1300	1130	780	1090	271	82	482	41	357	95	189	664	120	66	198	61	283	164	494	86	109	229	42					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	158	0	35	60	0	0	0	31	0	0	0	0	32	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	7255	1172	1033	656	995	241	72	373	32	256	79	159	551	102	61	176	44	256	138	441	72	104	206	36					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	595	118	52	58	79	13	3	41	3	40	3	13	41	7	2	12	14	18	20	34	6	2	13	3					
6	Число погашенных избирательных бюллетеней	325	10	10	6	16	17	7	37	6	61	13	17	40	11	3	10	3	9	6	19	8	3	10	3					
7	Число избирательных бюллетеней в переносных ящиках для голосования	753	118	87	118	79	13	3	72	3	40	3	13	73	7	2	12	14	18	20	34	6	2	13	3					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	7255	1172	1033	656	995	241	72	373	32	256	79	159	551	102	61	176	44	256	138	441	72	104	206	36					
9	Число недействительных избирательных бюллетеней	61	2	7	0	8	15	2	2	1	5	0	5	0	0	0	0	0	1	7	4	2	0	0	0					
10	Число действительных избирательных бюллетеней	7947	1288	1113	774	1066	239	73	443	34	291	82	167	624	109	63	188	58	273	151	471	76	106	219	39					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	398	73	54	38	34	10	3	25	4	28	8	8	34	7	6	8	5	10	13	11	6	3	9	1					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	398	73	54	38	34	10	3	25	4	28	8	8	34	7	6	8	5	10	13	11	6	3	9	1					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	58	10	10	5	5	4	0	0	0	0	0	2	1	2	3	5	0	1	4	1	1	2	2	0					
14	Число погашенных неиспользованных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
