Выборы Президента Российской Федерации																	
																	
Наименование Избирательной комиссии:    Нижнесалдинская городская																	
																	
Итоги голосования 																	
																	
		Сумма	УИК №2129	УИК №2130	УИК №2131	УИК №2132	УИК №2133	УИК №2134	УИК №2135	УИК №2136	УИК №2137	УИК №2138					
1	"Число избирателей, внесенных в список"	14964	3009	2925	2979	1933	1215	428	1842	312	241	80					
2	Число полученных избирательных бюллетеней	13373	2700	2660	2660	1710	1065	383	1650	280	195	70					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	8416	1834	1788	1739	989	643	188	892	184	122	37					
5	"Число избирательных бюллетеней, выданных вне помещения"	438	43	43	36	161	51	19	54	0	25	6					
6	Число погашенных избирательных бюллетеней	4519	823	829	885	560	371	176	704	96	48	27					
7	Число избирательных бюллетеней в переносных ящиках	438	43	43	36	161	51	19	54	0	25	6					
8	Число бюллетеней в стационарных ящиках для голосования	8408	1832	1787	1736	989	641	188	892	184	122	37					
9	Число недействительных избирательных бюллетеней	126	35	26	18	12	13	1	12	1	8	0					
10	Число действительных избирательных бюллетеней	8720	1840	1804	1754	1138	679	206	934	183	139	43					
11	Число полученных открепительных  удостоверений	299	40	69	40	30	30	30	30	10	10	10					
12	Число выданных открепительных удостоверений	44	11	12	11	5	2	0	0	0	3	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	61	2	5	6	4	14	5	5	1	13	6					
14	Число неиспользованных открепительных удостоверений	255	29	57	29	25	28	30	30	10	7	10					
15	"Число открепительных удостоверений, выданных в ТИК"	1	0	0	0	0	0	0	0	1	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																	
18	. Глазьев Сергей Юрьевич	479	121	93	111	54	37	9	42	9	3	0					
		5.41%	6.45%	5.08%	6.26%	4.70%	5.35%	4.35%	4.44%	4.89%	2.04%	0.00%					
19	. Малышкин Олег Александрович	276	50	61	52	43	13	10	41	5	1	0					
		3.12%	2.67%	3.33%	2.93%	3.74%	1.88%	4.83%	4.33%	2.72%	0.68%	0.00%					
20	. Миронов Сергей Михайлович	55	11	11	13	6	3	2	7	0	1	1					
		0.62%	0.59%	0.60%	0.73%	0.52%	0.43%	0.97%	0.74%	0.00%	0.68%	2.33%					
21	. Путин Владимир Владимирович	6381	1347	1324	1257	808	491	149	707	136	122	40					
		72.13%	71.84%	72.35%	70.94%	70.26%	70.95%	71.98%	74.74%	73.91%	82.99%	93.02%					
22	. Хакамада Ирина Муцуовна	311	71	76	78	32	20	9	17	4	4	0					
		3.52%	3.79%	4.15%	4.40%	2.78%	2.89%	4.35%	1.80%	2.17%	2.72%	0.00%					
23	. Харитонов Николай Михайлович	975	190	190	189	149	99	25	105	20	6	2					
		11.02%	10.13%	10.38%	10.67%	12.96%	14.31%	12.08%	11.10%	10.87%	4.08%	4.65%					
																	
24	Против всех	243	50	49	54	46	16	2	15	9	2	0					
		2.75%	2.67%	2.68%	3.05%	4.00%	2.31%	0.97%	1.59%	4.89%	1.36%	0.00%					
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
