Выборы Президента Российской Федерации																																															
																																															
Наименование Избирательной комиссии:    Камышинская городская																																															
																																															
Итоги голосования 																																															
																																															
		Сумма	УИК №103	УИК №104	УИК №105	УИК №106	УИК №107	УИК №108	УИК №109	УИК №110	УИК №111	УИК №112	УИК №113	УИК №114	УИК №115	УИК №116	УИК №117	УИК №118	УИК №119	УИК №120	УИК №121	УИК №122	УИК №123	УИК №124	УИК №125	УИК №126	УИК №127	УИК №128	УИК №129	УИК №130	УИК №131	УИК №132	УИК №133	УИК №134	УИК №135	УИК №136	УИК №137	УИК №138	УИК №139	УИК №140	УИК №141	УИК №142					
1	"Число избирателей, внесенных в список"	96789	2219	2923	2514	1805	2966	2977	3001	2963	2791	2961	2623	2537	2669	2188	2526	2107	2121	2223	2172	1924	2093	2266	1670	1796	1976	2340	3136	2050	2575	2758	2255	1810	2882	2796	1593	2735	2393	2630	2087	2738					
2	Число полученных избирательных бюллетеней	96000	2200	2860	2460	1500	3000	2970	2900	2900	2760	2940	2630	2680	2670	2140	2580	2150	2160	2050	2250	1900	2100	2330	1660	1800	1990	2320	2700	2040	2620	2780	2240	1760	2900	2740	1900	2700	2320	2690	2000	2710					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	51071	1191	1314	1272	768	1479	1574	1412	1451	1300	1434	1311	1456	1547	1321	1378	1191	1031	1140	1013	1139	1329	1263	908	1083	993	1246	1707	1143	1411	1466	1083	910	1427	1430	1251	1419	1261	1434	1102	1483					
5	"Число избирательных бюллетеней, выданных вне помещения"	2229	51	106	68	220	31	43	70	17	27	12	28	20	28	30	50	23	38	187	33	41	37	44	31	37	44	49	38	42	58	42	34	43	58	27	147	44	172	70	33	56					
6	Число погашенных избирательных бюллетеней	42695	958	1435	1120	512	1490	1353	1418	1432	1433	1494	1291	1204	1095	789	1152	936	1091	723	1204	720	734	1023	721	680	953	1025	955	855	1151	1272	1123	807	1415	1283	502	1237	887	1186	865	1171					
7	Число избирательных бюллетеней в переносных ящиках	2228	51	106	68	220	31	43	70	17	27	12	28	20	28	30	50	23	38	186	33	41	37	44	31	37	44	49	38	42	58	42	34	43	58	27	147	44	172	70	33	56					
8	Число бюллетеней в стационарных ящиках для голосования	50963	1191	1309	1272	768	1479	1573	1412	1451	1300	1433	1311	1456	1547	1321	1376	1191	1030	1140	997	1139	1329	1259	908	1046	993	1246	1707	1143	1411	1466	1083	910	1427	1402	1251	1419	1261	1434	1101	1471					
9	Число недействительных избирательных бюллетеней	334	6	11	8	12	3	12	9	10	2	10	9	5	15	7	8	7	5	7	2	6	8	7	2	9	10	9	6	10	12	17	9	6	10	8	8	7	6	19	7	10					
10	Число действительных избирательных бюллетеней	52857	1236	1404	1332	976	1507	1604	1473	1458	1325	1435	1330	1471	1560	1344	1418	1207	1063	1319	1028	1174	1358	1296	937	1074	1027	1286	1739	1175	1457	1491	1108	947	1475	1421	1390	1456	1427	1485	1127	1517					
