Выборы Президента Российской Федерации																														
																														
Наименование Избирательной комиссии:    Кимрская																														
																														
Итоги голосования 																														
																														
		Сумма	УИК  464	УИК  465	УИК  466	УИК  467	УИК  468	УИК  469	УИК  470	УИК  471	УИК  472	УИК  473	УИК  474	УИК  475	УИК  476	УИК  477	УИК  478	УИК  479	УИК  480	УИК  481	УИК  482	УИК  483	УИК  484	УИК  485	УИК  486					
1	"Число избирателей, внесенных в список"	12738	2448	478	1433	951	332	215	363	163	114	958	79	215	60	273	297	876	254	855	273	479	187	1216	219					
2	Число полученных избирательных бюллетеней	12749	2457	482	1448	950	327	216	371	159	116	953	78	211	61	270	306	866	254	865	262	483	185	1211	218					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	5874	1223	194	546	476	131	141	150	115	59	538	47	149	35	98	134	378	93	395	125	229	66	477	75					
5	"Число избирательных бюллетеней, выданных вне помещения"	1842	62	124	165	85	128	21	123	10	27	55	21	29	16	92	97	109	77	107	76	121	49	150	98					
6	Число погашенных избирательных бюллетеней	5033	1172	164	737	389	68	54	98	34	30	360	10	33	10	80	75	379	84	363	61	133	70	584	45					
7	Число избирательных бюллетеней в переносных ящиках	1842	62	124	165	85	128	21	123	10	27	55	21	29	16	92	97	109	77	107	76	121	49	150	98					
8	Число бюллетеней в стационарных ящиках для голосования	5874	1223	194	546	476	131	141	150	115	59	538	47	149	35	98	134	378	93	395	125	229	66	477	75					
9	Число недействительных избирательных бюллетеней	22	6	2	2	3	0	0	1	0	0	1	0	0	0	0	2	0	1	1	0	0	1	2	0					
10	Число действительных избирательных бюллетеней	7694	1279	316	709	558	259	162	272	125	86	592	68	178	51	190	229	487	169	501	201	350	114	625	173					
11	Число полученных открепительных  удостоверений	216	30	5	20	12	5	5	5	3	3	15	3	5	3	5	10	12	5	38	5	7	4	12	4					
12	Число выданных открепительных удостоверений	107	11	3	6	8	3	1	4	0	0	8	0	0	0	5	6	6	1	29	1	1	4	9	1					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	88	15	1	4	7	6	2	2	3	0	8	0	1	1	8	2	9	1	2	6	0	4	3	3					
14	Число неиспользованных открепительных удостоверений	109	19	2	14	4	2	4	1	3	3	7	3	5	3	0	4	6	4	9	4	6	0	3	3					
15	"Число открепительных удостоверений, выданных в ТИК"	14	2	2	3	1	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	2	0	1	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																														
18	. Глазьев Сергей Юрьевич	288	62	8	24	26	10	2	8	5	4	14	3	11	2	5	6	12	1	19	8	20	4	27	7					
		3.73%	4.82%	2.52%	3.38%	4.63%	3.86%	1.23%	2.93%	4.00%	4.65%	2.36%	4.41%	6.18%	3.92%	2.63%	2.60%	2.46%	0.59%	3.78%	3.98%	5.71%	3.48%	4.31%	4.05%					
19	. Малышкин Олег Александрович	158	42	10	6	9	8	6	3	0	0	9	0	10	0	7	3	5	6	7	8	7	2	9	1					
		2.05%	3.27%	3.14%	0.84%	1.60%	3.09%	3.70%	1.10%	0.00%	0.00%	1.52%	0.00%	5.62%	0.00%	3.68%	1.30%	1.03%	3.53%	1.39%	3.98%	2.00%	1.74%	1.44%	0.58%					
20	. Миронов Сергей Михайлович	60	16	5	2	2	3	2	4	0	0	1	1	3	3	1	0	1	3	3	2	1	0	4	3					
		0.78%	1.25%	1.57%	0.28%	0.36%	1.16%	1.23%	1.47%	0.00%	0.00%	0.17%	1.47%	1.69%	5.88%	0.53%	0.00%	0.21%	1.76%	0.60%	1.00%	0.29%	0.00%	0.64%	1.73%					
21	. Путин Владимир Владимирович	5746	887	237	527	376	197	123	184	84	69	485	61	132	37	144	199	376	132	329	162	285	97	490	133					
		74.47%	69.03%	74.53%	74.12%	67.02%	76.06%	75.93%	67.40%	67.20%	80.23%	81.79%	89.71%	74.16%	72.55%	75.79%	86.15%	77.21%	77.65%	65.54%	80.60%	81.43%	84.35%	78.15%	76.88%					
22	. Хакамада Ирина Муцуовна	128	18	7	10	12	1	4	1	3	0	7	0	4	0	1	2	5	1	22	3	9	2	16	0					
		1.66%	1.40%	2.20%	1.41%	2.14%	0.39%	2.47%	0.37%	2.40%	0.00%	1.18%	0.00%	2.25%	0.00%	0.53%	0.87%	1.03%	0.59%	4.38%	1.49%	2.57%	1.74%	2.55%	0.00%					
23	. Харитонов Николай Михайлович	1117	209	44	122	103	35	21	68	29	13	62	2	17	9	26	16	75	26	108	10	25	7	64	26					
		14.48%	16.26%	13.84%	17.16%	18.36%	13.51%	12.96%	24.91%	23.20%	15.12%	10.46%	2.94%	9.55%	17.65%	13.68%	6.93%	15.40%	15.29%	21.51%	4.98%	7.14%	6.09%	10.21%	15.03%					
																														
24	Против всех	197	45	5	18	30	5	4	4	4	0	14	1	1	0	6	3	13	0	13	8	3	2	15	3					
		2.55%	3.50%	1.57%	2.53%	5.35%	1.93%	2.47%	1.47%	3.20%	0.00%	2.36%	1.47%	0.56%	0.00%	3.16%	1.30%	2.67%	0.00%	2.59%	3.98%	0.86%	1.74%	2.39%	1.73%					
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
