Выборы Президента Российской Федерации																											
																											
Наименование Избирательной комиссии:    Сосновоборская городская																											
																											
Итоги голосования 																											
																											
		Сумма	УИК №841	УИК №842	УИК №843	УИК №844	УИК №845	УИК №846	УИК №847	УИК №848	УИК №849	УИК №850	УИК №851	УИК №852	УИК №853	УИК №854	УИК №855	УИК №856	УИК №857	УИК №858	УИК №859	УИК №860					
1	"Число избирателей, внесенных в список"	54302	2720	2717	2877	2914	2866	2900	3008	2930	2754	2975	2769	2913	2913	2601	2370	2943	3134	2870	2707	421					
2	Число полученных избирательных бюллетеней	51650	2900	2600	2800	2800	2700	2800	2800	2800	2600	2800	2600	2800	2800	2400	2200	2800	2800	2700	2600	350					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	32849	1384	1658	1710	1784	1500	1763	1857	1810	1778	1687	1672	1744	1859	1574	1497	1916	2080	1766	1635	175					
5	"Число избирательных бюллетеней, выданных вне помещения"	779	170	28	38	25	18	34	25	10	31	24	8	21	15	7	11	15	173	9	17	100					
6	Число погашенных избирательных бюллетеней	18022	1346	914	1052	991	1182	1003	918	980	791	1089	920	1035	926	819	692	869	547	925	948	75					
7	Число избирательных бюллетеней в переносных ящиках	779	170	28	38	25	18	34	25	10	31	24	8	21	15	7	11	15	173	9	17	100					
8	Число бюллетеней в стационарных ящиках для голосования	32783	1383	1656	1709	1779	1500	1761	1853	1809	1772	1682	1672	1723	1858	1570	1494	1912	2076	1765	1635	174					
9	Число недействительных избирательных бюллетеней	139	11	6	2	7	5	5	10	6	14	8	9	8	5	11	12	6	7	3	3	1					
10	Число действительных избирательных бюллетеней	33423	1542	1678	1745	1797	1513	1790	1868	1813	1789	1698	1671	1736	1868	1566	1493	1921	2242	1771	1649	273					
11	Число полученных открепительных  удостоверений	760	93	35	35	35	50	36	35	35	35	34	35	35	35	35	35	37	40	34	36	15					
12	Число выданных открепительных удостоверений	475	93	23	30	24	28	16	22	21	20	26	24	14	23	10	17	28	17	17	17	5					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	401	23	14	11	15	65	12	21	16	17	12	6	11	17	8	11	29	28	14	6	65					
14	Число неиспользованных открепительных удостоверений	285	0	12	5	11	22	20	13	14	15	8	11	21	12	25	18	9	23	17	19	10					
15	"Число открепительных удостоверений, выданных в ТИК"	15	1	0	1	3	1	0	0	2	1	1	0	2	0	3	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																											
18	. Глазьев Сергей Юрьевич	1510	75	80	85	90	57	78	71	106	102	78	58	109	92	65	49	86	68	86	65	10					
		4.50%	4.83%	4.75%	4.87%	4.99%	3.75%	4.35%	3.78%	5.83%	5.66%	4.57%	3.45%	6.25%	4.91%	4.12%	3.26%	4.46%	3.02%	4.85%	3.93%	3.65%					
19	. Малышкин Олег Александрович	406	22	21	12	27	35	22	13	14	27	24	18	15	13	19	20	21	29	17	34	3					
		1.21%	1.42%	1.25%	0.69%	1.50%	2.31%	1.23%	0.69%	0.77%	1.50%	1.41%	1.07%	0.86%	0.69%	1.20%	1.33%	1.09%	1.29%	0.96%	2.06%	1.09%					
20	. Миронов Сергей Михайлович	327	8	20	21	20	15	15	21	11	15	19	18	16	23	15	15	20	19	14	21	1					
		0.97%	0.52%	1.19%	1.20%	1.11%	0.99%	0.84%	1.12%	0.60%	0.83%	1.11%	1.07%	0.92%	1.23%	0.95%	1.00%	1.04%	0.84%	0.79%	1.27%	0.36%					
21	. Путин Владимир Владимирович	24516	1264	1186	1229	1264	1128	1287	1341	1278	1290	1228	1222	1251	1346	1154	1123	1364	1827	1297	1222	215					
		73.05%	81.39%	70.43%	70.35%	70.07%	74.31%	71.70%	71.41%	70.26%	71.55%	71.98%	72.74%	71.73%	71.86%	73.18%	74.62%	70.78%	81.24%	73.11%	73.97%	78.47%					
22	. Хакамада Ирина Муцуовна	2108	62	101	99	92	93	96	120	109	96	109	142	117	131	91	92	168	124	134	119	13					
		6.28%	3.99%	6.00%	5.67%	5.10%	6.13%	5.35%	6.39%	5.99%	5.32%	6.39%	8.45%	6.71%	6.99%	5.77%	6.11%	8.72%	5.51%	7.55%	7.20%	4.74%					
23	. Харитонов Николай Михайлович	2836	54	191	219	211	99	180	205	187	181	148	133	139	162	113	117	149	91	124	102	31					
		8.45%	3.48%	11.34%	12.54%	11.70%	6.52%	10.03%	10.92%	10.28%	10.04%	8.68%	7.92%	7.97%	8.65%	7.17%	7.77%	7.73%	4.05%	6.99%	6.17%	11.31%					
																											
24	Против всех	1720	57	79	80	93	86	112	97	108	78	92	80	89	101	109	77	113	84	99	86	0					
		5.12%	3.67%	4.69%	4.58%	5.16%	5.67%	6.24%	5.17%	5.94%	4.33%	5.39%	4.76%	5.10%	5.39%	6.91%	5.12%	5.86%	3.73%	5.58%	5.21%	0.00%					
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
