Выборы Президента Российской Федерации																	
																	
Наименование Избирательной комиссии:    Булунская																	
																	
Итоги голосования 																	
																	
		Сумма	УИК №68	УИК №69	УИК №70	УИК №71	УИК №72	УИК №73	УИК №74	УИК №75	УИК №76	УИК №77					
1	"Число избирателей, внесенных в список"	5371	1185	1173	135	832	230	679	237	260	512	128					
2	Число полученных избирательных бюллетеней	5818	1392	1010	136	830	260	830	340	290	580	150					
3	"Число избирательных бюллетеней, выданных  досрочно"	256	0	6	0	0	1	39	31	23	146	10					
4	"Число избирательных бюллетеней, выданных в день голосования"	4174	880	895	122	696	211	521	186	218	327	118					
5	"Число избирательных бюллетеней, выданных вне помещения"	326	41	65	6	38	8	114	20	9	25	0					
6	Число погашенных избирательных бюллетеней	1062	471	44	8	96	40	156	103	40	82	22					
7	Число избирательных бюллетеней в переносных ящиках	582	41	71	6	38	9	153	51	32	171	10					
8	Число бюллетеней в стационарных ящиках для голосования	4173	880	894	122	696	211	521	186	218	327	118					
9	Число недействительных избирательных бюллетеней	36	8	7	0	4	2	5	3	4	3	0					
10	Число действительных избирательных бюллетеней	4719	913	958	128	730	218	669	234	246	495	128					
11	Число полученных открепительных  удостоверений	291	21	40	10	30	20	70	20	40	30	10					
12	Число выданных открепительных удостоверений	147	20	5	4	12	9	60	6	8	22	1					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	56	17	21	1	9	6	1	0	0	1	0					
14	Число неиспользованных открепительных удостоверений	144	1	35	6	18	11	10	14	32	8	9					
15	"Число открепительных удостоверений, выданных в ТИК"	9	3	4	0	0	0	0	0	0	2	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																	
18	. Глазьев Сергей Юрьевич	123	27	22	3	14	7	21	10	6	9	4					
		2.59%	2.93%	2.28%	2.34%	1.91%	3.18%	3.12%	4.22%	2.40%	1.81%	3.12%					
19	. Малышкин Олег Александрович	58	4	11	2	26	1	4	0	2	7	1					
		1.22%	0.43%	1.14%	1.56%	3.54%	0.45%	0.59%	0.00%	0.80%	1.41%	0.78%					
20	. Миронов Сергей Михайлович	48	7	8	3	10	2	6	4	2	6	0					
		1.01%	0.76%	0.83%	2.34%	1.36%	0.91%	0.89%	1.69%	0.80%	1.20%	0.00%					
21	. Путин Владимир Владимирович	3732	691	784	82	550	186	550	187	193	404	105					
		78.49%	75.03%	81.24%	64.06%	74.93%	84.55%	81.60%	78.90%	77.20%	81.12%	82.03%					
22	. Хакамада Ирина Муцуовна	263	75	60	18	28	4	35	13	4	26	0					
		5.53%	8.14%	6.22%	14.06%	3.81%	1.82%	5.19%	5.49%	1.60%	5.22%	0.00%					
23	. Харитонов Николай Михайлович	346	73	49	11	46	17	44	19	32	37	18					
		7.28%	7.93%	5.08%	8.59%	6.27%	7.73%	6.53%	8.02%	12.80%	7.43%	14.06%					
																	
24	Против всех	149	36	24	9	56	1	9	1	7	6	0					
		3.13%	3.91%	2.49%	7.03%	7.63%	0.45%	1.34%	0.42%	2.80%	1.20%	0.00%					
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
