Выборы Президента Российской Федерации																												
																												
Наименование Избирательной комиссии:    Большеигнатовская																												
																												
Итоги голосования 																												
																												
		Сумма	УИК №139	УИК №140	УИК №141	УИК №142	УИК №143	УИК №144	УИК №145	УИК №146	УИК №147	УИК №148	УИК №149	УИК №150	УИК №151	УИК №152	УИК №153	УИК №154	УИК №155	УИК №156	УИК №157	УИК №158	УИК №159					
1	"Число избирателей, внесенных в список"	7361	268	630	2419	192	144	290	203	407	148	285	287	240	75	228	198	408	222	155	103	225	234					
2	Число полученных избирательных бюллетеней	7443	276	642	2426	194	146	307	205	409	153	290	288	244	75	230	198	410	224	157	106	224	239					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	6810	255	538	2244	191	136	261	194	352	148	222	266	240	75	228	189	397	205	147	93	206	223					
5	"Число избирательных бюллетеней, выданных вне помещения"	499	13	86	137	1	8	29	9	51	0	63	20	0	0	0	9	9	17	8	10	18	11					
6	Число погашенных избирательных бюллетеней	134	8	18	45	2	2	17	2	6	5	5	2	4	0	2	0	4	2	2	3	0	5					
7	Число избирательных бюллетеней в переносных ящиках	499	13	86	137	1	8	29	9	51	0	63	20	0	0	0	9	9	17	8	10	18	11					
8	Число бюллетеней в стационарных ящиках для голосования	6810	255	538	2244	191	136	261	194	352	148	222	266	240	75	228	189	397	205	147	93	206	223					
9	Число недействительных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
10	Число действительных избирательных бюллетеней	7309	268	624	2381	192	144	290	203	403	148	285	286	240	75	228	198	406	222	155	103	224	234					
11	Число полученных открепительных  удостоверений	200	8	20	28	8	8	14	8	8	8	8	8	8	2	8	8	8	8	8	8	8	8					
12	Число выданных открепительных удостоверений	53	7	3	18	0	0	12	0	0	3	1	1	1	0	0	1	1	1	0	0	0	4					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	22	0	1	13	0	0	0	0	2	0	0	0	0	0	1	1	2	1	0	0	0	1					
14	Число неиспользованных открепительных удостоверений	147	1	17	10	8	8	2	8	8	5	7	7	7	2	8	7	7	7	8	8	8	4					
15	"Число открепительных удостоверений, выданных в ТИК"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																												
18	. Глазьев Сергей Юрьевич	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
		0.01%	0.00%	0.16%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%					
19	. Малышкин Олег Александрович	3	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0					
		0.04%	0.00%	0.16%	0.04%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.25%	0.00%	0.00%	0.00%	0.00%	0.00%					
20	. Миронов Сергей Михайлович	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
		0.01%	0.00%	0.00%	0.04%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%					
21	. Путин Владимир Владимирович	7242	266	618	2357	190	144	286	200	399	148	282	283	239	74	226	196	402	221	154	103	222	232					
		99.08%	99.25%	99.04%	98.99%	98.96%	100.00%	98.62%	98.52%	99.01%	100.00%	98.95%	98.95%	99.58%	98.67%	99.12%	98.99%	99.01%	99.55%	99.35%	100.00%	99.11%	99.15%					
22	. Хакамада Ирина Муцуовна	3	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0					
		0.04%	0.00%	0.00%	0.04%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.35%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.45%	0.00%					
23	. Харитонов Николай Михайлович	59	2	4	21	2	0	4	3	4	0	2	3	1	1	2	2	3	1	1	0	1	2					
		0.81%	0.75%	0.64%	0.88%	1.04%	0.00%	1.38%	1.48%	0.99%	0.00%	0.70%	1.05%	0.42%	1.33%	0.88%	1.01%	0.74%	0.45%	0.65%	0.00%	0.45%	0.85%					
																												
24	Против всех	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
		0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%					
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
