Выборы Президента Российской Федерации																																																		
																																																		
Наименование Избирательной комиссии:    Смоленская																																																		
																																																		
Итоги голосования 																																																		
																																																		
		Сумма	УИК №750	УИК №751	УИК №752	УИК №753	УИК №754	УИК №755	УИК №756	УИК №757	УИК №758	УИК №759	УИК №760	УИК №761	УИК №762	УИК №763	УИК №764	УИК №765	УИК №766	УИК №767	УИК №768	УИК №769	УИК №770	УИК №771	УИК №772	УИК №773	УИК №774	УИК №775	УИК №776	УИК №777	УИК №778	УИК №779	УИК №780	УИК №781	УИК №782	УИК №783	УИК №784	УИК №785	УИК №786	УИК №787	УИК №788	УИК №789	УИК №790	УИК №791	УИК №792					
1	"Число избирателей, внесенных в список"	35900	347	1847	460	505	822	2399	1092	437	1188	1295	389	1953	433	2603	251	200	454	1561	1812	582	357	650	564	1105	293	2370	204	711	1474	204	1124	215	929	431	328	471	510	625	1232	339	317	500	317					
2	Число полученных избирательных бюллетеней	35220	350	1860	430	500	820	2400	1100	430	1030	1270	370	1900	430	2500	250	190	450	1570	1820	580	350	570	550	1110	290	2340	200	640	1470	200	1110	210	940	420	320	480	500	620	1180	340	310	500	320					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	16516	185	843	281	269	379	1321	545	210	534	487	78	760	192	1431	84	124	198	806	900	301	143	388	320	386	127	821	48	344	713	83	591	99	553	212	136	193	181	228	472	147	115	196	92					
5	"Число избирательных бюллетеней, выданных вне помещения"	5484	93	269	34	131	182	77	47	55	88	196	173	454	73	126	98	0	117	118	228	79	130	82	68	332	53	389	92	91	38	75	20	47	49	122	94	175	154	211	189	81	80	135	139					
6	Число погашенных избирательных бюллетеней	13220	72	748	115	100	259	1002	508	165	408	587	119	686	165	943	68	66	135	646	692	200	77	100	162	392	110	1130	60	205	719	42	499	64	338	86	90	112	165	181	519	112	115	169	89					
7	Число избирательных бюллетеней в переносных ящиках	5483	93	269	34	131	182	77	47	55	88	196	173	453	73	126	98	0	117	118	228	79	130	82	68	332	53	389	92	91	38	75	20	47	49	122	94	175	154	211	189	81	80	135	139					
8	Число бюллетеней в стационарных ящиках для голосования	16516	185	843	281	269	379	1321	545	210	534	487	78	760	192	1431	84	124	198	806	900	301	143	388	320	386	127	821	48	344	713	83	591	99	553	212	136	193	181	228	472	147	115	196	92					
9	Число недействительных избирательных бюллетеней	186	2	5	1	4	2	11	2	5	13	4	0	16	2	18	0	2	7	16	9	2	2	4	4	2	2	3	0	1	12	0	5	1	7	0	2	0	3	2	7	1	1	6	0					
10	Число действительных избирательных бюллетеней	21813	276	1107	314	396	559	1387	590	260	609	679	251	1197	263	1539	182	122	308	908	1119	378	271	466	384	716	178	1207	140	434	739	158	606	145	595	334	228	368	332	437	654	227	194	325	231					
11	Число полученных открепительных  удостоверений	590	10	20	10	15	15	20	20	10	15	20	10	20	10	25	10	5	10	25	20	10	10	15	15	20	10	25	10	10	20	10	15	10	15	10	10	10	10	10	15	10	10	10	10					
12	Число выданных открепительных удостоверений	175	6	1	0	3	1	18	5	1	4	6	0	7	0	14	1	2	5	13	7	0	4	3	3	11	2	7	3	3	9	6	2	4	6	4	0	2	1	0	1	5	3	1	1					
