Выборы Президента Российской Федерации																													
																													
Наименование Избирательной комиссии:    Родинская																													
																													
Итоги голосования 																													
																													
		Сумма	УИК №1310	УИК №1311	УИК №1312	УИК №1313	УИК №1314	УИК №1315	УИК №1316	УИК №1317	УИК №1318	УИК №1319	УИК №1320	УИК №1321	УИК №1322	УИК №1323	УИК №1324	УИК №1325	УИК №1326	УИК №1327	УИК №1328	УИК №1329	УИК №1330	УИК №1331					
1	"Число избирателей, внесенных в список"	19248	460	533	456	317	889	1458	391	893	265	809	423	187	1887	1814	2072	1801	987	1207	598	315	681	805					
2	Число полученных избирательных бюллетеней	19000	460	530	450	320	900	1460	390	890	260	820	420	190	1860	1730	2050	1730	980	1200	590	310	670	790					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	13167	426	453	373	242	680	994	296	614	182	634	348	155	1125	1182	1163	1139	601	839	417	233	522	549					
5	"Число избирательных бюллетеней, выданных вне помещения"	665	13	8	24	8	50	37	17	22	14	8	5	0	50	85	48	31	26	83	52	17	30	37					
6	Число погашенных избирательных бюллетеней	5168	21	69	53	70	170	429	77	254	64	178	67	35	685	463	839	560	353	278	121	60	118	204					
7	Число избирательных бюллетеней в переносных ящиках	665	13	8	24	8	50	37	17	22	14	8	5	0	50	85	48	31	26	83	52	17	30	37					
8	Число бюллетеней в стационарных ящиках для голосования	13166	426	453	373	242	680	994	296	614	182	634	348	155	1125	1182	1162	1139	601	839	417	233	522	549					
9	Число недействительных избирательных бюллетеней	143	0	9	7	0	4	11	8	4	2	8	5	7	7	17	7	9	5	10	12	4	7	0					
10	Число действительных избирательных бюллетеней	13688	439	452	390	250	726	1020	305	632	194	634	348	148	1168	1250	1203	1161	622	912	457	246	545	586					
11	Число полученных открепительных  удостоверений	298	7	7	6	6	12	20	6	15	4	12	7	5	30	30	30	30	15	20	10	4	10	12					
12	Число выданных открепительных удостоверений	33	0	0	1	0	0	0	2	1	0	2	2	1	6	5	6	2	2	1	1	0	0	1					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	11	0	0	0	0	0	1	0	1	0	1	0	0	0	0	5	2	0	0	1	0	0	0					
14	Число неиспользованных открепительных удостоверений	265	7	7	5	6	12	20	4	14	4	10	5	4	24	25	24	28	13	19	9	4	10	11					
15	"Число открепительных удостоверений, выданных в ТИК"	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																													
18	. Глазьев Сергей Юрьевич	471	12	12	17	5	11	95	7	13	11	6	18	0	32	57	39	35	9	28	10	10	30	14					
		3.41%	2.73%	2.60%	4.28%	2.00%	1.51%	9.21%	2.24%	2.04%	5.61%	0.93%	5.10%	0.00%	2.72%	4.50%	3.22%	2.99%	1.44%	3.04%	2.13%	4.00%	5.43%	2.39%					
19	. Малышкин Олег Александрович	434	9	8	8	15	21	42	12	18	8	30	8	8	61	26	27	31	12	25	12	3	34	16					
		3.14%	2.05%	1.74%	2.02%	6.00%	2.88%	4.07%	3.83%	2.83%	4.08%	4.67%	2.27%	5.16%	5.19%	2.05%	2.23%	2.65%	1.91%	2.71%	2.56%	1.20%	6.16%	2.73%					
20	. Миронов Сергей Михайлович	79	2	4	1	2	2	5	2	1	0	10	1	0	6	10	7	8	4	6	2	2	2	2					
		0.57%	0.46%	0.87%	0.25%	0.80%	0.27%	0.48%	0.64%	0.16%	0.00%	1.56%	0.28%	0.00%	0.51%	0.79%	0.58%	0.68%	0.64%	0.65%	0.43%	0.80%	0.36%	0.34%					
21	. Путин Владимир Владимирович	9657	295	397	201	183	486	609	191	460	132	462	248	104	832	860	887	841	489	598	357	202	384	439					
		69.82%	67.20%	86.12%	50.63%	73.20%	66.58%	59.07%	61.02%	72.33%	67.35%	71.96%	70.25%	67.10%	70.81%	67.88%	73.31%	71.88%	77.99%	64.86%	76.12%	80.80%	69.57%	74.91%					
22	. Хакамада Ирина Муцуовна	177	11	0	2	4	12	11	4	10	2	6	2	0	25	19	17	20	4	7	1	0	2	18					
		1.28%	2.51%	0.00%	0.50%	1.60%	1.64%	1.07%	1.28%	1.57%	1.02%	0.93%	0.57%	0.00%	2.13%	1.50%	1.40%	1.71%	0.64%	0.76%	0.21%	0.00%	0.36%	3.07%					
23	. Харитонов Николай Михайлович	2662	104	29	158	40	180	240	81	125	36	115	62	36	197	255	194	205	97	241	66	26	91	84					
		19.25%	23.69%	6.29%	39.80%	16.00%	24.66%	23.28%	25.88%	19.65%	18.37%	17.91%	17.56%	23.23%	16.77%	20.13%	16.03%	17.52%	15.47%	26.14%	14.07%	10.40%	16.49%	14.33%					
																													
24	Против всех	208	6	2	3	1	14	18	8	5	5	5	9	0	15	23	32	21	7	7	9	3	2	13					
		1.50%	1.37%	0.43%	0.76%	0.40%	1.92%	1.75%	2.56%	0.79%	2.55%	0.78%	2.55%	0.00%	1.28%	1.82%	2.64%	1.79%	1.12%	0.76%	1.92%	1.20%	0.36%	2.22%					
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
