Выборы Президента Российской Федерации																															
																															
Наименование Избирательной комиссии:    Шигонская																															
																															
Итоги голосования 																															
																															
		Сумма	УИК №1483	УИК №1484	УИК №1485	УИК №1486	УИК №1487	УИК №1488	УИК №1489	УИК №1490	УИК №1491	УИК №1492	УИК №1493	УИК №1494	УИК №1495	УИК №1496	УИК №1497	УИК №1498	УИК №1499	УИК №1500	УИК №1501	УИК №1502	УИК №1503	УИК №1504	УИК №1505	УИК №1506					
1	"Число избирателей, внесенных в список"	17242	384	232	279	259	1123	656	225	236	138	1041	1082	526	506	722	289	293	404	268	1882	874	760	598	2111	2354					
2	Число полученных избирательных бюллетеней	18061	411	238	279	261	1195	707	247	269	138	1100	1138	583	537	793	339	316	445	294	1982	924	779	604	2101	2381					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	11388	264	178	146	202	725	428	171	172	110	734	713	361	368	514	184	191	288	212	1249	559	514	427	1227	1451					
5	"Число избирательных бюллетеней, выданных вне помещения"	1687	65	38	72	31	121	87	37	39	24	118	111	66	52	100	70	50	43	33	49	105	60	45	168	103					
6	Число погашенных избирательных бюллетеней	4986	82	22	61	28	349	192	39	58	4	248	314	156	117	179	85	75	114	49	684	260	205	132	706	827					
7	Число избирательных бюллетеней в переносных ящиках	1687	65	38	72	31	121	87	37	39	24	118	111	66	52	100	70	50	43	33	49	105	60	45	168	103					
8	Число бюллетеней в стационарных ящиках для голосования	11386	264	178	146	202	725	428	171	172	110	734	713	361	368	514	184	191	288	212	1249	559	514	426	1226	1451					
9	Число недействительных избирательных бюллетеней	191	6	2	0	2	13	2	5	3	0	13	25	11	13	13	4	1	8	1	10	8	5	3	11	32					
10	Число действительных избирательных бюллетеней	12882	323	214	218	231	833	513	203	208	134	839	799	416	407	601	250	240	323	244	1288	656	569	468	1383	1522					
11	Число полученных открепительных  удостоверений	406	10	1	1	1	22	13	16	13	2	19	11	15	7	23	14	5	3	1	90	10	11	7	61	50					
12	Число выданных открепительных удостоверений	345	8	1	0	0	22	12	14	12	0	19	11	15	6	23	14	3	2	1	87	10	2	6	42	35					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	228	7	6	4	8	13	7	6	8	4	7	4	6	3	2	3	6	4	7	40	13	23	8	17	22					
