Выборы Президента Российской Федерации																																																								
																																																								
Наименование Избирательной комиссии:    Кушнаренковская																																																								
																																																								
Итоги голосования 																																																								
																																																								
		Сумма	УИК №2780	УИК №2781	УИК №2782	УИК №2783	УИК №2784	УИК №2785	УИК №2786	УИК №2787	УИК №2788	УИК №2789	УИК №2790	УИК №2791	УИК №2792	УИК №2793	УИК №2794	УИК №2795	УИК №2796	УИК №2797	УИК №2798	УИК №2799	УИК №2800	УИК №2801	УИК №2802	УИК №2803	УИК №2804	УИК №2805	УИК №2806	УИК №2807	УИК №2808	УИК №2809	УИК №2810	УИК №2811	УИК №2812	УИК №2813	УИК №2814	УИК №2815	УИК №2816	УИК №2817	УИК №2818	УИК №2819	УИК №2820	УИК №2821	УИК №2822	УИК №2823	УИК №2824	УИК №2825	УИК №2826	УИК №2827	УИК №2828					
1	"Число избирателей, внесенных в список"	19887	1181	1595	1420	1312	1549	601	561	71	263	299	105	286	516	272	99	467	145	312	75	381	367	500	129	486	163	169	171	79	213	267	138	106	521	190	67	536	262	148	358	132	112	542	528	551	301	404	356	474	107					
2	Число полученных избирательных бюллетеней	19878	1157	1602	1410	1305	1534	590	570	71	255	302	105	287	515	275	99	476	145	309	79	386	371	495	130	491	164	169	171	78	217	275	143	107	530	190	69	532	262	148	357	141	114	535	515	551	300	401	360	475	115					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	18002	1086	1532	1385	1209	1116	556	516	64	214	234	97	284	506	253	99	430	126	308	71	340	342	490	124	455	147	166	152	77	197	248	121	100	403	180	58	531	253	148	320	125	105	479	320	528	274	344	345	441	103					
5	"Число избирательных бюллетеней, выданных вне помещения"	1156	61	14	25	46	86	31	32	7	37	52	4	2	6	17	0	27	19	0	4	37	21	0	3	24	16	0	9	0	9	19	16	6	112	6	9	1	7	0	22	7	7	53	195	12	18	36	7	31	3					
6	Число погашенных избирательных бюллетеней	720	10	56	0	50	332	3	22	0	4	16	4	1	3	5	0	19	0	1	4	9	8	5	3	12	1	3	10	1	11	8	6	1	15	4	2	0	2	0	15	9	2	3	0	11	8	21	8	3	9					
7	Число избирательных бюллетеней в переносных ящиках	1156	61	14	25	46	86	31	32	7	37	52	4	2	6	17	0	27	19	0	4	37	21	0	3	24	16	0	9	0	9	19	16	6	112	6	9	1	7	0	22	7	7	53	195	12	18	36	7	31	3					
8	Число бюллетеней в стационарных ящиках для голосования	18002	1086	1532	1385	1209	1116	556	516	64	214	234	97	284	506	253	99	430	126	308	71	340	342	490	124	455	147	166	152	77	197	248	121	100	403	180	58	531	253	148	320	125	105	479	320	528	274	344	345	441	103					
9	Число недействительных избирательных бюллетеней	51	1	0	2	3	9	3	2	0	0	0	0	0	0	0	8	2	0	0	0	0	0	0	0	2	0	9	0	2	1	0	0	0	0	0	0	0	1	0	1	0	0	4	0	0	0	1	0	0	0					
10	Число действительных избирательных бюллетеней	19107	1146	1546	1408	1252	1193	584	546	71	251	286	101	286	512	270	91	455	145	308	75	377	363	490	127	477	163	157	161	75	205	267	137	106	515	186	67	532	259	148	341	132	112	528	515	540	292	379	352	472	106					
11	Число полученных открепительных  удостоверений	498	30	30	35	30	84	13	12	2	6	7	2	6	11	6	2	10	3	7	2	9	8	11	3	11	4	4	4	2	5	6	3	2	13	5	2	12	6	3	8	3	2	12	12	12	8	9	8	11	2					
12	Число выданных открепительных удостоверений	145	5	16	11	7	5	8	6	0	0	2	0	0	1	3	0	7	3	0	2	0	3	0	0	5	2	0	0	1	0	6	3	2	10	0	2	0	0	0	3	0	2	7	0	4	8	4	3	4	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	130	20	7	2	6	9	6	3	0	5	1	3	0	6	0	0	0	2	4	0	1	1	6	1	2	1	1	2	2	3	0	1	0	4	2	2	3	1	0	1	0	0	2	3	5	1	4	4	3	0					
14	Число неиспользованных открепительных удостоверений	353	25	14	24	23	79	5	6	2	6	5	2	6	10	3	2	3	0	7	0	9	5	11	3	6	2	4	4	1	5	0	0	0	3	5	0	12	6	3	5	3	0	5	12	8	0	5	5	7	2					
15	"Число открепительных удостоверений, выданных в ТИК"	2	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																																								
18	. Глазьев Сергей Юрьевич	27	0	5	1	4	4	0	1	0	0	1	1	0	2	0	0	1	0	0	0	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1	0	1	0	0	0					
