Выборы Президента Российской Федерации																																															
																																															
Наименование Избирательной комиссии:    Нижнетавдинская																																															
																																															
Итоги голосования 																																															
																																															
		Сумма	УИК №482	УИК №483	УИК №484	УИК №485	УИК №486	УИК №487	УИК №488	УИК №489	УИК №490	УИК №491	УИК №492	УИК №493	УИК №494	УИК №495	УИК №496	УИК №497	УИК №498	УИК №499	УИК №500	УИК №501	УИК №502	УИК №503	УИК №504	УИК №505	УИК №506	УИК №507	УИК №508	УИК №509	УИК №510	УИК №511	УИК №512	УИК №513	УИК №514	УИК №515	УИК №516	УИК №517	УИК №518	УИК №519	УИК №520	УИК №521					
1	"Число избирателей, внесенных в список"	16318	361	155	151	504	128	141	429	544	212	251	1089	726	318	338	352	237	394	428	121	2374	1377	983	178	161	196	244	217	372	179	154	85	133	454	766	257	177	244	153	613	122					
2	Число полученных избирательных бюллетеней	16687	367	158	156	529	130	142	441	556	214	252	1085	792	314	343	338	221	405	428	123	2461	1563	867	181	165	215	241	222	375	182	170	84	135	457	771	261	191	253	158	616	125					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	13139	345	154	150	324	84	133	323	432	73	223	793	490	219	276	244	178	394	378	111	1903	1111	752	138	111	177	206	190	348	161	154	78	128	407	623	225	159	212	126	523	83					
5	"Число избирательных бюллетеней, выданных вне помещения"	2060	0	0	0	157	35	8	76	101	139	22	245	128	58	60	94	41	0	41	7	129	128	108	31	41	19	9	8	13	16	0	5	4	29	109	19	12	24	21	84	39					
6	Число погашенных избирательных бюллетеней	1488	22	4	6	48	11	1	42	23	2	7	47	174	37	7	0	2	11	9	5	429	324	7	12	13	19	26	24	14	5	16	1	3	21	39	17	20	17	11	9	3					
7	Число избирательных бюллетеней в переносных ящиках	2060	0	0	0	157	35	8	76	101	139	22	245	128	58	60	94	41	0	41	7	129	128	108	31	41	19	9	8	13	16	0	5	4	29	109	19	12	24	21	84	39					
8	Число бюллетеней в стационарных ящиках для голосования	13138	345	154	150	323	84	133	323	432	73	223	793	490	219	276	244	178	394	378	111	1903	1111	752	138	111	177	206	190	348	161	154	78	128	407	623	225	159	212	126	523	83					
9	Число недействительных избирательных бюллетеней	130	4	2	3	1	0	0	3	9	0	2	6	10	3	4	4	1	2	0	0	18	24	6	1	0	1	3	1	0	0	0	0	0	8	2	2	2	2	0	6	0					
10	Число действительных избирательных бюллетеней	15068	341	152	147	479	119	141	396	524	212	243	1032	608	274	332	334	218	392	419	118	2014	1215	854	168	152	195	212	197	361	177	154	83	132	428	730	242	169	234	147	601	122					
