Выборы Президента Российской Федерации																								
																								
Наименование Избирательной комиссии:    Богатовская																								
																								
Итоги голосования 																								
																								
		Сумма	УИК №1196	УИК №1197	УИК №1198	УИК №1199	УИК №1200	УИК №1201	УИК №1202	УИК №1203	УИК №1204	УИК №1205	УИК №1206	УИК №1207	УИК №1208	УИК №1209	УИК №1210	УИК №1211	УИК №1212					
1	"Число избирателей, внесенных в список"	12264	629	333	509	1715	1460	2264	402	508	503	570	700	866	507	476	384	138	300					
2	Число полученных избирательных бюллетеней	11550	600	300	460	1600	1400	2200	400	500	500	550	630	780	460	440	330	130	270					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	7125	335	219	309	1034	815	1282	230	291	296	290	424	528	312	264	237	83	176					
5	"Число избирательных бюллетеней, выданных вне помещения"	900	84	34	91	63	85	44	37	46	30	44	62	93	54	26	34	27	46					
6	Число погашенных избирательных бюллетеней	3525	181	47	60	503	500	874	133	163	174	216	144	159	94	150	59	20	48					
7	Число избирательных бюллетеней в переносных ящиках	900	84	34	91	63	85	44	37	46	30	44	62	93	54	26	34	27	46					
8	Число бюллетеней в стационарных ящиках для голосования	7060	335	219	309	971	815	1282	230	291	296	290	424	528	311	263	237	83	176					
9	Число недействительных избирательных бюллетеней	136	6	3	9	17	10	30	8	3	6	4	6	15	7	5	5	0	2					
10	Число действительных избирательных бюллетеней	7824	413	250	391	1017	890	1296	259	334	320	330	480	606	358	284	266	110	220					
11	Число полученных открепительных  удостоверений	200	10	10	10	20	20	20	10	10	10	10	10	10	10	10	10	10	10					
12	Число выданных открепительных удостоверений	52	5	4	2	8	9	5	1	4	3	1	1	0	1	2	0	2	4					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	89	8	4	7	14	4	6	6	1	0	2	9	7	5	2	7	5	2					
14	Число неиспользованных открепительных удостоверений	148	5	6	8	12	11	15	9	6	7	9	9	10	9	8	10	8	6					
15	"Число открепительных удостоверений, выданных в ТИК"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																								
18	. Глазьев Сергей Юрьевич	230	13	6	4	31	30	35	7	5	2	16	15	17	6	16	8	9	10					
		2.89%	3.10%	2.37%	1.00%	3.00%	3.33%	2.64%	2.62%	1.48%	0.61%	4.79%	3.09%	2.74%	1.64%	5.54%	2.95%	8.18%	4.50%					
19	. Малышкин Олег Александрович	233	16	6	13	29	34	45	9	5	11	18	9	13	10	7	1	0	7					
		2.93%	3.82%	2.37%	3.25%	2.80%	3.78%	3.39%	3.37%	1.48%	3.37%	5.39%	1.85%	2.09%	2.74%	2.42%	0.37%	0.00%	3.15%					
20	. Миронов Сергей Михайлович	61	2	3	2	15	4	9	2	3	0	5	3	4	4	0	4	1	0					
		0.77%	0.48%	1.19%	0.50%	1.45%	0.44%	0.68%	0.75%	0.89%	0.00%	1.50%	0.62%	0.64%	1.10%	0.00%	1.48%	0.91%	0.00%					
21	. Путин Владимир Владимирович	5365	282	164	240	699	596	846	173	254	235	239	314	408	250	216	202	83	164					
		67.40%	67.30%	64.82%	60.00%	67.60%	66.22%	63.80%	64.79%	75.37%	72.09%	71.56%	64.61%	65.70%	68.49%	74.74%	74.54%	75.45%	73.87%					
22	. Хакамада Ирина Муцуовна	176	5	2	8	24	26	43	5	9	10	7	3	9	8	4	5	1	7					
		2.21%	1.19%	0.79%	2.00%	2.32%	2.89%	3.24%	1.87%	2.67%	3.07%	2.10%	0.62%	1.45%	2.19%	1.38%	1.85%	0.91%	3.15%					
23	. Харитонов Николай Михайлович	1629	88	64	115	194	179	293	63	58	58	42	131	148	78	36	40	13	29					
		20.46%	21.00%	25.30%	28.75%	18.76%	19.89%	22.10%	23.60%	17.21%	17.79%	12.57%	26.95%	23.83%	21.37%	12.46%	14.76%	11.82%	13.06%					
																								
24	Против всех	130	7	5	9	25	21	25	0	0	4	3	5	7	2	5	6	3	3					
		1.63%	1.67%	1.98%	2.25%	2.42%	2.33%	1.89%	0.00%	0.00%	1.23%	0.90%	1.03%	1.13%	0.55%	1.73%	2.21%	2.73%	1.35%					
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
