Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																				
Дата голосования: 04.12.2011																																				
																																				
Наименование Избирательной комиссии:    Усинская городская																																				
																																				
Сводная таблица результатов выборов																																				
																																				
		Сумма	УИК №239	УИК №240	УИК №241	УИК №242	УИК №243	УИК №244	УИК №245	УИК №246	УИК №247	УИК №248	УИК №249	УИК №250	УИК №251	УИК №252	УИК №253	УИК №254	УИК №255	УИК №256	УИК №257	УИК №258	УИК №259	УИК №260	УИК №261	УИК №262	УИК №263	УИК №264	УИК №265	УИК №266	УИК №267					
1	"Число избирателей, внесенных в список избирателей"	38545	1848	1865	1751	1896	1792	1909	1594	1338	1354	1441	1504	1674	1689	1963	1739	1519	1721	2357	2017	2066	329	686	308	272	81	437	342	687	366					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	35140	1400	1700	1550	1700	1600	1700	1400	1350	1200	1250	1350	1500	1500	1750	1600	1450	1500	2200	1640	2000	300	800	400	250	100	450	350	800	350					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	2935	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1111	1702	13	0	0	0	0	23	26	60	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	25018	921	1451	1331	1127	1302	1181	1043	1182	731	851	854	1225	1206	1047	1463	1330	1421	2109	446	268	213	505	192	221	70	271	303	477	277					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	700	123	10	17	15	10	23	16	6	15	16	16	12	23	66	15	17	14	18	15	4	8	70	28	23	8	33	6	60	13					
6	Число погашенных избирательных бюллетеней	6487	356	239	202	558	288	496	341	162	454	383	480	263	271	637	122	103	65	73	68	26	66	225	180	6	22	123	15	203	60					
7	Число избирательных бюллетеней в переносных ящиках для голосования	3635	123	10	17	15	10	23	16	6	15	16	16	12	23	66	15	17	14	18	1126	1706	21	70	28	23	8	56	32	120	13					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	24996	920	1451	1314	1127	1302	1181	1043	1182	731	851	854	1225	1206	1046	1462	1329	1421	2108	446	268	213	505	192	221	70	271	303	477	277					
9	Число недействительных избирательных бюллетеней	492	23	24	3	8	21	23	24	19	19	18	15	11	23	37	24	33	20	35	46	13	18	14	8	2	1	5	0	3	2					
10	Число действительных избирательных бюллетеней	28139	1020	1437	1328	1134	1291	1181	1035	1169	727	849	855	1226	1206	1075	1453	1313	1415	2091	1526	1961	216	561	212	242	77	322	335	594	288					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	873	25	38	25	38	28	35	28	25	15	25	25	25	25	25	28	25	25	33	15	15	20	95	40	20	5	60	20	70	20					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	873	25	38	25	38	28	35	28	25	15	25	25	25	25	25	28	25	25	33	15	15	20	95	40	20	5	60	20	70	20					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	739	31	23	24	66	28	11	10	12	19	18	1	36	26	30	5	110	29	161	14	37	9	14	7	2	1	8	0	5	2					
14	Число погашенных неиспользованных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	227	7	4	10	10	8	17	5	5	8	4	8	7	18	13	11	9	6	14	7	0	0	32	13	1	1	0	3	4	2					
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																				
19	1. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	2812	119	165	74	77	102	136	112	148	103	114	123	126	128	116	136	67	145	92	183	172	32	111	43	8	4	56	11	91	18					
		9.82%	11.41%	11.29%	5.56%	6.74%	7.77%	11.30%	10.58%	12.46%	13.81%	13.15%	14.14%	10.19%	10.41%	10.43%	9.21%	4.98%	10.10%	4.33%	11.64%	8.71%	13.68%	19.30%	19.55%	3.28%	5.13%	17.13%	3.28%	15.24%	6.21%					
20	"2. Политическая партия ""Либерально-демократическая партия России"""	3430	175	132	94	80	76	207	107	177	132	129	142	87	207	208	190	109	168	102	344	165	39	68	30	18	7	44	45	98	50					
