Выборы Президента Российской Федерации																									
																									
Наименование Избирательной комиссии:    Кесовогорская																									
																									
Итоги голосования 																									
																									
		Сумма	УИК №446	УИК №447	УИК №448	УИК №449	УИК №450	УИК №451	УИК №452	УИК №453	УИК №454	УИК №455	УИК №456	УИК №457	УИК №458	УИК №459	УИК №460	УИК №461	УИК №462	УИК №463					
1	"Число избирателей, внесенных в список"	7015	1605	1541	201	187	210	233	129	238	131	231	393	277	398	406	102	209	271	253					
2	Число полученных избирательных бюллетеней	6960	1570	1500	201	184	217	242	128	240	134	230	408	279	390	404	105	210	271	247					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	3319	894	727	70	81	108	101	76	62	44	94	261	56	166	206	57	107	98	111					
5	"Число избирательных бюллетеней, выданных вне помещения"	1729	82	187	92	64	57	108	37	132	58	95	85	174	167	89	29	56	132	85					
6	Число погашенных избирательных бюллетеней	1912	594	586	39	39	52	33	15	46	32	41	62	49	57	109	19	47	41	51					
7	Число избирательных бюллетеней в переносных ящиках	1729	82	187	92	64	57	108	37	132	58	95	85	174	167	89	29	56	132	85					
8	Число бюллетеней в стационарных ящиках для голосования	3315	892	725	70	81	108	101	76	62	44	94	261	56	166	206	57	107	98	111					
9	Число недействительных избирательных бюллетеней	22	4	5	0	0	5	0	0	0	0	0	0	0	1	5	0	0	1	1					
10	Число действительных избирательных бюллетеней	5022	970	907	162	145	160	209	113	194	102	189	346	230	332	290	86	163	229	195					
11	Число полученных открепительных  удостоверений	195	25	25	8	8	8	13	8	8	8	8	20	8	8	8	8	8	8	8					
12	Число выданных открепительных удостоверений	57	8	4	0	1	8	11	0	2	0	0	20	1	0	1	0	1	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	23	4	4	1	2	2	1	1	0	0	0	2	0	1	2	1	0	0	2					
14	Число неиспользованных открепительных удостоверений	138	17	21	8	7	0	2	8	6	8	8	0	7	8	7	8	7	8	8					
15	"Число открепительных удостоверений, выданных в ТИК"	2	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																									
18	. Глазьев Сергей Юрьевич	127	36	37	1	0	0	1	3	8	3	3	7	2	11	2	6	3	1	3					
		2.52%	3.70%	4.06%	0.62%	0.00%	0.00%	0.48%	2.65%	4.12%	2.94%	1.59%	2.02%	0.87%	3.30%	0.68%	6.98%	1.84%	0.43%	1.53%					
19	. Малышкин Олег Александрович	142	36	27	5	5	7	6	4	2	2	3	9	18	6	4	1	3	2	2					
		2.82%	3.70%	2.96%	3.09%	3.45%	4.24%	2.87%	3.54%	1.03%	1.96%	1.59%	2.60%	7.83%	1.80%	1.36%	1.16%	1.84%	0.87%	1.02%					
20	. Миронов Сергей Михайлович	32	6	8	3	2	0	2	2	1	0	1	0	0	0	3	0	1	1	2					
		0.63%	0.62%	0.88%	1.85%	1.38%	0.00%	0.96%	1.77%	0.52%	0.00%	0.53%	0.00%	0.00%	0.00%	1.02%	0.00%	0.61%	0.43%	1.02%					
21	. Путин Владимир Владимирович	3469	595	617	128	95	87	150	84	127	66	144	252	165	246	198	67	124	156	168					
		68.77%	61.09%	67.65%	79.01%	65.52%	52.73%	71.77%	74.34%	65.46%	64.71%	76.19%	72.83%	71.74%	73.87%	67.12%	77.91%	76.07%	67.83%	85.71%					
22	. Хакамада Ирина Муцуовна	67	18	16	0	4	5	1	2	0	1	0	6	2	8	1	1	1	1	0					
		1.33%	1.85%	1.75%	0.00%	2.76%	3.03%	0.48%	1.77%	0.00%	0.98%	0.00%	1.73%	0.87%	2.40%	0.34%	1.16%	0.61%	0.43%	0.00%					
23	. Харитонов Николай Михайлович	1048	231	171	21	34	60	49	14	45	30	30	68	37	58	78	9	29	66	18					
		20.78%	23.72%	18.75%	12.96%	23.45%	36.36%	23.44%	12.39%	23.20%	29.41%	15.87%	19.65%	16.09%	17.42%	26.44%	10.47%	17.79%	28.70%	9.18%					
																									
24	Против всех	137	48	31	4	5	1	0	4	11	0	8	4	6	3	4	2	2	2	2					
		2.72%	4.93%	3.40%	2.47%	3.45%	0.61%	0.00%	3.54%	5.67%	0.00%	4.23%	1.16%	2.61%	0.90%	1.36%	2.33%	1.23%	0.87%	1.02%					
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
