Выборы Президента Российской Федерации																											
																											
Наименование Избирательной комиссии:    Магдагачинская																											
																											
Итоги голосования 																											
																											
		Сумма	УИК №364	УИК №365	УИК №366	УИК №367	УИК №368	УИК №369	УИК №370	УИК №371	УИК №372	УИК №373	УИК №374	УИК №375	УИК №376	УИК №377	УИК №378	УИК №379	УИК №380	УИК №381	УИК №382	УИК №383					
1	"Число избирателей, внесенных в список"	19707	1147	864	1337	751	382	1685	993	700	1364	1265	2203	2331	2106	775	326	936	185	258	53	46					
2	Число полученных избирательных бюллетеней	19675	1150	865	1340	760	400	1730	930	695	1380	1220	2200	2305	2130	755	340	930	185	260	54	46					
3	"Число избирательных бюллетеней, выданных  досрочно"	95	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	39	38	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	10061	592	515	749	389	249	868	431	375	584	571	1056	1144	960	485	253	461	120	176	40	43					
5	"Число избирательных бюллетеней, выданных вне помещения"	738	25	24	74	50	10	26	49	50	67	56	53	50	58	50	13	49	10	11	13	0					
6	Число погашенных избирательных бюллетеней	8781	533	326	517	321	141	836	450	270	729	593	1091	1111	1112	220	74	402	16	35	1	3					
7	Число избирательных бюллетеней в переносных ящиках	833	25	24	74	50	10	26	49	50	67	56	53	50	58	50	13	67	49	49	13	0					
8	Число бюллетеней в стационарных ящиках для голосования	10061	592	515	749	389	249	868	431	375	584	571	1056	1144	960	485	253	461	120	176	40	43					
9	Число недействительных избирательных бюллетеней	110	4	2	8	8	0	13	8	2	5	4	11	12	11	10	4	3	0	4	1	0					
10	Число действительных избирательных бюллетеней	10784	613	537	815	431	259	881	472	423	646	623	1098	1182	1007	525	262	525	169	221	52	43					
11	Число полученных открепительных  удостоверений	270	15	15	15	15	10	15	15	10	20	20	20	20	20	10	10	10	10	10	5	5					
12	Число выданных открепительных удостоверений	60	3	2	3	1	3	3	5	0	2	3	11	17	2	2	1	1	0	1	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	119	2	1	8	2	1	0	30	4	1	3	11	6	6	38	2	0	2	0	2	0					
14	Число неиспользованных открепительных удостоверений	210	12	13	12	14	7	12	10	10	18	17	9	3	18	8	9	9	10	9	5	5					
15	"Число открепительных удостоверений, выданных в ТИК"	4	0	0	0	0	0	0	0	0	0	0	3	0	1	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																											
18	. Глазьев Сергей Юрьевич	444	17	29	33	25	8	31	18	13	39	20	45	51	58	23	4	7	6	0	2	15					
		4.08%	2.76%	5.38%	4.01%	5.69%	3.09%	3.47%	3.75%	3.06%	5.99%	3.19%	4.06%	4.27%	5.70%	4.30%	1.50%	1.33%	3.55%	0.00%	3.77%	34.88%					
19	. Малышкин Олег Александрович	418	19	27	46	17	7	24	12	23	26	28	30	54	47	18	12	20	5	1	0	2					
		3.84%	3.08%	5.01%	5.59%	3.87%	2.70%	2.68%	2.50%	5.41%	3.99%	4.47%	2.71%	4.52%	4.62%	3.36%	4.51%	3.79%	2.96%	0.44%	0.00%	4.65%					
20	. Миронов Сергей Михайлович	119	7	8	11	4	5	4	6	4	3	5	19	5	14	7	3	4	2	5	3	0					
		1.09%	1.13%	1.48%	1.34%	0.91%	1.93%	0.45%	1.25%	0.94%	0.46%	0.80%	1.71%	0.42%	1.38%	1.31%	1.13%	0.76%	1.18%	2.22%	5.66%	0.00%					
21	. Путин Владимир Владимирович	7024	377	341	429	233	186	543	284	265	435	414	708	789	676	397	228	353	133	180	33	20					
		64.48%	61.10%	63.27%	52.13%	53.08%	71.81%	60.74%	59.17%	62.35%	66.82%	66.03%	63.84%	66.08%	66.40%	74.21%	85.71%	66.86%	78.70%	80.00%	62.26%	46.51%					
22	. Хакамада Ирина Муцуовна	243	24	16	21	10	7	10	14	4	20	14	17	30	22	5	3	15	5	4	2	0					
		2.23%	3.89%	2.97%	2.55%	2.28%	2.70%	1.12%	2.92%	0.94%	3.07%	2.23%	1.53%	2.51%	2.16%	0.93%	1.13%	2.84%	2.96%	1.78%	3.77%	0.00%					
23	. Харитонов Николай Михайлович	2318	160	109	250	125	45	262	134	105	115	128	248	223	167	65	8	123	15	21	9	6					
		21.28%	25.93%	20.22%	30.38%	28.47%	17.37%	29.31%	27.92%	24.71%	17.67%	20.41%	22.36%	18.68%	16.40%	12.15%	3.01%	23.30%	8.88%	9.33%	16.98%	13.95%					
																											
24	Против всех	218	9	7	25	17	1	7	4	9	8	14	31	30	23	10	4	3	3	10	3	0					
		2.00%	1.46%	1.30%	3.04%	3.87%	0.39%	0.78%	0.83%	2.12%	1.23%	2.23%	2.80%	2.51%	2.26%	1.87%	1.50%	0.57%	1.78%	4.44%	5.66%	0.00%					
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
