Выборы Президента Российской Федерации																										
																										
Наименование Избирательной комиссии:    район Южное Медведково																										
																										
Итоги голосования 																										
																										
		Сумма	УИК №808	УИК №809	УИК №810	УИК №811	УИК №812	УИК №813	УИК №814	УИК №815	УИК №816	УИК №817	УИК №818	УИК №819	УИК №820	УИК №821	УИК №822	УИК №823	УИК №824	УИК №825	УИК №826					
1	"Число избирателей, внесенных в список"	48157	2777	2552	2738	2720	2820	2610	2663	2779	2498	1841	2605	2063	2298	2446	2437	2524	2191	2738	2857					
2	Число полученных избирательных бюллетеней	42250	2500	2300	2450	2400	2500	2300	2400	2400	2200	1600	2300	1700	2000	2000	2200	2200	1900	2400	2500					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	25037	1447	1333	1387	1341	1304	1450	1390	1418	1303	907	1282	1106	1233	1367	1383	1283	1153	1454	1496					
5	"Число избирательных бюллетеней, выданных вне помещения"	776	27	32	44	50	26	45	55	58	42	31	36	37	65	40	59	19	40	45	25					
6	Число погашенных избирательных бюллетеней	16437	1026	935	1019	1009	1170	805	955	924	855	662	982	557	702	593	758	898	707	901	979					
7	Число избирательных бюллетеней в переносных ящиках	776	27	32	44	50	26	45	55	58	42	31	36	37	65	40	59	19	40	45	25					
8	Число бюллетеней в стационарных ящиках для голосования	24922	1447	1333	1387	1340	1304	1445	1390	1418	1245	907	1278	1106	1233	1367	1383	1261	1153	1454	1471					
9	Число недействительных избирательных бюллетеней	269	0	15	11	12	14	15	0	13	10	6	13	12	4	23	83	6	18	14	0					
10	Число действительных избирательных бюллетеней	25429	1474	1350	1420	1378	1316	1475	1445	1463	1277	932	1301	1131	1294	1384	1359	1274	1175	1485	1496					
11	Число полученных открепительных  удостоверений	950	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50					
12	Число выданных открепительных удостоверений	552	22	27	37	20	37	33	36	30	27	27	25	21	32	32	35	22	21	33	35					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	287	11	15	17	16	6	23	7	22	15	8	8	10	21	12	16	15	9	22	34					
14	Число неиспользованных открепительных удостоверений	398	28	23	13	30	13	17	14	20	23	23	25	29	18	18	15	28	29	17	15					
15	"Число открепительных удостоверений, выданных в ТИК"	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																										
18	. Глазьев Сергей Юрьевич	1597	96	73	78	67	77	102	58	77	74	43	69	79	88	104	82	95	81	133	121					
		6.21%	6.51%	5.35%	5.45%	4.82%	5.79%	6.85%	4.01%	5.22%	5.75%	4.58%	5.25%	6.91%	6.78%	7.39%	5.69%	7.42%	6.79%	8.87%	8.09%					
19	. Малышкин Олег Александрович	326	22	18	14	17	19	25	11	11	15	9	27	21	19	17	19	13	16	19	14					
		1.27%	1.49%	1.32%	0.98%	1.22%	1.43%	1.68%	0.76%	0.75%	1.17%	0.96%	2.05%	1.84%	1.46%	1.21%	1.32%	1.02%	1.34%	1.27%	0.94%					
20	. Миронов Сергей Михайлович	207	12	8	17	8	10	10	16	9	11	10	10	12	4	15	6	7	16	14	12					
		0.81%	0.81%	0.59%	1.19%	0.58%	0.75%	0.67%	1.11%	0.61%	0.85%	1.07%	0.76%	1.05%	0.31%	1.07%	0.42%	0.55%	1.34%	0.93%	0.80%					
21	. Путин Владимир Владимирович	17742	989	993	1034	1012	933	1076	1088	1030	945	641	901	792	909	896	996	815	794	956	942					
		69.04%	67.10%	72.75%	72.26%	72.81%	70.15%	72.21%	75.29%	69.78%	73.43%	68.34%	68.57%	69.29%	70.03%	63.68%	69.07%	63.67%	66.55%	63.78%	62.97%					
22	. Хакамада Ирина Муцуовна	1914	152	71	103	93	88	75	92	120	72	79	91	76	107	102	93	127	121	136	116					
		7.45%	10.31%	5.20%	7.20%	6.69%	6.62%	5.03%	6.37%	8.13%	5.59%	8.42%	6.93%	6.65%	8.24%	7.25%	6.45%	9.92%	10.14%	9.07%	7.75%					
23	. Харитонов Николай Михайлович	2023	106	89	98	115	110	97	97	121	90	94	122	71	101	150	81	97	77	129	178					
		7.87%	7.19%	6.52%	6.85%	8.27%	8.27%	6.51%	6.71%	8.20%	6.99%	10.02%	9.28%	6.21%	7.78%	10.66%	5.62%	7.58%	6.45%	8.61%	11.90%					
																										
24	Против всех	1620	97	98	76	66	79	90	83	95	70	56	81	80	66	100	82	120	70	98	113					
		6.30%	6.58%	7.18%	5.31%	4.75%	5.94%	6.04%	5.74%	6.44%	5.44%	5.97%	6.16%	7.00%	5.08%	7.11%	5.69%	9.38%	5.87%	6.54%	7.55%					
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
