Выборы Президента Российской Федерации																														
																														
Наименование Избирательной комиссии:    Слободская городская																														
																														
Итоги голосования 																														
																														
		Сумма	УИК №1071	УИК №1072	УИК №1073	УИК №1074	УИК №1075	УИК №1076	УИК №1077	УИК №1078	УИК №1079	УИК №1080	УИК №1081	УИК №1082	УИК №1083	УИК №1084	УИК №1085	УИК №1086	УИК №1087	УИК №1088	УИК №1089	УИК №1090	УИК №1091	УИК №1092	УИК №1093					
1	"Число избирателей, внесенных в список"	30489	347	2029	1631	1262	1970	1706	1258	1226	1593	1608	1040	624	2294	538	1636	1777	2575	1969	105	1531	1629	74	67					
2	Число полученных избирательных бюллетеней	30870	340	2000	1600	1200	2000	1700	1300	1200	1700	1700	1000	700	2300	550	1600	1800	2600	2000	109	1600	1600	200	71					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	15462	119	1004	744	544	938	852	629	676	803	876	544	358	1323	203	666	947	1527	973	57	740	813	74	52					
5	"Число избирательных бюллетеней, выданных вне помещения"	760	46	21	94	13	27	23	24	24	23	32	15	19	28	37	47	39	44	99	13	42	50	0	0					
6	Число погашенных избирательных бюллетеней	14648	175	975	762	643	1035	825	647	500	874	792	441	323	949	310	887	814	1029	928	39	818	737	126	19					
7	Число избирательных бюллетеней в переносных ящиках	760	46	21	94	13	27	23	24	24	23	32	15	19	28	37	47	39	44	99	13	42	50	0	0					
8	Число бюллетеней в стационарных ящиках для голосования	15461	119	1004	744	544	937	852	629	676	803	876	544	358	1323	203	666	947	1527	973	57	740	813	74	52					
9	Число недействительных избирательных бюллетеней	153	1	8	9	6	8	5	4	4	9	9	7	2	16	3	4	9	14	7	0	14	14	0	0					
10	Число действительных избирательных бюллетеней	16068	164	1017	829	551	956	870	649	696	817	899	552	375	1335	237	709	977	1557	1065	70	768	849	74	52					
11	Число полученных открепительных  удостоверений	330	10	20	15	15	15	15	15	15	20	15	15	10	20	10	15	15	20	20	10	15	15	0	10					
12	Число выданных открепительных удостоверений	112	0	6	3	6	9	4	3	5	4	7	6	10	11	3	9	2	12	5	1	1	5	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	118	1	8	5	2	6	5	13	6	4	3	2	1	13	1	1	5	2	6	2	1	4	27	0					
14	Число неиспользованных открепительных удостоверений	218	10	14	12	9	6	11	12	10	16	8	9	0	9	7	6	13	8	15	9	14	10	0	10					
15	"Число открепительных удостоверений, выданных в ТИК"	15	0	2	0	1	0	0	1	2	1	2	1	0	0	0	1	0	0	1	1	1	1	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																														
18	. Глазьев Сергей Юрьевич	597	8	35	22	38	29	31	23	22	23	33	30	21	54	5	17	54	50	36	1	30	34	1	0					
		3.68%	4.85%	3.41%	2.63%	6.82%	3.01%	3.54%	3.52%	3.14%	2.78%	3.63%	5.37%	5.57%	4.00%	2.08%	2.38%	5.48%	3.18%	3.36%	1.43%	3.84%	3.94%	1.35%	0.00%					
19	. Малышкин Олег Александрович	447	11	25	20	25	20	23	15	15	19	25	13	14	33	8	30	27	42	23	1	24	29	2	3					
		2.76%	6.67%	2.44%	2.39%	4.49%	2.07%	2.63%	2.30%	2.14%	2.30%	2.75%	2.33%	3.71%	2.44%	3.33%	4.21%	2.74%	2.67%	2.15%	1.43%	3.07%	3.36%	2.70%	5.77%					
20	. Миронов Сергей Михайлович	131	4	10	3	5	8	10	6	6	5	10	6	3	15	1	5	2	12	6	0	7	7	0	0					
		0.81%	2.42%	0.98%	0.36%	0.90%	0.83%	1.14%	0.92%	0.86%	0.61%	1.10%	1.07%	0.80%	1.11%	0.42%	0.70%	0.20%	0.76%	0.56%	0.00%	0.90%	0.81%	0.00%	0.00%					
21	. Путин Владимир Владимирович	10733	109	677	546	343	649	595	393	463	535	585	349	256	892	187	500	604	1057	777	63	529	542	50	32					
		66.17%	66.06%	66.05%	65.16%	61.58%	67.32%	68.00%	60.18%	66.14%	64.77%	64.43%	62.43%	67.90%	66.03%	77.92%	70.13%	61.26%	67.28%	72.48%	90.00%	67.65%	62.80%	67.57%	61.54%					
22	. Хакамада Ирина Муцуовна	553	6	42	38	15	43	18	18	27	22	39	24	8	48	3	25	36	61	33	2	18	23	3	1					
		3.41%	3.64%	4.10%	4.53%	2.69%	4.46%	2.06%	2.76%	3.86%	2.66%	4.30%	4.29%	2.12%	3.55%	1.25%	3.51%	3.65%	3.88%	3.08%	2.86%	2.30%	2.67%	4.05%	1.92%					
23	. Харитонов Николай Михайлович	2995	23	197	167	108	179	163	166	135	176	169	107	49	241	27	105	213	278	148	3	133	180	14	14					
		18.46%	13.94%	19.22%	19.93%	19.39%	18.57%	18.63%	25.42%	19.29%	21.31%	18.61%	19.14%	13.00%	17.84%	11.25%	14.73%	21.60%	17.70%	13.81%	4.29%	17.01%	20.86%	18.92%	26.92%					
																														
24	Против всех	612	3	31	33	17	28	30	28	28	37	38	23	24	52	6	27	41	57	42	0	27	34	4	2					
		3.77%	1.82%	3.02%	3.94%	3.05%	2.90%	3.43%	4.29%	4.00%	4.48%	4.19%	4.11%	6.37%	3.85%	2.50%	3.79%	4.16%	3.63%	3.92%	0.00%	3.45%	3.94%	5.41%	3.85%					
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
