Выборы Президента Российской Федерации															
															
Наименование Избирательной комиссии:    Бородинская городская															
															
Итоги голосования 															
															
		Сумма	УИК №62	УИК №63	УИК №64	УИК №65	УИК №66	УИК №67	УИК №68	УИК №69					
1	"Число избирателей, внесенных в список"	16356	2401	2160	1943	2010	2130	1728	1894	2090					
2	Число полученных избирательных бюллетеней	16100	2300	2100	1900	2000	2100	1700	1900	2100					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	6724	1050	922	712	844	849	760	799	788					
5	"Число избирательных бюллетеней, выданных вне помещения"	267	16	15	24	33	72	8	53	46					
6	Число погашенных избирательных бюллетеней	9109	1234	1163	1164	1123	1179	932	1048	1266					
7	Число избирательных бюллетеней в переносных ящиках	267	16	15	24	33	72	8	53	46					
8	Число бюллетеней в стационарных ящиках для голосования	6723	1050	922	712	844	849	760	798	788					
9	Число недействительных избирательных бюллетеней	57	6	4	9	10	7	4	4	13					
10	Число действительных избирательных бюллетеней	6933	1060	933	727	867	914	764	847	821					
11	Число полученных открепительных  удостоверений	300	40	40	40	40	40	30	30	40					
12	Число выданных открепительных удостоверений	41	8	7	7	5	5	1	6	2					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	17	2	3	3	1	2	2	2	2					
14	Число неиспользованных открепительных удостоверений	259	32	33	33	35	35	29	24	38					
15	"Число открепительных удостоверений, выданных в ТИК"	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"															
18	. Глазьев Сергей Юрьевич	1640	234	242	147	227	199	201	205	185					
		23.46%	21.95%	25.83%	19.97%	25.88%	21.61%	26.17%	24.09%	22.18%					
19	. Малышкин Олег Александрович	222	32	46	24	28	26	25	11	30					
		3.18%	3.00%	4.91%	3.26%	3.19%	2.82%	3.26%	1.29%	3.60%					
20	. Миронов Сергей Михайлович	35	5	5	2	5	7	5	3	3					
		0.50%	0.47%	0.53%	0.27%	0.57%	0.76%	0.65%	0.35%	0.36%					
21	. Путин Владимир Владимирович	3173	529	420	375	416	398	321	362	352					
		45.39%	49.62%	44.82%	50.95%	47.43%	43.21%	41.80%	42.54%	42.21%					
22	. Хакамада Ирина Муцуовна	253	37	39	29	38	36	19	30	25					
		3.62%	3.47%	4.16%	3.94%	4.33%	3.91%	2.47%	3.53%	3.00%					
23	. Харитонов Николай Михайлович	1079	113	108	78	103	194	141	172	170					
		15.44%	10.60%	11.53%	10.60%	11.74%	21.06%	18.36%	20.21%	20.38%					
															
24	Против всех	531	110	73	72	50	54	52	64	56					
		7.60%	10.32%	7.79%	9.78%	5.70%	5.86%	6.77%	7.52%	6.71%					
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
