Выборы Президента Российской Федерации																		
																		
Наименование Избирательной комиссии:    Калганская																		
																		
Итоги голосования 																		
																		
		Сумма	УИК  545	УИК  546	УИК  547	УИК  548	УИК  549	УИК  550	УИК  551	УИК  552	УИК  553	УИК  554	УИК  555					
1	"Число избирателей, внесенных в список"	7015	505	224	660	861	2653	150	605	421	343	398	195					
2	Число полученных избирательных бюллетеней	7120	544	235	648	845	2678	157	620	427	350	410	206					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	3801	388	115	295	568	1096	117	374	263	172	284	129					
5	"Число избирательных бюллетеней, выданных вне помещения"	295	0	6	72	32	119	4	15	16	5	12	14					
6	Число погашенных избирательных бюллетеней	3024	156	114	281	245	1463	36	231	148	173	114	63					
7	Число избирательных бюллетеней в переносных ящиках	295	0	6	72	32	119	4	15	16	5	12	14					
8	Число бюллетеней в стационарных ящиках для голосования	3801	388	115	295	568	1096	117	374	263	172	284	129					
9	Число недействительных избирательных бюллетеней	97	13	3	6	22	11	1	4	26	2	5	4					
10	Число действительных избирательных бюллетеней	3999	375	118	361	578	1204	120	385	253	175	291	139					
11	Число полученных открепительных  удостоверений	100	9	7	9	9	23	6	9	9	6	6	7					
12	Число выданных открепительных удостоверений	19	0	0	2	1	11	0	3	0	1	0	1					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	13	1	0	0	3	4	2	0	1	0	2	0					
14	Число неиспользованных открепительных удостоверений	81	9	7	7	8	12	6	6	9	5	6	6					
15	"Число открепительных удостоверений, выданных в ТИК"	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																		
18	. Глазьев Сергей Юрьевич	93	4	5	10	17	36	4	6	0	1	6	4					
		2.27%	1.03%	4.13%	2.72%	2.83%	2.96%	3.31%	1.54%	0.00%	0.56%	2.03%	2.80%					
19	. Малышкин Олег Александрович	116	18	8	7	15	24	4	14	6	7	10	3					
		2.83%	4.64%	6.61%	1.91%	2.50%	1.98%	3.31%	3.60%	2.15%	3.95%	3.38%	2.10%					
20	. Миронов Сергей Михайлович	32	4	2	7	11	2	1	2	0	0	1	2					
		0.78%	1.03%	1.65%	1.91%	1.83%	0.16%	0.83%	0.51%	0.00%	0.00%	0.34%	1.40%					
21	. Путин Владимир Владимирович	2795	252	91	223	380	871	75	241	190	134	239	99					
		68.24%	64.95%	75.21%	60.76%	63.33%	71.69%	61.98%	61.95%	68.10%	75.71%	80.74%	69.23%					
22	. Хакамада Ирина Муцуовна	57	9	0	5	8	17	1	6	4	2	4	1					
		1.39%	2.32%	0.00%	1.36%	1.33%	1.40%	0.83%	1.54%	1.43%	1.13%	1.35%	0.70%					
23	. Харитонов Николай Михайлович	844	86	11	106	135	234	28	114	51	28	23	28					
		20.61%	22.16%	9.09%	28.88%	22.50%	19.26%	23.14%	29.31%	18.28%	15.82%	7.77%	19.58%					
																		
24	Против всех	62	2	1	3	12	20	7	2	2	3	8	2					
		1.51%	0.52%	0.83%	0.82%	2.00%	1.65%	5.79%	0.51%	0.72%	1.69%	2.70%	1.40%					
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
