Выборы Президента Российской Федерации																																																														
																																																														
Наименование Избирательной комиссии:    Камызякская																																																														
																																																														
Итоги голосования 																																																														
																																																														
		Сумма	УИК №166	УИК №167	УИК №168	УИК №169	УИК №170	УИК №171	УИК №172	УИК №173	УИК №174	УИК №175	УИК №176	УИК №177	УИК №178	УИК №179	УИК №180	УИК №181	УИК №182	УИК №183	УИК №184	УИК №185	УИК №186	УИК №187	УИК №188	УИК №189	УИК №190	УИК №191	УИК №192	УИК №193	УИК №194	УИК №195	УИК №196	УИК №197	УИК №198	УИК №199	УИК №200	УИК №201	УИК №202	УИК №203	УИК №204	УИК №205	УИК №206	УИК №207	УИК №208	УИК №209	УИК №210	УИК №211	УИК №212	УИК №213	УИК №214	УИК №215	УИК №216	УИК №217	УИК №218	УИК №219	УИК №220					
1	"Число избирателей, внесенных в список"	37540	990	1825	353	694	138	1025	356	528	1551	1227	1321	877	1036	781	790	1253	285	1838	616	976	285	764	690	180	109	267	1279	447	509	227	691	252	323	822	905	339	137	90	2185	331	209	813	1024	403	178	1052	113	164	1317	425	246	880	146	930	348					
2	Число полученных избирательных бюллетеней	37725	1013	1838	360	701	138	1033	351	528	1580	1243	1304	886	999	799	794	1281	289	1846	613	970	295	767	690	180	111	268	1279	446	513	228	689	245	327	824	905	342	139	90	2197	333	209	810	1029	409	180	1053	112	161	1318	431	249	890	146	936	358					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	19421	414	795	189	382	74	424	158	284	880	613	635	400	486	404	380	665	211	857	390	453	170	376	314	102	76	161	633	172	306	123	367	207	181	397	456	230	117	55	791	184	127	614	453	248	74	628	85	126	727	253	131	506	92	600	245					
5	"Число избирательных бюллетеней, выданных вне помещения"	2366	131	210	160	59	21	119	36	37	14	29	14	25	73	25	64	26	0	27	0	116	13	37	25	13	2	14	29	66	32	10	54	8	48	98	57	16	0	10	254	26	19	25	89	35	0	24	0	0	52	18	13	34	11	21	27					
6	Число погашенных избирательных бюллетеней	15938	468	833	11	260	43	490	157	207	686	601	655	461	440	370	350	590	78	962	223	401	112	354	351	65	33	93	617	208	175	95	268	30	98	329	392	96	22	25	1152	123	63	171	487	126	106	401	27	35	539	160	105	350	43	315	86					
7	Число избирательных бюллетеней в переносных ящиках	2366	131	210	160	59	21	119	36	37	14	29	14	25	73	25	64	26	0	27	0	116	13	37	25	13	2	14	29	66	32	10	54	8	48	98	57	16	0	10	254	26	19	25	89	35	0	24	0	0	52	18	13	34	11	21	27					
8	Число бюллетеней в стационарных ящиках для голосования	19420	414	795	189	382	74	424	158	284	880	612	635	400	486	404	380	665	211	857	390	453	170	376	314	102	76	161	633	172	306	123	367	207	181	397	456	230	117	55	791	184	127	614	453	248	74	628	85	126	727	253	131	506	92	600	245					
9	Число недействительных избирательных бюллетеней	237	2	9	2	8	7	10	4	1	18	4	7	2	10	2	2	5	2	8	4	5	0	5	5	0	4	4	9	2	2	6	5	0	0	12	5	8	0	0	14	4	0	4	6	0	2	0	0	0	7	2	6	5	0	8	0					
10	Число действительных избирательных бюллетеней	21549	543	996	347	433	88	533	190	320	876	637	642	423	549	427	442	686	209	876	386	564	183	408	334	115	74	171	653	236	336	127	416	215	229	483	508	238	117	65	1031	206	146	635	536	283	72	652	85	126	772	269	138	535	103	613	272					
11	Число полученных открепительных  удостоверений	460	12	18	4	8	4	12	4	6	18	12	12	10	12	10	10	14	4	20	8	12	4	8	8	4	4	4	14	6	6	6	8	4	4	10	12	4	2	2	22	4	4	10	12	6	4	12	4	4	14	6	4	10	4	12	8					
12	Число выданных открепительных удостоверений	117	4	6	0	1	0	10	0	2	12	6	2	4	0	1	5	10	1	5	0	0	0	2	2	0	0	1	7	1	0	0	2	0	2	1	4	0	2	0	5	0	0	0	2	1	0	1	0	0	0	0	4	7	0	4	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	155	1	10	0	3	1	1	1	3	5	5	3	3	5	1	3	5	1	5	5	5	0	0	3	0	1	3	8	3	0	0	4	10	5	1	4	1	2	1	5	3	3	2	6	1	0	8	0	1	6	0	0	3	1	3	1					
