Выборы Президента Российской Федерации																																	
																																	
Наименование Избирательной комиссии:    Боковская																																	
																																	
Итоги голосования 																																	
																																	
		Сумма	УИК №912	УИК №913	УИК №914	УИК №915	УИК №916	УИК №917	УИК №918	УИК №919	УИК №920	УИК №921	УИК №922	УИК №923	УИК №924	УИК №925	УИК №926	УИК №927	УИК №928	УИК №929	УИК №930	УИК №931	УИК №932	УИК №933	УИК №2593	УИК №2594	УИК №2595	УИК №2596					
1	"Число избирателей, внесенных в список"	12493	420	195	126	252	598	2114	2103	188	251	548	425	271	1282	182	148	275	401	162	208	820	519	422	140	149	187	107					
2	Число полученных избирательных бюллетеней	12668	432	198	126	257	598	2121	2151	192	249	550	423	274	1287	181	152	277	408	162	208	836	539	446	145	154	195	107					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	8360	342	148	104	162	469	1418	1361	72	160	283	285	181	870	115	107	112	210	97	147	662	326	245	122	103	172	87					
5	"Число избирательных бюллетеней, выданных вне помещения"	1443	23	25	2	68	22	121	62	79	31	135	63	46	79	39	33	101	100	45	47	91	92	96	11	17	3	12					
6	Число погашенных избирательных бюллетеней	2865	67	25	20	27	107	582	728	41	58	132	75	47	338	27	12	64	98	20	14	83	121	105	12	34	20	8					
7	Число избирательных бюллетеней в переносных ящиках	1443	23	25	2	68	22	121	62	79	31	135	63	46	79	39	33	101	100	45	47	91	92	96	11	17	3	12					
8	Число бюллетеней в стационарных ящиках для голосования	8360	342	148	104	162	469	1418	1361	72	160	283	285	181	870	115	107	112	210	97	147	662	326	245	122	103	172	87					
9	Число недействительных избирательных бюллетеней	317	2	0	1	0	2	7	103	1	0	15	2	2	106	1	0	1	3	0	0	44	2	7	15	3	0	0					
10	Число действительных избирательных бюллетеней	9486	363	173	105	230	489	1532	1320	150	191	403	346	225	843	153	140	212	307	142	194	709	416	334	118	117	175	99					
11	Число полученных открепительных  удостоверений	481	17	8	6	10	24	70	69	8	10	22	18	12	47	7	6	11	16	7	8	40	22	19	6	6	7	5					
12	Число выданных открепительных удостоверений	136	9	0	0	0	0	18	16	0	0	1	4	1	21	0	1	1	4	3	3	9	21	19	5	0	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	60	1	1	1	2	1	9	6	2	0	2	3	2	1	3	3	1	2	1	2	5	3	4	1	1	1	2					
14	Число неиспользованных открепительных удостоверений	345	8	8	6	10	24	52	53	8	10	21	14	11	26	7	5	10	12	4	5	31	1	0	1	6	7	5					
15	"Число открепительных удостоверений, выданных в ТИК"	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																	
18	. Глазьев Сергей Юрьевич	210	12	6	0	4	1	37	30	0	2	8	7	4	39	6	0	3	3	6	4	23	1	5	3	4	1	1					
		2.14%	3.29%	3.47%	0.00%	1.74%	0.20%	2.40%	2.11%	0.00%	1.05%	1.91%	2.01%	1.76%	4.11%	3.90%	0.00%	1.41%	0.97%	4.23%	2.06%	3.05%	0.24%	1.47%	2.26%	3.33%	0.57%	1.01%					
19	. Малышкин Олег Александрович	345	30	7	17	8	13	28	18	7	6	13	17	10	28	11	6	8	3	10	7	28	15	22	20	5	7	1					
		3.52%	8.22%	4.05%	16.04%	3.48%	2.65%	1.82%	1.26%	4.64%	3.14%	3.11%	4.89%	4.41%	2.95%	7.14%	4.29%	3.76%	0.97%	7.04%	3.61%	3.72%	3.59%	6.45%	15.04%	4.17%	4.00%	1.01%					
20	. Миронов Сергей Михайлович	88	0	0	0	0	4	10	10	0	5	8	3	3	6	0	1	3	14	1	0	9	5	4	2	0	0	0					
		0.90%	0.00%	0.00%	0.00%	0.00%	0.81%	0.65%	0.70%	0.00%	2.62%	1.91%	0.86%	1.32%	0.63%	0.00%	0.71%	1.41%	4.52%	0.70%	0.00%	1.20%	1.20%	1.17%	1.50%	0.00%	0.00%	0.00%					
21	. Путин Владимир Владимирович	7346	251	143	75	183	440	1260	1222	115	123	318	221	165	649	101	106	155	231	97	166	517	268	193	76	67	125	79					
		74.94%	68.77%	82.66%	70.75%	79.57%	89.61%	81.87%	85.87%	76.16%	64.40%	76.08%	63.51%	72.69%	68.39%	65.58%	75.71%	72.77%	74.52%	68.31%	85.57%	68.66%	64.11%	56.60%	57.14%	55.83%	71.43%	79.80%					
22	. Хакамада Ирина Муцуовна	112	5	0	0	4	5	20	12	0	2	1	3	3	19	0	2	7	3	1	0	5	4	7	0	6	2	1					
		1.14%	1.37%	0.00%	0.00%	1.74%	1.02%	1.30%	0.84%	0.00%	1.05%	0.24%	0.86%	1.32%	2.00%	0.00%	1.43%	3.29%	0.97%	0.70%	0.00%	0.66%	0.96%	2.05%	0.00%	5.00%	1.14%	1.01%					
23	. Харитонов Николай Михайлович	1248	65	15	12	28	23	145	26	25	49	49	88	36	80	32	23	35	49	23	17	116	114	98	13	35	36	16					
		12.73%	17.81%	8.67%	11.32%	12.17%	4.68%	9.42%	1.83%	16.56%	25.65%	11.72%	25.29%	15.86%	8.43%	20.78%	16.43%	16.43%	15.81%	16.20%	8.76%	15.41%	27.27%	28.74%	9.77%	29.17%	20.57%	16.16%					
																																	
24	Против всех	137	0	2	1	3	3	32	2	3	4	6	7	4	22	3	2	1	4	4	0	11	9	5	4	0	4	1					
		1.40%	0.00%	1.16%	0.94%	1.30%	0.61%	2.08%	0.14%	1.99%	2.09%	1.44%	2.01%	1.76%	2.32%	1.95%	1.43%	0.47%	1.29%	2.82%	0.00%	1.46%	2.15%	1.47%	3.01%	0.00%	2.29%	1.01%					
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
