Выборы Президента Российской Федерации																																																			
																																																			
Наименование Избирательной комиссии:    Брянская																																																			
																																																			
Итоги голосования 																																																			
																																																			
		Сумма	УИК №200	УИК №201	УИК №202	УИК №203	УИК №204	УИК №205	УИК №206	УИК №207	УИК №208	УИК №209	УИК №210	УИК №211	УИК №212	УИК №213	УИК №214	УИК №215	УИК №216	УИК №217	УИК №218	УИК №219	УИК №220	УИК №221	УИК №222	УИК №223	УИК №224	УИК №225	УИК №226	УИК №227	УИК №228	УИК №229	УИК №230	УИК №231	УИК №232	УИК №233	УИК №234	УИК №235	УИК №236	УИК №237	УИК №238	УИК №239	УИК №240	УИК №241	УИК №242	УИК №243					
		0.74%	0.44%	1.07%	0.00%	1.23%	0.41%	1.82%	0.45%	1.78%	0.00%	0.95%	1.05%	0.81%	1.48%	0.44%	0.76%	0.38%	0.52%	0.00%	0.77%	0.81%	0.71%	0.00%	1.19%	1.47%	0.83%	0.36%	0.44%	0.25%	0.54%	0.25%	0.91%	0.18%	1.02%	1.46%	0.66%	0.26%	1.48%	0.92%	1.36%	0.81%	1.48%	0.83%	2.21%	0.00%					
21	. Путин Владимир Владимирович	18813	655	431	261	121	1019	329	354	470	229	378	139	657	205	120	649	407	137	152	1218	431	763	141	234	184	227	881	534	301	757	886	870	365	584	292	430	288	297	153	120	706	862	182	83	311					
		69.59%	72.30%	76.69%	70.35%	74.69%	70.23%	74.77%	80.09%	69.53%	80.63%	72.00%	72.77%	66.90%	75.93%	53.33%	70.47%	76.79%	71.35%	69.72%	71.94%	70.08%	59.94%	64.68%	69.64%	67.40%	62.53%	63.79%	59.20%	73.77%	68.14%	72.62%	72.02%	67.10%	74.68%	70.87%	70.61%	73.85%	73.15%	70.18%	81.63%	71.31%	63.85%	75.83%	61.03%	67.61%					
22	. Хакамада Ирина Муцуовна	535	16	10	11	1	38	4	5	4	2	5	1	18	2	2	21	7	2	3	42	21	42	4	9	2	5	25	11	5	39	26	24	11	18	8	12	6	4	5	1	27	31	2	0	3					
		1.98%	1.77%	1.78%	2.96%	0.62%	2.62%	0.91%	1.13%	0.59%	0.70%	0.95%	0.52%	1.83%	0.74%	0.89%	2.28%	1.32%	1.04%	1.38%	2.48%	3.41%	3.30%	1.83%	2.68%	0.73%	1.38%	1.81%	1.22%	1.23%	3.51%	2.13%	1.99%	2.02%	2.30%	1.94%	1.97%	1.54%	0.99%	2.29%	0.68%	2.73%	2.30%	0.83%	0.00%	0.65%					
23	. Харитонов Николай Михайлович	4768	147	69	76	27	274	79	56	126	46	86	44	199	37	89	152	77	37	47	221	92	280	38	60	58	87	298	268	70	195	168	176	112	114	64	106	62	72	40	13	130	190	27	44	115					
		17.64%	16.23%	12.28%	20.49%	16.67%	18.88%	17.95%	12.67%	18.64%	16.20%	16.38%	23.04%	20.26%	13.70%	39.56%	16.50%	14.53%	19.27%	21.56%	13.05%	14.96%	22.00%	17.43%	17.86%	21.25%	23.97%	21.58%	29.71%	17.16%	17.55%	13.77%	14.57%	20.59%	14.58%	15.53%	17.41%	15.90%	17.73%	18.35%	8.84%	13.13%	14.07%	11.25%	32.35%	25.00%					
																																																			
24	Против всех	882	33	14	7	3	31	7	9	10	0	10	0	38	4	0	26	14	8	5	66	23	65	11	9	6	13	49	30	3	26	38	26	9	16	9	24	12	7	5	3	42	157	5	0	9					
		3.26%	3.64%	2.49%	1.89%	1.85%	2.14%	1.59%	2.04%	1.48%	0.00%	1.90%	0.00%	3.87%	1.48%	0.00%	2.82%	2.64%	4.17%	2.29%	3.90%	3.74%	5.11%	5.05%	2.68%	2.20%	3.58%	3.55%	3.33%	0.74%	2.34%	3.11%	2.15%	1.65%	2.05%	2.18%	3.94%	3.08%	1.72%	2.29%	2.04%	4.24%	11.63%	2.08%	0.00%	1.96%					
