Выборы Президента Российской Федерации																														
																														
Наименование Избирательной комиссии:    район Восточное Измайлово 																														
																														
Итоги голосования 																														
																														
		Сумма	УИК №910	УИК №911	УИК №912	УИК №913	УИК №914	УИК №915	УИК №916	УИК №917	УИК №918	УИК №919	УИК №920	УИК №921	УИК №922	УИК №923	УИК №924	УИК №925	УИК №926	УИК №927	УИК №928	УИК №929	УИК №3081	УИК №3082	УИК №3083					
1	"Число избирателей, внесенных в список"	45412	2338	2306	2173	2237	2286	2195	2029	2261	2202	2390	2163	1622	2195	1910	1893	2664	2339	2495	2230	2289	515	371	309					
2	Число полученных избирательных бюллетеней	43300	2200	2200	2000	2100	2200	2100	1900	2100	2100	2200	2000	1500	2000	1800	1800	2500	2200	2300	2100	2100	1000	400	500					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	24956	1217	1234	1183	1138	1218	1151	1006	1153	1242	1390	1100	892	1153	1043	1089	1540	1180	1490	1187	1162	508	371	309					
5	"Число избирательных бюллетеней, выданных вне помещения"	939	38	50	33	69	82	75	53	42	37	20	57	19	29	18	45	63	67	49	69	24	0	0	0					
6	Число погашенных избирательных бюллетеней	17405	945	916	784	893	900	874	841	905	821	790	843	589	818	739	666	897	953	761	844	914	492	29	191					
7	Число избирательных бюллетеней в переносных ящиках	939	38	50	33	69	82	75	53	42	37	20	57	19	29	18	45	63	67	49	69	24	0	0	0					
8	Число бюллетеней в стационарных ящиках для голосования	24838	1217	1225	1183	1134	1215	1151	1006	1150	1237	1380	1043	892	1141	1037	1088	1532	1180	1490	1187	1162	508	371	309					
9	Число недействительных избирательных бюллетеней	193	11	18	14	10	16	5	6	5	12	9	3	8	10	9	6	9	6	7	5	7	4	13	0					
10	Число действительных избирательных бюллетеней	25584	1244	1257	1202	1193	1281	1221	1053	1187	1262	1391	1097	903	1160	1046	1127	1586	1241	1532	1251	1179	504	358	309					
11	Число полученных открепительных  удостоверений	1250	65	65	60	60	65	65	90	60	60	60	55	45	55	55	55	60	75	70	65	65	0	0	0					
12	Число выданных открепительных удостоверений	753	34	41	19	31	35	35	54	34	38	28	42	23	37	34	33	39	70	36	37	53	0	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	606	18	53	20	16	16	28	34	20	19	24	23	11	39	18	16	42	49	23	12	20	63	18	24					
14	Число неиспользованных открепительных удостоверений	497	31	24	41	29	30	30	36	26	22	32	13	22	18	21	22	21	5	34	28	12	0	0	0					
15	"Число открепительных удостоверений, выданных в ТИК"	13	0	0	0	2	1	1	0	0	0	0	1	1	1	0	1	1	1	2	0	1	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																														
18	. Глазьев Сергей Юрьевич	1773	50	77	82	83	90	84	79	97	85	88	72	47	87	74	65	112	102	138	105	93	31	4	28					
		6.88%	3.98%	6.04%	6.74%	6.90%	6.94%	6.85%	7.46%	8.14%	6.67%	6.29%	6.55%	5.16%	7.44%	7.01%	5.74%	7.02%	8.18%	8.97%	8.36%	7.84%	6.10%	1.08%	9.06%					
19	. Малышкин Олег Александрович	312	20	17	16	8	15	11	13	19	14	19	16	21	15	9	8	24	16	16	14	12	5	2	2					
		1.21%	1.59%	1.33%	1.32%	0.67%	1.16%	0.90%	1.23%	1.59%	1.10%	1.36%	1.45%	2.31%	1.28%	0.85%	0.71%	1.50%	1.28%	1.04%	1.11%	1.01%	0.98%	0.54%	0.65%					
20	. Миронов Сергей Михайлович	141	8	5	4	6	10	4	5	6	9	10	12	7	4	7	4	8	8	4	7	4	1	7	1					
		0.55%	0.64%	0.39%	0.33%	0.50%	0.77%	0.33%	0.47%	0.50%	0.71%	0.71%	1.09%	0.77%	0.34%	0.66%	0.35%	0.50%	0.64%	0.26%	0.56%	0.34%	0.20%	1.89%	0.32%					
21	. Путин Владимир Владимирович	17492	879	884	863	803	880	832	695	784	859	924	720	622	819	697	815	1096	801	982	803	833	388	308	205					
		67.86%	70.04%	69.33%	70.97%	66.75%	67.85%	67.86%	65.63%	65.77%	67.43%	66.00%	65.45%	68.28%	70.00%	66.07%	71.93%	68.71%	64.23%	63.81%	63.93%	70.24%	76.38%	83.02%	66.34%					
22	. Хакамада Ирина Муцуовна	2113	92	91	93	96	85	98	102	92	106	173	117	72	82	94	75	124	118	148	139	73	19	6	18					
		8.20%	7.33%	7.14%	7.65%	7.98%	6.55%	7.99%	9.63%	7.72%	8.32%	12.36%	10.64%	7.90%	7.01%	8.91%	6.62%	7.77%	9.46%	9.62%	11.07%	6.16%	3.74%	1.62%	5.83%					
23	. Харитонов Николай Михайлович	2060	104	108	73	126	117	116	73	108	102	65	75	63	91	93	106	119	104	132	86	100	42	23	34					
		7.99%	8.29%	8.47%	6.00%	10.47%	9.02%	9.46%	6.89%	9.06%	8.01%	4.64%	6.82%	6.92%	7.78%	8.82%	9.36%	7.46%	8.34%	8.58%	6.85%	8.43%	8.27%	6.20%	11.00%					
																														
24	Против всех	1693	91	75	71	71	84	76	86	81	87	112	85	71	62	72	54	103	92	112	97	64	18	8	21					
		6.57%	7.25%	5.88%	5.84%	5.90%	6.48%	6.20%	8.12%	6.80%	6.83%	8.00%	7.73%	7.79%	5.30%	6.82%	4.77%	6.46%	7.38%	7.28%	7.72%	5.40%	3.54%	2.16%	6.80%					
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
