Выборы Президента Российской Федерации																								
																								
Наименование Избирательной комиссии:    Гайская городская																								
																								
Итоги голосования 																								
																								
		Сумма	УИК №417	УИК №418	УИК №419	УИК №420	УИК №421	УИК №422	УИК №423	УИК №424	УИК №425	УИК №426	УИК №427	УИК №428	УИК №429	УИК №1817	УИК №1818	УИК №1819	УИК №1820					
1	"Число избирателей, внесенных в список"	32983	2393	2261	2223	2076	1533	2098	2410	1796	2967	2269	1396	2505	501	1576	1496	1933	1550					
2	Число полученных избирательных бюллетеней	32947	2400	2250	2250	2100	1430	2110	2400	1800	3000	2250	1400	2510	497	1500	1500	2000	1550					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	17555	1195	1096	1204	1061	693	1202	1404	1135	1634	1281	734	1097	264	818	880	1053	804					
5	"Число избирательных бюллетеней, выданных вне помещения"	571	44	59	62	32	120	40	29	10	25	55	21	12	5	28	10	10	9					
6	Число погашенных избирательных бюллетеней	14821	1161	1095	984	1007	617	868	967	655	1341	914	645	1401	228	654	610	937	737					
7	Число избирательных бюллетеней в переносных ящиках	571	44	59	62	32	120	40	29	10	25	55	21	12	5	28	10	10	9					
8	Число бюллетеней в стационарных ящиках для голосования	17543	1195	1096	1204	1061	693	1202	1397	1135	1631	1281	734	1097	264	818	880	1051	804					
9	Число недействительных избирательных бюллетеней	107	12	13	12	0	5	6	7	9	9	11	3	2	5	2	4	6	1					
10	Число действительных избирательных бюллетеней	18007	1227	1142	1254	1093	808	1236	1419	1136	1647	1325	752	1107	264	844	886	1055	812					
11	Число полученных открепительных  удостоверений	495	30	30	30	30	30	30	30	30	30	30	30	30	15	30	30	30	30					
12	Число выданных открепительных удостоверений	147	7	9	7	6	3	7	9	13	18	11	6	20	0	5	7	5	14					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	38	2	4	0	1	2	3	10	2	1	2	2	1	0	1	3	1	3					
14	Число неиспользованных открепительных удостоверений	348	23	21	23	24	27	23	21	17	12	19	24	10	15	25	23	25	16					
15	"Число открепительных удостоверений, выданных в ТИК"	5	1	0	0	0	0	2	0	0	0	0	0	1	0	1	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																								
18	. Глазьев Сергей Юрьевич	1085	50	53	67	51	51	85	93	67	109	86	65	76	3	44	70	60	55					
		5.99%	4.04%	4.59%	5.29%	4.67%	6.27%	6.84%	6.52%	5.85%	6.58%	6.44%	8.61%	6.85%	1.12%	5.20%	7.87%	5.66%	6.77%					
19	. Малышкин Олег Александрович	782	58	52	58	43	41	40	50	51	66	49	28	51	10	44	48	47	46					
		4.32%	4.68%	4.50%	4.58%	3.93%	5.04%	3.22%	3.51%	4.45%	3.99%	3.67%	3.71%	4.60%	3.72%	5.20%	5.39%	4.43%	5.66%					
20	. Миронов Сергей Михайлович	187	27	11	9	8	5	14	15	14	16	18	4	8	8	11	3	6	10					
		1.03%	2.18%	0.95%	0.71%	0.73%	0.62%	1.13%	1.05%	1.22%	0.97%	1.35%	0.53%	0.72%	2.97%	1.30%	0.34%	0.57%	1.23%					
21	. Путин Владимир Владимирович	10272	674	643	766	647	447	682	805	696	890	754	449	636	128	437	511	618	489					
		56.71%	54.40%	55.67%	60.51%	59.19%	54.98%	54.91%	56.45%	60.79%	53.74%	56.44%	59.47%	57.35%	47.58%	51.65%	57.42%	58.25%	60.15%					
22	. Хакамада Ирина Муцуовна	530	42	22	21	30	24	35	27	41	62	41	19	39	8	14	37	48	20					
		2.93%	3.39%	1.90%	1.66%	2.74%	2.95%	2.82%	1.89%	3.58%	3.74%	3.07%	2.52%	3.52%	2.97%	1.65%	4.16%	4.52%	2.46%					
23	. Харитонов Николай Михайлович	4153	334	293	281	276	208	316	346	194	389	312	140	225	96	258	164	196	125					
		22.93%	26.96%	25.37%	22.20%	25.25%	25.58%	25.44%	24.26%	16.94%	23.49%	23.35%	18.54%	20.29%	35.69%	30.50%	18.43%	18.47%	15.38%					
																								
24	Против всех	998	42	68	52	38	32	64	83	73	115	65	47	72	11	36	53	80	67					
		5.51%	3.39%	5.89%	4.11%	3.48%	3.94%	5.15%	5.82%	6.38%	6.94%	4.87%	6.23%	6.49%	4.09%	4.26%	5.96%	7.54%	8.24%					
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
