Выборы Президента Российской Федерации																														
																														
Наименование Избирательной комиссии:    Ельниковская																														
																														
Итоги голосования 																														
																														
		Сумма	УИК №185	УИК №186	УИК №187	УИК №188	УИК №189	УИК №190	УИК №191	УИК №192	УИК №193	УИК №194	УИК №195	УИК №196	УИК №197	УИК №198	УИК №199	УИК №200	УИК №201	УИК №202	УИК №203	УИК №204	УИК №205	УИК №206	УИК №207					
1	"Число избирателей, внесенных в список"	10043	1393	1555	1414	464	295	167	325	287	362	285	237	235	137	378	150	229	287	203	304	321	330	369	316					
2	Число полученных избирательных бюллетеней	10115	1399	1545	1423	464	296	168	329	289	369	286	237	239	137	395	154	231	289	205	303	331	337	371	318					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	9032	1356	1456	1293	409	295	167	262	233	319	263	216	142	118	236	150	194	259	189	256	310	324	369	216					
5	"Число избирательных бюллетеней, выданных вне помещения"	901	23	53	78	54	0	0	62	53	42	22	21	92	19	142	0	34	28	14	47	11	6	0	100					
6	Число погашенных избирательных бюллетеней	182	20	36	52	1	1	1	5	3	8	1	0	5	0	17	4	3	2	2	0	10	7	2	2					
7	Число избирательных бюллетеней в переносных ящиках	901	23	53	78	54	0	0	62	53	42	22	21	92	19	142	0	34	28	14	47	11	6	0	100					
8	Число бюллетеней в стационарных ящиках для голосования	9031	1356	1456	1292	409	295	167	262	233	319	263	216	142	118	236	150	194	259	189	256	310	324	369	216					
9	Число недействительных избирательных бюллетеней	89	4	5	39	1	7	0	0	1	0	0	0	1	0	26	1	3	0	1	0	0	0	0	0					
10	Число действительных избирательных бюллетеней	9843	1375	1504	1331	462	288	167	324	285	361	285	237	233	137	352	149	225	287	202	303	321	330	369	316					
11	Число полученных открепительных  удостоверений	196	19	15	15	7	7	7	7	7	7	7	7	7	7	14	7	7	7	7	7	7	7	7	7					
12	Число выданных открепительных удостоверений	94	19	14	13	0	4	0	2	0	7	0	0	2	0	14	2	1	2	0	0	7	7	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	46	13	17	6	2	0	0	1	0	1	1	0	0	0	1	0	0	0	0	1	1	1	1	0					
14	Число неиспользованных открепительных удостоверений	102	0	1	2	7	3	7	5	7	0	7	7	5	7	0	5	6	5	7	7	0	0	7	7					
