Выборы Президента Российской Федерации																											
																											
Наименование Избирательной комиссии:    Могочинская																											
																											
Итоги голосования 																											
																											
		Сумма	УИК  587	УИК  588	УИК  589	УИК  590	УИК  591	УИК  592	УИК  593	УИК  594	УИК  595	УИК  596	УИК  597	УИК  598	УИК  599	УИК  600	УИК  601	УИК  602	УИК  603	УИК  604	УИК  605	УИК  606					
1	"Число избирателей, внесенных в список"	19029	1170	456	1026	704	809	2049	2351	1064	1780	119	808	212	1136	704	416	314	320	951	1447	1193					
2	Число полученных избирательных бюллетеней	19114	1160	450	1050	720	830	2080	2309	1065	1600	140	830	240	1200	720	430	330	330	930	1500	1200					
3	"Число избирательных бюллетеней, выданных  досрочно"	178	0	0	0	0	0	0	0	0	178	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	8701	492	125	343	205	328	864	882	386	731	111	430	119	539	486	253	198	233	490	728	758					
5	"Число избирательных бюллетеней, выданных вне помещения"	384	24	28	14	25	24	24	22	2	28	0	44	6	41	6	27	23	8	11	12	15					
6	Число погашенных избирательных бюллетеней	9851	644	297	693	490	478	1192	1405	677	663	29	356	115	620	228	150	109	89	429	760	427					
7	Число избирательных бюллетеней в переносных ящиках	562	24	28	14	25	24	24	22	2	206	0	44	6	41	6	27	23	8	11	12	15					
8	Число бюллетеней в стационарных ящиках для голосования	8699	492	125	343	205	328	862	882	386	731	111	430	119	539	486	253	198	233	490	728	758					
9	Число недействительных избирательных бюллетеней	111	9	1	2	1	1	6	9	1	15	1	12	5	8	6	5	2	0	5	6	16					
10	Число действительных избирательных бюллетеней	9150	507	152	355	229	351	880	895	387	922	110	462	120	572	486	275	219	241	496	734	757					
11	Число полученных открепительных  удостоверений	347	12	10	10	10	18	35	35	18	35	8	18	18	18	18	18	10	10	18	18	10					
12	Число выданных открепительных удостоверений	80	5	1	5	1	3	15	12	7	2	0	4	0	2	2	3	1	0	5	7	5					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	55	1	0	2	2	4	4	10	5	9	1	1	0	0	2	3	0	2	1	1	7					
14	Число неиспользованных открепительных удостоверений	267	7	9	5	9	15	20	23	11	33	8	14	18	16	16	15	9	10	13	11	5					
15	"Число открепительных удостоверений, выданных в ТИК"	3	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																											
18	. Глазьев Сергей Юрьевич	224	16	2	12	3	7	28	29	8	22	0	18	0	13	3	7	0	4	21	8	23					
		2.42%	3.10%	1.31%	3.36%	1.30%	1.99%	3.16%	3.21%	2.06%	2.35%	0.00%	3.80%	0.00%	2.24%	0.61%	2.50%	0.00%	1.66%	4.19%	1.08%	2.98%					
19	. Малышкин Олег Александрович	283	15	10	9	10	12	22	25	17	25	9	20	7	26	12	15	11	10	9	11	8					
		3.06%	2.91%	6.54%	2.52%	4.35%	3.41%	2.48%	2.77%	4.38%	2.67%	8.11%	4.22%	5.60%	4.48%	2.44%	5.36%	4.98%	4.15%	1.80%	1.49%	1.03%					
20	. Миронов Сергей Михайлович	100	6	1	4	0	3	14	9	1	5	0	7	0	11	9	0	0	2	6	15	7					
		1.08%	1.16%	0.65%	1.12%	0.00%	0.85%	1.58%	1.00%	0.26%	0.53%	0.00%	1.48%	0.00%	1.90%	1.83%	0.00%	0.00%	0.83%	1.20%	2.03%	0.91%					
21	. Путин Владимир Владимирович	7052	374	112	277	175	275	655	675	327	746	98	309	87	366	402	217	185	196	386	563	627					
		76.15%	72.48%	73.20%	77.59%	76.09%	78.12%	73.93%	74.67%	84.28%	79.62%	88.29%	65.19%	69.60%	63.10%	81.71%	77.50%	83.71%	81.33%	77.05%	76.08%	81.11%					
22	. Хакамада Ирина Муцуовна	184	21	9	4	9	9	24	27	7	14	0	4	2	7	3	3	3	6	7	19	6					
		1.99%	4.07%	5.88%	1.12%	3.91%	2.56%	2.71%	2.99%	1.80%	1.49%	0.00%	0.84%	1.60%	1.21%	0.61%	1.07%	1.36%	2.49%	1.40%	2.57%	0.78%					
23	. Харитонов Николай Михайлович	1146	64	17	44	30	40	122	104	20	88	2	96	23	141	50	29	14	15	60	105	82					
		12.37%	12.40%	11.11%	12.32%	13.04%	11.36%	13.77%	11.50%	5.15%	9.39%	1.80%	20.25%	18.40%	24.31%	10.16%	10.36%	6.33%	6.22%	11.98%	14.19%	10.61%					
																											
24	Против всех	161	11	1	5	2	5	15	26	7	22	1	8	1	8	7	4	6	8	7	13	4					
		1.74%	2.13%	0.65%	1.40%	0.87%	1.42%	1.69%	2.88%	1.80%	2.35%	0.90%	1.69%	0.80%	1.38%	1.42%	1.43%	2.71%	3.32%	1.40%	1.76%	0.52%					
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
