Выборы Президента Российской Федерации																																																											
																																																											
Наименование Избирательной комиссии:    Левашинская																																																											
																																																											
Итоги голосования 																																																											
																																																											
		Сумма	УИК №835	УИК №836	УИК №837	УИК №838	УИК №839	УИК №840	УИК №841	УИК №842	УИК №843	УИК №844	УИК №845	УИК №846	УИК №847	УИК №848	УИК №849	УИК №850	УИК №851	УИК №852	УИК №853	УИК №854	УИК №855	УИК №856	УИК №857	УИК №858	УИК №859	УИК №860	УИК №861	УИК №862	УИК №863	УИК №864	УИК №865	УИК №866	УИК №867	УИК №868	УИК №869	УИК №870	УИК №871	УИК №872	УИК №873	УИК №874	УИК №875	УИК №876	УИК №877	УИК №878	УИК №879	УИК №880	УИК №881	УИК №882	УИК №883	УИК №884	УИК №885	УИК №886					
1	"Число избирателей, внесенных в список"	37904	634	1251	1189	1570	139	491	746	984	1120	1537	2008	1088	355	499	264	121	912	670	442	158	1193	524	1557	1340	795	646	1478	255	905	521	892	521	498	99	1020	1021	1415	828	410	1046	584	80	646	252	203	715	407	245	401	524	404	301					
2	Число полученных избирательных бюллетеней	37300	630	1250	1180	1570	140	490	740	980	1100	1500	2000	1080	350	500	250	120	900	650	440	150	1150	500	1500	1300	780	640	1460	250	900	500	890	520	500	100	1000	1000	1400	800	400	1020	550	80	640	250	200	700	400	240	390	520	400	300					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	34698	625	1155	1104	1480	120	446	603	944	1019	1347	1966	1010	300	480	242	110	852	546	425	130	1109	470	1457	1285	771	627	1320	220	860	450	814	484	490	87	910	940	1200	760	360	952	527	80	535	240	185	686	343	229	323	480	340	260					
5	"Число избирательных бюллетеней, выданных вне помещения"	1076	0	0	47	70	0	5	50	0	30	91	13	50	0	10	6	5	0	70	10	15	21	15	0	0	0	0	20	20	30	35	64	0	0	10	40	40	50	20	40	0	0	0	15	0	0	0	34	0	60	30	40	20					
6	Число погашенных избирательных бюллетеней	1526	5	95	29	20	20	39	87	36	51	62	21	20	50	10	2	5	48	34	5	5	20	15	43	15	9	13	120	10	10	15	12	36	10	3	50	20	150	20	0	68	23	0	90	10	15	14	23	11	7	10	20	20					
7	Число избирательных бюллетеней в переносных ящиках	1076	0	0	47	70	0	5	50	0	30	91	13	50	0	10	6	5	0	70	10	15	21	15	0	0	0	0	20	20	30	35	64	0	0	10	40	40	50	20	40	0	0	0	15	0	0	0	34	0	60	30	40	20					
8	Число бюллетеней в стационарных ящиках для голосования	34698	625	1155	1104	1480	120	446	603	944	1019	1347	1966	1010	300	480	242	110	852	546	425	130	1109	470	1457	1285	771	627	1320	220	860	450	814	484	490	87	910	940	1200	760	360	952	527	80	535	240	185	686	343	229	323	480	340	260					
9	Число недействительных избирательных бюллетеней	37	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	4	2	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	1	0	0	5	3	3	1	2	1	0	0	0	0					
10	Число действительных избирательных бюллетеней	35737	625	1155	1151	1550	120	449	653	944	1049	1438	1979	1060	300	490	248	115	848	614	435	145	1130	485	1457	1285	771	627	1340	240	890	485	865	484	490	97	950	980	1250	780	400	951	527	80	545	237	182	685	375	228	383	510	380	280					
