Выборы Президента Российской Федерации																															
																															
Наименование Избирательной комиссии:    Курчатовская																															
																															
Итоги голосования 																															
																															
		Сумма	УИК №652	УИК №653	УИК №654	УИК №655	УИК №656	УИК №657	УИК №658	УИК №659	УИК №660	УИК №661	УИК №662	УИК №663	УИК №664	УИК №665	УИК №666	УИК №667	УИК №668	УИК №669	УИК №670	УИК №671	УИК №672	УИК №673	УИК №674	УИК №675					
1	"Число избирателей, внесенных в список"	15582	1770	944	1306	1627	918	844	932	398	172	1802	179	328	213	434	213	239	288	313	179	587	420	485	612	379					
2	Число полученных избирательных бюллетеней	14180	1600	850	1170	1480	820	760	820	370	150	1650	160	300	200	400	200	220	260	290	170	550	380	450	570	360					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	7693	999	562	649	770	405	473	469	107	57	964	130	145	103	309	77	99	124	114	67	252	147	234	239	198					
5	"Число избирательных бюллетеней, выданных вне помещения"	1968	56	24	60	112	131	45	83	188	64	124	0	78	78	24	94	98	79	99	59	100	135	87	86	64					
6	Число погашенных избирательных бюллетеней	4519	545	264	461	598	284	242	268	75	29	562	30	77	19	67	29	23	57	77	44	198	98	129	245	98					
7	Число избирательных бюллетеней в переносных ящиках	1968	56	24	60	112	131	45	83	188	64	124	0	78	78	24	94	98	79	99	59	100	135	87	86	64					
8	Число бюллетеней в стационарных ящиках для голосования	7693	999	562	649	770	405	473	469	107	57	964	130	145	103	309	77	99	124	114	67	252	147	234	239	198					
9	Число недействительных избирательных бюллетеней	101	5	3	8	8	10	6	9	3	0	11	0	2	2	7	0	0	4	2	2	5	2	3	5	4					
10	Число действительных избирательных бюллетеней	9560	1050	583	701	874	526	512	543	292	121	1077	130	221	179	326	171	197	199	211	124	347	280	318	320	258					
11	Число полученных открепительных  удостоверений	120	10	9	9	10	10	5	5	3	3	10	3	3	3	5	3	3	3	3	3	5	3	3	3	3					
12	Число выданных открепительных удостоверений	47	5	6	6	5	1	4	2	3	1	8	0	0	0	1	0	0	0	2	0	0	0	1	1	1					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	95	5	6	3	3	0	4	41	0	7	1	1	2	2	3	1	3	0	3	0	2	3	1	2	2					
14	Число неиспользованных открепительных удостоверений	73	5	3	3	5	9	1	3	0	2	2	3	3	3	4	3	3	3	1	3	5	3	2	2	2					
15	"Число открепительных удостоверений, выданных в ТИК"	8	1	0	0	1	2	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	1	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																															
18	. Глазьев Сергей Юрьевич	233	21	16	26	21	20	16	16	3	2	32	1	7	1	6	2	1	2	7	0	17	3	6	2	5					
		2.41%	1.99%	2.73%	3.67%	2.38%	3.73%	3.09%	2.90%	1.02%	1.65%	2.94%	0.77%	3.14%	0.55%	1.80%	1.17%	0.51%	0.99%	3.29%	0.00%	4.83%	1.06%	1.87%	0.62%	1.91%					
19	. Малышкин Олег Александрович	258	31	11	18	20	17	28	17	9	2	25	9	2	0	10	0	0	7	11	1	5	5	17	5	8					
		2.67%	2.94%	1.88%	2.54%	2.27%	3.17%	5.41%	3.08%	3.05%	1.65%	2.30%	6.92%	0.90%	0.00%	3.00%	0.00%	0.00%	3.45%	5.16%	0.79%	1.42%	1.77%	5.30%	1.54%	3.05%					
20	. Миронов Сергей Михайлович	61	6	4	5	6	0	5	4	1	0	4	0	0	0	2	0	2	0	1	2	4	5	2	5	3					
		0.63%	0.57%	0.68%	0.71%	0.68%	0.00%	0.97%	0.72%	0.34%	0.00%	0.37%	0.00%	0.00%	0.00%	0.60%	0.00%	1.02%	0.00%	0.47%	1.59%	1.14%	1.77%	0.62%	1.54%	1.15%					
21	. Путин Владимир Владимирович	6414	676	387	472	592	339	345	374	143	69	803	90	171	162	232	127	139	136	114	74	220	170	171	230	178					
		66.39%	64.08%	66.04%	66.57%	67.12%	63.25%	66.60%	67.75%	48.47%	57.02%	73.81%	69.23%	76.68%	89.50%	69.67%	74.27%	70.56%	67.00%	53.52%	58.73%	62.50%	60.28%	53.27%	70.77%	67.94%					
22	. Хакамада Ирина Муцуовна	124	7	6	9	14	4	6	4	7	6	12	3	3	3	4	2	6	4	2	1	6	1	5	3	6					
		1.28%	0.66%	1.02%	1.27%	1.59%	0.75%	1.16%	0.72%	2.37%	4.96%	1.10%	2.31%	1.35%	1.66%	1.20%	1.17%	3.05%	1.97%	0.94%	0.79%	1.70%	0.35%	1.56%	0.92%	2.29%					
23	. Харитонов Николай Михайлович	2290	291	142	155	206	138	105	115	123	41	182	18	37	12	62	38	46	47	72	46	87	89	114	72	52					
		23.70%	27.58%	24.23%	21.86%	23.36%	25.75%	20.27%	20.83%	41.69%	33.88%	16.73%	13.85%	16.59%	6.63%	18.62%	22.22%	23.35%	23.15%	33.80%	36.51%	24.72%	31.56%	35.51%	22.15%	19.85%					
																															
24	Против всех	180	18	17	16	15	8	7	13	6	1	19	9	1	1	10	2	3	3	4	0	8	7	3	3	6					
		1.86%	1.71%	2.90%	2.26%	1.70%	1.49%	1.35%	2.36%	2.03%	0.83%	1.75%	6.92%	0.45%	0.55%	3.00%	1.17%	1.52%	1.48%	1.88%	0.00%	2.27%	2.48%	0.93%	0.92%	2.29%					
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
