Выборы Президента Российской Федерации													
													
Наименование Избирательной комиссии:    Ак-Довуракская городская													
													
Итоги голосования 													
													
		Сумма	УИК  32	УИК  33	УИК  34	УИК  35	УИК  36	УИК  37					
1	"Число избирателей, внесенных в список"	5923	1095	995	956	996	991	890					
2	Число полученных избирательных бюллетеней	5645	991	915	949	995	920	875					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	4527	805	859	713	753	803	594					
5	"Число избирательных бюллетеней, выданных вне помещения"	161	37	42	22	28	12	20					
6	Число погашенных избирательных бюллетеней	957	149	14	214	214	105	261					
7	Число избирательных бюллетеней в переносных ящиках	161	37	42	22	28	12	20					
8	Число бюллетеней в стационарных ящиках для голосования	4527	805	859	713	753	803	594					
9	Число недействительных избирательных бюллетеней	37	2	6	3	13	4	9					
10	Число действительных избирательных бюллетеней	4651	840	895	732	768	811	605					
11	Число полученных открепительных  удостоверений	95	16	16	16	16	16	15					
12	Число выданных открепительных удостоверений	13	1	3	2	1	5	1					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	25	9	2	5	2	1	6					
14	Число неиспользованных открепительных удостоверений	82	15	13	14	15	11	14					
15	"Число открепительных удостоверений, выданных в ТИК"	1	0	0	1	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"													
18	. Глазьев Сергей Юрьевич	33	3	6	6	6	4	8					
		0.70%	0.36%	0.67%	0.82%	0.77%	0.49%	1.30%					
19	. Малышкин Олег Александрович	19	3	0	4	6	2	4					
		0.41%	0.36%	0.00%	0.54%	0.77%	0.25%	0.65%					
20	. Миронов Сергей Михайлович	20	3	3	2	7	0	5					
		0.43%	0.36%	0.33%	0.27%	0.90%	0.00%	0.81%					
21	. Путин Владимир Владимирович	4299	794	861	688	654	767	535					
		91.70%	94.30%	95.56%	93.61%	83.74%	94.11%	87.13%					
22	. Хакамада Ирина Муцуовна	52	8	8	6	15	6	9					
		1.11%	0.95%	0.89%	0.82%	1.92%	0.74%	1.47%					
23	. Харитонов Николай Михайлович	196	24	15	22	67	30	38					
		4.18%	2.85%	1.66%	2.99%	8.58%	3.68%	6.19%					
													
24	Против всех	32	5	2	4	13	2	6					
		0.68%	0.59%	0.22%	0.54%	1.66%	0.25%	0.98%					
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
