Выборы Президента Российской Федерации												
												
Наименование Избирательной комиссии:    Сорская городская												
												
Итоги голосования 												
												
		Сумма	УИК №97	УИК №98	УИК №99	УИК №100	УИК №101					
1	"Число избирателей, внесенных в список"	8303	1825	1745	1867	2022	844					
2	Число полученных избирательных бюллетеней	9692	2200	1892	2400	2300	900					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	3759	827	823	913	922	274					
5	"Число избирательных бюллетеней, выданных вне помещения"	757	181	118	94	126	238					
6	Число погашенных избирательных бюллетеней	5176	1192	951	1393	1252	388					
7	Число избирательных бюллетеней в переносных ящиках	757	181	118	94	126	238					
8	Число бюллетеней в стационарных ящиках для голосования	3759	827	823	913	922	274					
9	Число недействительных избирательных бюллетеней	34	8	3	8	11	4					
10	Число действительных избирательных бюллетеней	4482	1000	938	999	1037	508					
11	Число полученных открепительных  удостоверений	238	50	50	50	50	38					
12	Число выданных открепительных удостоверений	38	8	11	8	11	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	68	11	5	7	3	42					
14	Число неиспользованных открепительных удостоверений	200	42	39	42	39	38					
15	"Число открепительных удостоверений, выданных в ТИК"	2	1	0	0	1	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"												
18	. Глазьев Сергей Юрьевич	293	60	50	67	77	39					
		6.49%	5.95%	5.31%	6.65%	7.35%	7.62%					
19	. Малышкин Олег Александрович	163	42	39	30	31	21					
		3.61%	4.17%	4.14%	2.98%	2.96%	4.10%					
20	. Миронов Сергей Михайлович	54	9	11	12	17	5					
		1.20%	0.89%	1.17%	1.19%	1.62%	0.98%					
21	. Путин Владимир Владимирович	2460	551	500	504	596	309					
		54.47%	54.66%	53.13%	50.05%	56.87%	60.35%					
22	. Хакамада Ирина Муцуовна	179	34	41	26	47	31					
		3.96%	3.37%	4.36%	2.58%	4.48%	6.05%					
23	. Харитонов Николай Михайлович	1078	268	250	283	190	87					
		23.87%	26.59%	26.57%	28.10%	18.13%	16.99%					
												
24	Против всех	255	36	47	77	79	16					
		5.65%	3.57%	4.99%	7.65%	7.54%	3.12%					
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
