Выборы Президента Российской Федерации																																														
																																														
Наименование Избирательной комиссии:    Елабужская городская																																														
																																														
Итоги голосования 																																														
																																														
		Сумма	УИК №1384	УИК №1385	УИК №1386	УИК №1387	УИК №1388	УИК №1389	УИК №1390	УИК №1391	УИК №1392	УИК №1393	УИК №1394	УИК №1395	УИК №1396	УИК №1397	УИК №1398	УИК №1399	УИК №1400	УИК №1401	УИК №1402	УИК №1403	УИК №1404	УИК №1405	УИК №1406	УИК №1407	УИК №1408	УИК №1409	УИК №1410	УИК №1411	УИК №1412	УИК №1413	УИК №1414	УИК №1415	УИК №1416	УИК №1417	УИК №1418	УИК №1419	УИК №1420	УИК №1421	УИК №1422					
21	. Путин Владимир Владимирович	34005	899	1021	892	754	789	790	757	904	445	671	1052	1557	688	994	824	1149	1137	153	1147	988	1348	1378	1203	1117	498	1228	1159	1371	1292	1086	1137	1220	1018	167	531	286	101	156	98					
		80.84%	80.77%	84.24%	80.80%	86.87%	85.21%	80.78%	77.96%	79.93%	78.21%	80.07%	90.07%	85.08%	80.47%	82.22%	74.98%	75.34%	73.50%	90.00%	83.66%	85.03%	80.72%	81.01%	80.15%	81.00%	80.32%	80.00%	80.43%	80.65%	80.70%	74.13%	80.01%	79.12%	73.66%	80.68%	93.65%	91.08%	86.32%	100.00%	98.00%					
22	. Хакамада Ирина Муцуовна	1310	40	38	30	31	11	26	15	32	11	12	16	55	27	27	32	52	58	0	42	37	68	52	38	69	16	68	32	48	56	82	68	50	60	3	5	3	0	0	0					
		3.11%	3.59%	3.14%	2.72%	3.57%	1.19%	2.66%	1.54%	2.83%	1.93%	1.43%	1.37%	3.01%	3.16%	2.23%	2.91%	3.41%	3.75%	0.00%	3.06%	3.18%	4.07%	3.06%	2.53%	5.00%	2.58%	4.43%	2.22%	2.82%	3.50%	5.60%	4.79%	3.24%	4.34%	1.45%	0.88%	0.96%	0.00%	0.00%	0.00%					
23	. Харитонов Николай Михайлович	3302	107	61	75	18	92	106	109	97	53	75	62	123	66	79	106	193	166	10	51	69	141	173	109	75	42	123	142	114	120	147	118	121	98	17	20	14	9	0	1					
		7.85%	9.61%	5.03%	6.79%	2.07%	9.94%	10.84%	11.23%	8.58%	9.31%	8.95%	5.31%	6.72%	7.72%	6.53%	9.65%	12.66%	10.73%	5.88%	3.72%	5.94%	8.44%	10.17%	7.26%	5.44%	6.77%	8.01%	9.85%	6.71%	7.50%	10.03%	8.30%	7.85%	7.09%	8.21%	3.53%	4.46%	7.69%	0.00%	1.00%					
																																														
24	Против всех	824	5	55	27	11	2	0	26	17	11	25	2	13	24	16	6	13	59	0	30	3	8	26	29	27	52	32	22	43	63	50	14	46	53	5	6	3	0	0	0					
		1.96%	0.45%	4.54%	2.45%	1.27%	0.22%	0.00%	2.68%	1.50%	1.93%	2.98%	0.17%	0.71%	2.81%	1.32%	0.55%	0.85%	3.81%	0.00%	2.19%	0.26%	0.48%	1.53%	1.93%	1.96%	8.39%	2.08%	1.53%	2.53%	3.94%	3.41%	0.99%	2.98%	3.84%	2.42%	1.06%	0.96%	0.00%	0.00%	0.00%					
																																														
