Выборы Президента Российской Федерации																									
																									
Наименование Избирательной комиссии:    Одоевская																									
																									
Итоги голосования 																									
																									
		Сумма	УИК №720	УИК №721	УИК №722	УИК №723	УИК №724	УИК №725	УИК №726	УИК №727	УИК №728	УИК №729	УИК №730	УИК №731	УИК №732	УИК №733	УИК №734	УИК №735	УИК №736	УИК №737					
1	"Число избирателей, внесенных в список"	10659	1116	2334	1977	592	259	252	430	155	410	304	152	230	537	498	624	353	317	119					
2	Число полученных избирательных бюллетеней	10815	1112	2347	1995	600	269	276	457	166	428	306	150	230	540	511	636	356	313	123					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	5593	534	1325	1093	221	134	111	208	93	235	141	88	110	308	275	409	125	136	47					
5	"Число избирательных бюллетеней, выданных вне помещения"	1563	72	39	22	190	66	77	119	30	95	100	39	53	123	98	119	166	99	56					
6	Число погашенных избирательных бюллетеней	3659	506	983	880	189	69	88	130	43	98	65	23	67	109	138	108	65	78	20					
7	Число избирательных бюллетеней в переносных ящиках	1563	72	39	22	190	66	77	119	30	95	100	39	53	123	98	119	166	99	56					
8	Число бюллетеней в стационарных ящиках для голосования	5592	534	1325	1093	221	134	111	208	93	235	141	88	110	308	275	409	125	135	47					
9	Число недействительных избирательных бюллетеней	67	9	12	12	3	0	1	1	2	6	1	1	3	3	4	7	1	1	0					
10	Число действительных избирательных бюллетеней	7088	597	1352	1103	408	200	187	326	121	324	240	126	160	428	369	521	290	233	103					
11	Число полученных открепительных  удостоверений	283	20	30	25	15	14	25	30	10	25	5	5	10	15	10	14	5	15	10					
12	Число выданных открепительных удостоверений	197	6	20	15	15	10	21	30	10	24	1	0	6	13	3	9	1	8	5					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	79	15	7	9	6	5	2	3	2	4	5	2	1	0	4	2	3	7	2					
14	Число неиспользованных открепительных удостоверений	86	14	10	10	0	4	4	0	0	1	4	5	4	2	7	5	4	7	5					
15	"Число открепительных удостоверений, выданных в ТИК"	2	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																									
18	. Глазьев Сергей Юрьевич	204	22	65	38	7	4	5	5	0	4	3	10	5	7	8	11	5	3	2					
		2.85%	3.63%	4.77%	3.41%	1.70%	2.00%	2.66%	1.53%	0.00%	1.21%	1.24%	7.87%	3.07%	1.62%	2.14%	2.08%	1.72%	1.28%	1.94%					
19	. Малышкин Олег Александрович	165	15	33	40	6	6	3	2	2	14	4	1	2	8	6	6	10	5	2					
		2.31%	2.48%	2.42%	3.59%	1.46%	3.00%	1.60%	0.61%	1.63%	4.24%	1.66%	0.79%	1.23%	1.86%	1.61%	1.14%	3.44%	2.14%	1.94%					
20	. Миронов Сергей Михайлович	37	4	4	9	2	0	1	0	1	3	1	0	3	3	2	4	0	0	0					
		0.52%	0.66%	0.29%	0.81%	0.49%	0.00%	0.53%	0.00%	0.81%	0.91%	0.41%	0.00%	1.84%	0.70%	0.54%	0.76%	0.00%	0.00%	0.00%					
21	. Путин Владимир Владимирович	4764	364	790	680	313	166	143	246	65	248	174	82	97	296	270	382	203	170	75					
		66.58%	60.07%	57.92%	60.99%	76.16%	83.00%	76.06%	75.23%	52.85%	75.15%	72.20%	64.57%	59.51%	68.68%	72.39%	72.35%	69.76%	72.65%	72.82%					
22	. Хакамада Ирина Муцуовна	138	15	42	29	4	4	1	7	5	3	3	3	0	1	7	8	2	2	2					
		1.93%	2.48%	3.08%	2.60%	0.97%	2.00%	0.53%	2.14%	4.07%	0.91%	1.24%	2.36%	0.00%	0.23%	1.88%	1.52%	0.69%	0.85%	1.94%					
23	. Харитонов Николай Михайлович	1502	157	348	232	72	17	27	58	44	41	43	26	49	97	66	97	62	46	20					
		20.99%	25.91%	25.51%	20.81%	17.52%	8.50%	14.36%	17.74%	35.77%	12.42%	17.84%	20.47%	30.06%	22.51%	17.69%	18.37%	21.31%	19.66%	19.42%					
																									
24	Против всех	278	20	70	75	4	3	7	8	4	11	12	4	4	16	10	13	8	7	2					
		3.89%	3.30%	5.13%	6.73%	0.97%	1.50%	3.72%	2.45%	3.25%	3.33%	4.98%	3.15%	2.45%	3.71%	2.68%	2.46%	2.75%	2.99%	1.94%					
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
