Выборы Президента Российской Федерации																																	
																																	
Наименование Избирательной комиссии:    Судиславская																																	
																																	
Итоги голосования 																																	
																																	
		Сумма	УИК №215	УИК №576	УИК №577	УИК №578	УИК №579	УИК №580	УИК №581	УИК №582	УИК №583	УИК №584	УИК №585	УИК №586	УИК №587	УИК №588	УИК №589	УИК №590	УИК №591	УИК №592	УИК №593	УИК №594	УИК №595	УИК №596	УИК №597	УИК №598	УИК №599	УИК №600					
1	"Число избирателей, внесенных в список"	11785	243	333	127	392	182	302	333	171	261	365	567	576	217	72	372	581	337	174	414	1229	281	211	212	1316	1139	1378					
2	Число полученных избирательных бюллетеней	11826	242	339	132	397	179	302	332	178	263	360	566	568	219	75	377	590	337	175	424	1227	282	211	213	1315	1130	1393					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	5837	152	153	73	207	88	178	181	106	120	205	263	93	91	48	231	264	207	100	219	626	116	125	109	607	570	705					
5	"Число избирательных бюллетеней, выданных вне помещения"	1149	0	21	14	44	40	16	53	32	35	30	42	366	42	5	25	61	0	16	32	26	41	31	33	59	47	38					
6	Число погашенных избирательных бюллетеней	4840	90	165	45	146	51	108	98	40	108	125	261	109	86	22	121	265	130	59	173	575	125	55	71	649	513	650					
7	Число избирательных бюллетеней в переносных ящиках	1149	0	21	14	44	40	16	53	32	35	30	42	366	42	5	25	61	0	16	32	26	41	31	33	59	47	38					
8	Число бюллетеней в стационарных ящиках для голосования	5836	152	153	73	207	88	178	181	106	120	205	263	93	91	48	231	264	207	100	219	626	116	125	109	607	569	705					
9	Число недействительных избирательных бюллетеней	38	0	1	0	4	1	4	1	0	0	0	3	3	0	1	2	0	0	0	2	1	2	1	0	7	3	2					
10	Число действительных избирательных бюллетеней	6947	152	173	87	247	127	190	233	138	155	235	302	456	133	52	254	325	207	116	249	651	155	155	142	659	613	741					
11	Число полученных открепительных  удостоверений	178	5	5	10	5	3	5	5	5	5	5	8	3	5	3	3	10	5	3	10	15	5	5	5	15	15	15					
12	Число выданных открепительных удостоверений	65	0	1	3	3	1	2	1	5	3	0	5	1	1	0	3	7	1	0	4	5	2	0	0	6	4	7					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	51	2	1	1	1	2	2	2	2	1	6	5	2	2	1	1	0	1	0	1	1	2	1	0	1	10	3					
14	Число неиспользованных открепительных удостоверений	113	5	4	7	2	2	3	4	0	2	5	3	2	4	3	0	3	4	3	6	10	3	5	5	9	11	8					
15	"Число открепительных удостоверений, выданных в ТИК"	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0					
