Выборы Президента Российской Федерации																																
																																
Наименование Избирательной комиссии:    район Новогиреево 																																
																																
Итоги голосования 																																
																																
		Сумма	УИК №1059	УИК №1060	УИК №1061	УИК №1062	УИК №1063	УИК №1064	УИК №1065	УИК №1066	УИК №1067	УИК №1068	УИК №1069	УИК №1070	УИК №1071	УИК №1072	УИК №1073	УИК №1074	УИК №1075	УИК №1076	УИК №1077	УИК №1078	УИК №1079	УИК №1080	УИК №1081	УИК №1082	УИК №3091					
1	"Число избирателей, внесенных в список"	59350	2248	2441	2811	2660	2617	2562	2409	2553	2427	2783	2598	2311	2012	2243	2515	2300	2337	2410	2433	2375	2573	2539	2347	2241	605					
2	Число полученных избирательных бюллетеней	54440	2050	2220	2560	2430	2400	2330	2180	2330	2210	2510	2360	2090	1810	2050	2360	2120	2150	2220	2230	2180	2330	2330	2160	2030	800					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	32035	1259	1287	1478	1305	1405	1341	1234	1445	1214	1549	1292	1248	1188	1111	1475	1286	1182	1171	1403	1234	1354	1431	1333	1205	605					
5	"Число избирательных бюллетеней, выданных вне помещения"	768	27	30	27	33	35	19	43	20	43	36	36	40	28	45	23	25	21	31	28	25	38	34	34	47	0					
6	Число погашенных избирательных бюллетеней	21637	764	903	1055	1092	960	970	903	865	953	925	1032	802	594	894	862	809	947	1018	799	921	938	865	793	778	195					
7	Число избирательных бюллетеней в переносных ящиках	768	27	30	27	33	35	19	43	20	43	36	36	40	28	45	23	25	21	31	28	25	38	34	34	47	0					
8	Число бюллетеней в стационарных ящиках для голосования	31984	1256	1283	1477	1305	1398	1341	1227	1445	1211	1544	1292	1248	1188	1111	1475	1283	1178	1171	1396	1230	1353	1431	1331	1205	605					
9	Число недействительных избирательных бюллетеней	313	21	17	8	10	13	17	9	7	9	12	22	13	9	9	8	13	10	17	12	7	12	23	14	11	10					
10	Число действительных избирательных бюллетеней	32439	1262	1296	1496	1328	1420	1343	1261	1458	1245	1568	1306	1275	1207	1147	1490	1295	1189	1185	1412	1248	1379	1442	1351	1241	595					
11	Число полученных открепительных  удостоверений	1680	70	70	70	70	70	70	70	70	70	70	70	70	70	70	70	70	70	70	70	70	70	70	70	70	0					
12	Число выданных открепительных удостоверений	688	24	20	24	28	28	30	20	33	18	28	42	25	17	22	35	46	36	26	33	34	24	31	37	27	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	470	31	4	14	22	0	21	16	20	15	21	14	20	28	21	25	19	27	16	16	10	15	33	16	41	5					
14	Число неиспользованных открепительных удостоверений	992	46	50	46	42	42	40	50	37	52	42	28	45	53	48	35	24	34	44	37	36	46	39	33	43	0					
15	"Число открепительных удостоверений, выданных в ТИК"	5	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	2	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																
18	. Глазьев Сергей Юрьевич	2124	74	87	95	88	96	76	100	128	67	120	93	73	66	79	106	73	70	74	89	64	113	81	106	79	27					
		6.49%	5.77%	6.63%	6.32%	6.58%	6.70%	5.59%	7.87%	8.74%	5.34%	7.59%	7.00%	5.67%	5.43%	6.83%	7.08%	5.58%	5.84%	6.16%	6.25%	5.10%	8.12%	5.53%	7.77%	6.31%	4.46%					
19	. Малышкин Олег Александрович	432	13	18	24	25	27	19	13	21	15	21	11	17	8	10	8	15	22	16	18	24	25	22	17	17	6					
		1.32%	1.01%	1.37%	1.60%	1.87%	1.88%	1.40%	1.02%	1.43%	1.20%	1.33%	0.83%	1.32%	0.66%	0.87%	0.53%	1.15%	1.83%	1.33%	1.26%	1.91%	1.80%	1.50%	1.25%	1.36%	0.99%					
20	. Миронов Сергей Михайлович	205	9	5	12	5	7	5	10	6	9	17	10	7	10	8	14	10	10	7	4	5	6	10	12	5	2					
		0.63%	0.70%	0.38%	0.80%	0.37%	0.49%	0.37%	0.79%	0.41%	0.72%	1.08%	0.75%	0.54%	0.82%	0.69%	0.93%	0.76%	0.83%	0.58%	0.28%	0.40%	0.43%	0.68%	0.88%	0.40%	0.33%					
21	. Путин Владимир Владимирович	22142	922	914	983	923	976	943	823	977	878	1032	886	869	886	778	982	874	817	816	977	862	904	1001	837	828	454					
		67.61%	71.86%	69.61%	65.36%	68.98%	68.11%	69.34%	64.80%	66.69%	70.02%	65.32%	66.72%	67.47%	72.86%	67.30%	65.55%	66.82%	68.14%	67.89%	68.61%	68.69%	64.99%	68.33%	61.32%	66.13%	75.04%					
22	. Хакамада Ирина Муцуовна	2476	66	88	124	99	108	113	105	116	103	141	104	102	74	119	132	99	93	89	117	89	100	98	101	78	18					
		7.56%	5.14%	6.70%	8.24%	7.40%	7.54%	8.31%	8.27%	7.92%	8.21%	8.92%	7.83%	7.92%	6.09%	10.29%	8.81%	7.57%	7.76%	7.40%	8.22%	7.09%	7.19%	6.69%	7.40%	6.23%	2.98%					
23	. Харитонов Николай Михайлович	2890	96	101	145	100	127	106	124	112	101	126	107	136	93	76	121	115	104	114	125	112	151	134	153	166	45					
		8.82%	7.48%	7.69%	9.64%	7.47%	8.86%	7.79%	9.76%	7.65%	8.05%	7.97%	8.06%	10.56%	7.65%	6.57%	8.08%	8.79%	8.67%	9.48%	8.78%	8.92%	10.86%	9.15%	11.21%	13.26%	7.44%					
																																
24	Против всех	2170	82	83	113	88	79	81	86	98	72	111	95	71	70	77	127	109	73	69	82	92	80	96	125	68	43					
		6.63%	6.39%	6.32%	7.51%	6.58%	5.51%	5.96%	6.77%	6.69%	5.74%	7.03%	7.15%	5.51%	5.76%	6.66%	8.48%	8.33%	6.09%	5.74%	5.76%	7.33%	5.75%	6.55%	9.16%	5.43%	7.11%					
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
