Выборы Президента Российской Федерации																																																																								
																																																																								
Наименование Избирательной комиссии:    Арская																																																																								
																																																																								
Итоги голосования 																																																																								
																																																																								
		Сумма	УИК №923	УИК №924	УИК №925	УИК №926	УИК №927	УИК №928	УИК №929	УИК №930	УИК №931	УИК №932	УИК №933	УИК №934	УИК №935	УИК №936	УИК №937	УИК №938	УИК №939	УИК №940	УИК №941	УИК №942	УИК №943	УИК №944	УИК №945	УИК №946	УИК №947	УИК №948	УИК №949	УИК №950	УИК №951	УИК №952	УИК №953	УИК №954	УИК №955	УИК №956	УИК №957	УИК №958	УИК №959	УИК №960	УИК №961	УИК №962	УИК №963	УИК №964	УИК №965	УИК №966	УИК №967	УИК №968	УИК №969	УИК №970	УИК №971	УИК №972	УИК №973	УИК №974	УИК №975	УИК №976	УИК №977	УИК №978	УИК №979	УИК №980	УИК №981	УИК №982	УИК №983	УИК №984	УИК №985	УИК №986	УИК №987					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																																																								
18	. Глазьев Сергей Юрьевич	101	5	10	1	12	11	3	2	1	5	10	2	3	0	3	1	1	0	3	1	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	7	2	0	0	0	0	0	0	1	2	0	1	1	0	3	1	4	0					
		0.28%	0.55%	0.99%	0.21%	1.36%	1.45%	0.44%	0.30%	0.14%	0.39%	1.50%	0.26%	0.33%	0.00%	0.35%	0.17%	0.10%	0.00%	0.42%	0.12%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.52%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.32%	0.29%	0.67%	0.24%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.18%	0.36%	0.00%	0.13%	0.30%	0.00%	0.59%	0.20%	0.94%	0.00%					
19	. Малышкин Олег Александрович	91	3	12	0	17	4	0	4	2	7	5	4	0	0	3	2	2	0	0	0	0	0	0	0	1	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	7	4	0	1	0	0	0	1	0	0	0	2	0	0	0	0	5	0					
		0.25%	0.33%	1.19%	0.00%	1.92%	0.53%	0.00%	0.60%	0.27%	0.55%	0.75%	0.52%	0.00%	0.00%	0.35%	0.33%	0.20%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.19%	0.24%	0.00%	0.00%	0.00%	0.00%	0.00%	0.29%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.61%	0.00%	0.00%	0.00%	0.00%	0.67%	0.49%	0.00%	0.25%	0.00%	0.00%	0.00%	0.16%	0.00%	0.00%	0.00%	0.27%	0.00%	0.00%	0.00%	0.00%	1.17%	0.00%					
20	. Миронов Сергей Михайлович	139	4	3	10	18	4	7	2	6	13	9	10	3	4	2	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	12	0	0	0	0	0	1	0	0	3	0	0	0	0	1	9	0					
		0.39%	0.44%	0.30%	2.07%	2.04%	0.53%	1.04%	0.30%	0.82%	1.02%	1.35%	1.30%	0.33%	0.41%	0.23%	0.00%	0.20%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.24%	0.00%	0.00%	0.00%	0.00%	0.00%	0.29%	0.35%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	1.05%	1.47%	0.00%	0.00%	0.00%	0.00%	0.00%	0.16%	0.00%	0.00%	0.43%	0.00%	0.00%	0.00%	0.00%	0.20%	2.11%	0.00%					
21	. Путин Владимир Владимирович	34646	875	897	454	801	696	655	634	691	1218	619	714	891	947	818	598	992	191	711	821	523	369	424	306	510	416	158	637	252	599	215	685	566	243	599	160	467	555	886	471	239	490	351	327	185	298	306	336	964	777	205	389	204	416	357	618	542	546	680	739	330	213	485	492	396	497					
		97.01%	95.52%	88.64%	93.80%	90.61%	91.46%	97.04%	95.34%	94.27%	95.98%	92.80%	92.97%	96.95%	97.03%	95.12%	98.84%	99.30%	98.96%	99.16%	99.03%	97.76%	99.19%	99.07%	99.03%	98.46%	98.11%	99.37%	99.69%	98.44%	99.50%	99.08%	98.85%	97.75%	99.18%	99.34%	99.38%	99.79%	99.11%	99.89%	99.16%	99.58%	99.39%	99.72%	99.09%	98.93%	99.00%	99.03%	99.12%	91.81%	94.87%	99.03%	98.98%	99.03%	98.81%	99.17%	99.20%	99.27%	99.27%	98.12%	98.14%	99.70%	100.00%	94.73%	99.19%	92.74%	99.00%					
22	. Хакамада Ирина Муцуовна	115	7	3	2	11	8	3	5	3	3	4	4	7	0	4	0	1	0	0	3	2	1	0	1	0	2	0	0	0	0	0	2	2	0	0	0	0	0	0	1	1	1	1	0	1	0	0	2	8	1	0	1	0	1	0	0	1	0	3	1	0	0	8	2	4	0					
		0.32%	0.76%	0.30%	0.41%	1.24%	1.05%	0.44%	0.75%	0.41%	0.24%	0.60%	0.52%	0.76%	0.00%	0.47%	0.00%	0.10%	0.00%	0.00%	0.36%	0.37%	0.27%	0.00%	0.32%	0.00%	0.47%	0.00%	0.00%	0.00%	0.00%	0.00%	0.29%	0.35%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.21%	0.42%	0.20%	0.28%	0.00%	0.53%	0.00%	0.00%	0.59%	0.76%	0.12%	0.00%	0.25%	0.00%	0.24%	0.00%	0.00%	0.18%	0.00%	0.43%	0.13%	0.00%	0.00%	1.56%	0.40%	0.94%	0.00%					
23	. Харитонов Николай Михайлович	422	12	55	3	19	23	5	10	28	12	12	27	7	14	23	2	1	2	3	0	2	2	2	2	2	4	1	2	3	3	2	0	5	2	4	1	1	5	1	3	0	0	0	1	1	2	2	0	45	22	0	2	2	2	1	3	1	2	6	2	0	0	15	0	3	5					
		1.18%	1.31%	5.43%	0.62%	2.15%	3.02%	0.74%	1.50%	3.82%	0.95%	1.80%	3.52%	0.76%	1.43%	2.67%	0.33%	0.10%	1.04%	0.42%	0.00%	0.37%	0.54%	0.47%	0.65%	0.39%	0.94%	0.63%	0.31%	1.17%	0.50%	0.92%	0.00%	0.86%	0.82%	0.66%	0.62%	0.21%	0.89%	0.11%	0.63%	0.00%	0.00%	0.00%	0.30%	0.53%	0.66%	0.65%	0.00%	4.29%	2.69%	0.00%	0.51%	0.97%	0.48%	0.28%	0.48%	0.18%	0.36%	0.87%	0.27%	0.00%	0.00%	2.93%	0.00%	0.70%	1.00%					
																																																																								
24	Против всех	115	7	18	8	6	8	2	3	2	11	2	4	7	4	4	0	0	0	0	1	1	0	0	0	3	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0	6	1	0	0	0	2	1	0	1	0	0	1	0	0	1	0	5	0					
		0.32%	0.76%	1.78%	1.65%	0.68%	1.05%	0.30%	0.45%	0.27%	0.87%	0.30%	0.52%	0.76%	0.41%	0.47%	0.00%	0.00%	0.00%	0.00%	0.12%	0.19%	0.00%	0.00%	0.00%	0.58%	0.00%	0.00%	0.00%	0.39%	0.00%	0.00%	0.14%	0.17%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.41%	0.00%	0.00%	0.00%	0.33%	0.00%	0.00%	0.57%	0.12%	0.00%	0.00%	0.00%	0.48%	0.28%	0.00%	0.18%	0.00%	0.00%	0.13%	0.00%	0.00%	0.20%	0.00%	1.17%	0.00%					
																																																																								
																																																																								
																																																																								
																																																																								
																																																																								
																																																																								
																																																																								
																																																																								
																																																																								
																																																																								
																																																																								
																																																																								
																																																																								
																																																																								
																																																																								
