Выборы Президента Российской Федерации																																																																									
Дата голосования: 04.03.2012																																																																									
																																																																									
Наименование Избирательной комиссии:    Арская																																																																									
																																																																									
Сводная таблица итогов голосования																																																																									
																																																																									
	Число участковых избирательных комиссий	62																																																																							
	Число участковых избирательных комиссий, приступивших к передаче сведений	62																																																																							
																																																																									
		Сумма	УИК №934	УИК №935	УИК №936	УИК №937	УИК №938	УИК №939	УИК №940	УИК №941	УИК №942	УИК №943	УИК №944	УИК №945	УИК №946	УИК №947	УИК №948	УИК №949	УИК №950	УИК №951	УИК №952	УИК №953	УИК №954	УИК №955	УИК №956	УИК №957	УИК №958	УИК №959	УИК №960	УИК №961	УИК №962	УИК №963	УИК №964	УИК №965	УИК №966	УИК №967	УИК №968	УИК №969	УИК №970	УИК №971	УИК №972	УИК №973	УИК №974	УИК №975	УИК №976	УИК №977	УИК №978	УИК №979	УИК №980	УИК №981	УИК №982	УИК №983	УИК №984	УИК №985	УИК №986	УИК №987	УИК №988	УИК №989	УИК №990	УИК №991	УИК №992	УИК №993	УИК №994	УИК №995									
15	Число открепительных удостоверений, выданных избирателям ТИК	8	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	Число избирательных бюллетеней, не учтенных при получении	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																																																									
19	Жириновский Владимир Вольфович	151	22	4	0	4	7	3	2	3	2	6	6	3	15	10	4	4	0	2	0	2	3	5	2	1	1	1	0	1	0	0	0	0	1	3	1	2	1	2	0	3	1	0	2	0	2	0	1	0	0	0	1	6	1	1	0	1	2	0	1	4	1	1									
		0.39%	2.16%	0.37%	0.00%	0.32%	0.61%	0.27%	0.19%	0.28%	0.22%	0.61%	0.65%	0.30%	1.60%	1.02%	0.37%	0.79%	0.00%	0.44%	0.00%	0.29%	0.33%	0.48%	0.51%	0.29%	0.25%	0.51%	0.00%	0.32%	0.00%	0.00%	0.00%	0.00%	0.45%	0.42%	0.22%	0.34%	0.51%	0.33%	0.00%	0.39%	0.24%	0.00%	0.43%	0.00%	0.31%	0.00%	0.50%	0.00%	0.00%	0.00%	0.16%	0.49%	0.20%	0.18%	0.00%	0.21%	0.63%	0.00%	0.13%	0.77%	0.28%	0.29%									
20	Зюганов Геннадий Андреевич	878	78	85	18	11	29	21	29	11	28	36	11	8	159	30	34	21	2	2	31	11	14	20	3	5	2	1	3	2	5	1	14	4	1	5	5	9	1	15	3	6	4	1	8	9	3	2	1	3	3	0	3	9	2	13	7	4	5	2	15	6	2	2									
		2.29%	7.66%	7.76%	1.61%	0.87%	2.52%	1.86%	2.71%	1.01%	3.09%	3.67%	1.20%	0.80%	17.01%	3.05%	3.11%	4.13%	0.41%	0.44%	3.44%	1.59%	1.53%	1.92%	0.77%	1.45%	0.50%	0.51%	1.54%	0.64%	1.54%	0.32%	2.08%	0.81%	0.45%	0.70%	1.12%	1.53%	0.51%	2.46%	1.49%	0.79%	0.96%	0.63%	1.72%	1.60%	0.46%	0.75%	0.50%	0.53%	0.50%	0.00%	0.47%	0.73%	0.40%	2.40%	2.79%	0.84%	1.58%	1.12%	1.93%	1.16%	0.55%	0.59%									
21	Миронов Сергей Михайлович	151	20	5	2	8	6	0	3	0	5	4	2	3	28	5	7	5	1	0	1	3	3	0	1	1	2	1	0	1	0	1	0	0	0	3	1	2	0	1	0	1	0	0	6	5	2	1	1	0	0	0	1	2	1	2	0	0	0	0	1	0	1	2									
