Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																													
Дата голосования: 18.09.2016																													
																													
Наименование Избирательной комиссии:    Ивдельская городская																													
																													
Сводная таблица итогов голосования по федеральному избирательному округу																													
																													
		Сумма	УИК №1802	УИК №1803	УИК №1804	УИК №1805	УИК №1806	УИК №1807	УИК №1808	УИК №1809	УИК №1810	УИК №1811	УИК №1812	УИК №1813	УИК №1815	УИК №1816	УИК №1818	УИК №1819	УИК №1820	УИК №1821									
		3.58%	4.28%	4.48%	3.21%	3.20%	5.19%	2.50%	3.13%	4.27%	6.28%	3.82%	2.08%	1.64%	4.26%	0.44%	0.79%	1.52%	2.58%	4.71%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	209	16	4	24	27	2	5	31	18	11	21	0	2	2	3	3	7	16	17									
		3.20%	2.74%	1.38%	2.85%	3.60%	1.48%	3.13%	3.46%	3.08%	2.56%	3.34%	0.00%	3.28%	4.26%	1.32%	2.38%	3.55%	8.25%	5.00%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	3227	263	133	440	365	58	82	431	266	162	271	26	31	25	142	81	144	119	188									
		49.33%	45.03%	45.86%	52.26%	48.67%	42.96%	51.25%	48.10%	45.47%	37.67%	43.08%	54.17%	50.82%	53.19%	62.56%	64.29%	73.10%	61.34%	55.29%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	38	2	0	6	5	0	0	8	5	1	2	2	1	1	0	1	1	0	3									
		0.58%	0.34%	0.00%	0.71%	0.67%	0.00%	0.00%	0.89%	0.85%	0.23%	0.32%	4.17%	1.64%	2.13%	0.00%	0.79%	0.51%	0.00%	0.88%									
24	"6. Политическая партия ""Гражданская Платформа"""	35	4	1	2	7	1	0	3	5	2	6	0	0	0	0	0	0	0	4									
		0.54%	0.68%	0.34%	0.24%	0.93%	0.74%	0.00%	0.33%	0.85%	0.47%	0.95%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	1.18%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	1313	123	54	144	136	39	32	182	122	121	152	12	13	5	64	18	15	27	54									
		20.07%	21.06%	18.62%	17.10%	18.13%	28.89%	20.00%	20.31%	20.85%	28.14%	24.17%	25.00%	21.31%	10.64%	28.19%	14.29%	7.61%	13.92%	15.88%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	32	2	3	3	6	0	1	6	4	1	2	0	0	2	0	1	0	1	0									
		0.49%	0.34%	1.03%	0.36%	0.80%	0.00%	0.63%	0.67%	0.68%	0.23%	0.32%	0.00%	0.00%	4.26%	0.00%	0.79%	0.00%	0.52%	0.00%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	44	4	4	6	1	3	2	7	5	7	2	0	0	0	1	2	0	0	0									
		0.67%	0.68%	1.38%	0.71%	0.13%	2.22%	1.25%	0.78%	0.85%	1.63%	0.32%	0.00%	0.00%	0.00%	0.44%	1.59%	0.00%	0.00%	0.00%									
